target_snr_db,packet_index,event_index,frame_index,payload_symbol_count,argmax_correct_rate,gt_bin_amp_mean,gt_bin_amp_std,gt_peak_energy_ratio_mean,gt_peak_energy_ratio_std,phase_slope_pi_per_symbol,phase_linear_r2,phase_linear_rmse_pi,phase_residual_std_pi,phase_residual_peak_to_peak_pi,phase_residual_quad_r2,mean_gt_bin_rank,gt_top8_recall,gt_top16_recall,gt_top32_recall
-27.0,0,0,0,35,0.0,11.839062719365158,3.6701439940849347,0.0029744960937240555,0.0016505903174724092,-0.049925465041088364,0.805954438541989,0.24741089237028407,0.24741089237028407,1.0682925650579513,0.5388314194785533,136.97142857142856,0.17142857142857143,0.22857142857142856,0.34285714285714286
-27.0,1,1,1,35,0.02857142857142857,12.144477374397168,4.483255399978731,0.0031998867296062056,0.002331656526840365,-0.04494815330536054,0.8060831687916918,0.2226536226612178,0.2226536226612178,0.8904066721845562,0.7234067635846014,145.05714285714285,0.14285714285714285,0.2,0.2857142857142857
-27.0,2,2,2,35,0.02857142857142857,11.391231166168547,4.628449770934064,0.0029260951747547815,0.001991077920850763,-0.0210925215534726,0.29178892274633883,0.33187576904231003,0.33187576904231003,1.7742883938722633,0.02655571625703068,188.28571428571428,0.2,0.22857142857142856,0.34285714285714286
-27.0,3,3,3,35,0.17142857142857143,13.88912972037106,4.96316386746507,0.004160773894949104,0.0027934615150949334,-0.04663495847315804,0.8401254340729593,0.20546095528706776,0.20546095528706776,0.7814515558606128,0.645238036881911,99.57142857142857,0.2857142857142857,0.4857142857142857,0.5142857142857142
-27.0,4,4,4,35,0.11428571428571428,12.524405217175222,4.717157043176826,0.0034596616992461893,0.002221466670298,-0.0444170807627074,0.7007899145800016,0.29311921593742024,0.29311921593742024,1.4685209795640575,0.5821526576657792,155.97142857142856,0.22857142857142856,0.34285714285714286,0.5142857142857142
-27.0,5,5,5,35,0.0,8.867143862273402,4.081174150689622,0.0018431516307748684,0.0014236598657395253,0.023915832139964215,0.08260584799615966,0.8049301022975617,0.6192075157280307,1.9711116412637404,0.08136538131818005,322.34285714285716,0.02857142857142857,0.05714285714285714,0.14285714285714285
-27.0,6,6,6,35,0.05714285714285714,11.233297326548344,4.459631818734247,0.002818153134624688,0.0020831954603400954,0.11994922294364403,0.7011227402424999,0.7909461828990614,0.5867271997344489,1.9632320829873044,0.006654889753308191,195.94285714285715,0.2,0.3142857142857143,0.37142857142857144
-27.0,7,7,7,35,0.0,8.3347623757211,3.8726125412702896,0.0016183880878172304,0.001377354070429629,-0.008084960422512333,0.011038495843235907,0.7728811732039086,0.567936553555392,1.9114392914415674,0.16313877072047034,354.48571428571427,0.05714285714285714,0.05714285714285714,0.14285714285714285
-27.0,8,8,8,35,0.02857142857142857,10.071252466818473,4.483032563977866,0.0023464970504912435,0.0021488132018868413,0.017769410848289802,0.029605159034993722,1.0274569992796174,0.5619190516538047,1.8660551898687918,0.17414242043740136,244.77142857142857,0.11428571428571428,0.14285714285714285,0.22857142857142856
-27.0,9,9,9,35,0.0,9.981650504209062,3.7306988869421924,0.0021866243432823894,0.001480759653555915,0.029041075585955162,0.15768925129620837,0.677872333104857,0.5260385770698727,1.8376760611668235,0.03620113403090963,234.31428571428572,0.08571428571428572,0.08571428571428572,0.14285714285714285
