packet_index,joint_byte_value,joint_byte_hex,affine_byte_value,affine_byte_hex,used_outlier,joint_payload_hex,joint_score,joint_candidate_rank,joint_candidate_count,candidate_top1_gap,candidate_score_std,candidate_entropy_norm,independent_byte_value,independent_byte_hex,independent_payload_hex,independent_score,score_gap_independent_minus_joint,expected_payload_hex,joint_app_exact,independent_app_exact,affine_slope,affine_intercept
1,84,54,6,06,1,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,-0.287262550,1,256,0.023163124,0.151362199,0.914910612,84,54,404433221100540058303132333435363738393a3b3c3d3e3f4041424378563412,-0.287262550,0.000000000,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,0,0,0,6
2,66,42,6,06,1,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,-0.374720781,1,256,0.020071348,0.149194077,0.924872218,66,42,404433221100420058303132333435363738393a3b3c3d3e3f4041424378563412,-0.374720781,0.000000000,404433221100030058303132333435363738393a3b3c3d3e3f4041424378563412,0,0,0,6
3,6,06,6,06,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,-0.293076715,1,256,0.026465806,0.114168572,0.940066346,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,-0.293076715,0.000000000,404433221100040058303132333435363738393a3b3c3d3e3f4041424378563412,0,0,0,6
5,6,06,6,06,0,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.001461932,1,256,0.005965508,0.206872013,0.931629978,6,06,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,0.001461932,0.000000000,404433221100060058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,0,6
6,7,07,6,06,1,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.113883164,1,256,0.058254729,0.162512178,0.912332173,7,07,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,0.113883164,0.000000000,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,1,0,6
