payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,dataset,target_snr_db,packet_index
0,803,803,803,1,1,0,1,1,1,1,1,2.7984826430580956,piece1of2_30,0_0_0_10_14_8,-25.0,0
1,826,826,826,1,1,0,1,1,1,1,1,2.1503392258474734,linear_a3_b2,0_0_0_10_14_8,-25.0,0
2,922,922,922,1,1,0,1,1,1,1,1,2.4332531156093156,piece1of4_02,0_0_0_10_14_8,-25.0,0
3,718,718,718,1,1,0,1,1,1,1,1,2.262596905378263,piece1of4_30,0_0_0_10_14_8,-25.0,0
4,86,86,86,1,1,0,1,1,1,1,1,2.5216947585700695,piece1of2_02,0_0_0_10_14_8,-25.0,0
5,467,467,467,1,1,0,1,1,1,1,1,2.490989783464024,piece1of2_30,0_0_0_10_14_8,-25.0,0
6,89,89,89,1,1,0,1,1,1,1,1,2.710346232796789,period2_30,0_0_0_10_14_8,-25.0,0
7,713,713,713,1,1,0,1,1,1,1,1,2.219877569115886,linear_a1_b3,0_0_0_10_14_8,-25.0,0
8,865,865,865,1,1,0,1,1,1,1,1,2.4988874274738238,linear_a3_b0,0_0_0_10_14_8,-25.0,0
9,405,405,405,1,1,0,1,1,1,1,1,2.0586935839547476,linear_a2_b3,0_0_0_10_14_8,-25.0,0
10,765,765,765,1,1,0,1,1,1,1,1,2.2819494596835472,linear_a3_b3,0_0_0_10_14_8,-25.0,0
11,1023,482,482,4,4,0,1,1,0,0,1,2.8469358831671294,piece3of4_01,0_0_0_10_14_8,-25.0,0
12,597,597,597,1,1,0,1,1,1,1,1,2.11589032244904,piece3of4_32,0_0_0_10_14_8,-25.0,0
13,562,946,946,5,5,0,1,1,0,0,1,3.228151719779816,piece1of2_23,0_0_0_10_14_8,-25.0,0
14,478,677,677,24,24,0,0,0,0,0,0,nan,,0_0_0_10_14_8,-25.0,0
15,267,267,267,1,1,0,1,1,1,1,1,2.297001914533559,piece3of4_02,0_0_0_10_14_8,-25.0,0
16,917,917,917,1,1,0,1,1,1,1,1,2.2583522657381807,piece1of2_02,0_0_0_10_14_8,-25.0,0
17,656,656,656,1,1,0,1,1,1,1,1,2.5528080953317946,piece3of4_20,0_0_0_10_14_8,-25.0,0
18,889,889,889,1,1,0,1,1,1,1,1,2.1014362703686755,piece1of4_21,0_0_0_10_14_8,-25.0,0
19,510,510,510,1,1,0,1,1,1,1,1,2.708824184495062,piece1of4_13,0_0_0_10_14_8,-25.0,0
20,860,860,860,1,1,0,1,1,1,1,1,2.620626975230569,linear_a1_b0,0_0_0_10_14_8,-25.0,0
21,553,553,553,1,1,0,1,1,1,1,1,2.8346091289581836,piece1of4_10,0_0_0_10_14_8,-25.0,0
22,629,154,154,2,2,0,1,1,0,0,1,5.150524330499073,piece1of4_10,0_0_0_10_14_8,-25.0,0
23,759,759,759,1,1,0,1,1,1,1,1,2.3301779518893033,piece1of4_03,0_0_0_10_14_8,-25.0,0
24,874,874,874,1,1,0,1,1,1,1,1,2.1873142258455367,linear_a1_b2,0_0_0_10_14_8,-25.0,0
25,720,720,720,1,1,0,1,1,1,1,1,1.8806192109603217,linear_a3_b2,0_0_0_10_14_8,-25.0,0
26,314,314,314,1,1,0,1,1,1,1,1,2.565742218406775,period2_30,0_0_0_10_14_8,-25.0,0
27,602,602,602,1,1,0,1,1,1,1,1,3.1309897262917947,piece1of4_01,0_0_0_10_14_8,-25.0,0
28,7,7,7,1,1,0,1,1,1,1,1,2.0293823566487883,piece3of4_13,0_0_0_10_14_8,-25.0,0
29,610,610,610,1,1,0,1,1,1,1,1,1.9233116814985944,linear_a3_b1,0_0_0_10_14_8,-25.0,0
30,839,839,839,1,1,0,1,1,1,1,1,1.6735864045436026,linear_a2_b0,0_0_0_10_14_8,-25.0,0
31,913,740,740,4,4,0,1,1,0,0,1,3.2027955909028902,piece3of4_10,0_0_0_10_14_8,-25.0,0
32,764,764,764,1,1,0,1,1,1,1,1,1.9282117714187337,linear_a2_b2,0_0_0_10_14_8,-25.0,0
33,577,577,577,1,1,0,1,1,1,1,1,2.524957204033788,piece1of4_13,0_0_0_10_14_8,-25.0,0
34,936,936,936,1,1,0,1,1,1,1,1,2.753008050167158,linear_a1_b3,0_0_0_10_14_8,-25.0,0
0,222,222,222,1,1,0,1,1,1,1,1,2.7940619648426632,piece1of4_21,0_0_0_10_14_8,-25.0,1
1,711,711,711,1,1,0,1,1,1,1,1,2.4685837236611654,linear_a1_b0,0_0_0_10_14_8,-25.0,1
2,871,121,121,3,3,0,1,1,0,0,1,2.6225515919813107,period2_21,0_0_0_10_14_8,-25.0,1
