event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
82,16994304,17133568,4149,4159,11,46,46,46,46,0.050872106795256326,0.2067291588896378,0.0005955420836731059,10,125000.0,500000.0,4,4096,24,4096,9,2
83,17268736,17399808,4216,4224,9,4094,-2,4094,4094,0.045324840266376676,0.19786066138497602,0.0005403443999642145,10,125000.0,500000.0,4,4096,24,4096,9,2
84,17391616,17530880,4246,4256,11,3836,-260,3836,3836,0.047316149845727275,0.2736362239385556,0.0005627646719213272,10,125000.0,500000.0,4,4096,24,4096,9,2
85,17526784,17682432,4279,4293,15,4036,-60,4036,4036,0.0685945321948529,0.2907920073827038,0.0005759898238537123,10,125000.0,500000.0,4,4096,24,4096,9,2
86,17666048,17805312,4313,4323,11,3747,-349,3747,3747,0.050140058428992586,0.5828081223983951,0.000599094750542331,10,125000.0,500000.0,4,4096,24,4096,9,2
87,17715200,17846272,4325,4333,9,333,333,333,333,0.04463753475596883,0.11759287223186522,0.0005247496863694919,10,125000.0,500000.0,4,4096,24,4096,9,2
88,17764352,17895424,4337,4345,9,230,230,230,230,0.04841992633087845,0.16624963659480224,0.0005777515791905457,10,125000.0,500000.0,4,4096,24,4096,9,2
89,17821696,17956864,4351,4360,10,167,167,167,167,0.04875784643046115,0.18654468538309105,0.0005844933811203561,10,125000.0,500000.0,4,4096,24,4096,9,2
90,17924096,18059264,4376,4385,10,473,473,473,473,0.046528522774242784,0.17969493890508703,0.0005525458435479602,10,125000.0,500000.0,4,4096,24,4096,9,2
91,18071552,18210816,4412,4422,11,184,184,184,184,0.059408319761128474,0.5225544587483575,0.0006907610359390572,10,125000.0,500000.0,4,4096,24,4096,9,2
92,18325504,18472960,4474,4486,13,737,737,737,737,0.05158240124588403,0.5705347144507386,0.0006368485948853857,10,125000.0,500000.0,4,4096,24,4096,9,2
93,18423808,18563072,4498,4508,11,210,210,210,210,0.05129033850591929,0.24571640643683657,0.0005661709060421204,10,125000.0,500000.0,4,4096,24,4096,9,2
94,18739200,18874368,4575,4584,10,158,158,158,158,0.04732060045246349,0.21787403468262082,0.000587689767963193,10,125000.0,500000.0,4,4096,24,4096,9,2
95,18976768,19120128,4633,4644,12,452,452,452,452,0.07138579733763933,0.48840869865705533,0.0006029442190229474,10,125000.0,500000.0,4,4096,24,4096,9,2
96,19210240,19349504,4690,4700,11,347,347,347,347,0.05775787840199317,0.17585453348722868,0.0005525418138404834,10,125000.0,500000.0,4,4096,24,4096,9,2
97,19456000,19603456,4750,4762,13,678,678,678,678,0.05303981762074171,0.3505887559857894,0.000644947312195554,10,125000.0,500000.0,4,4096,24,4096,9,2
98,19681280,19845120,4805,4821,17,342,342,342,342,0.04765793383442786,0.19294107889545592,0.0005834719061759586,10,125000.0,500000.0,4,4096,24,4096,9,2
99,19771392,19906560,4827,4836,10,429,429,429,429,0.04809057504607557,0.1924441382885586,0.0005854463815858195,10,125000.0,500000.0,4,4096,24,4096,9,2
100,19861504,19992576,4849,4857,9,4044,-52,4043,4044,0.0453513977286828,0.22666534242714922,0.0005628223219831401,10,125000.0,500000.0,4,4096,24,4096,9,2
101,19914752,20058112,4862,4873,12,4043,-53,4043,4043,0.04665093832739469,0.2898938331362538,0.0005750570320657436,10,125000.0,500000.0,4,4096,24,4096,9,2
102,20131840,20271104,4915,4925,11,191,191,191,191,0.04464014764309638,0.1678012102007025,0.000541637709514203,10,125000.0,500000.0,4,4096,24,4096,9,2
103,20176896,20316160,4926,4936,11,314,314,314,314,0.05580500055599891,0.4384505053041518,0.0006847514445749092,10,125000.0,500000.0,4,4096,24,4096,9,2
104,20901888,21032960,5103,5111,9,168,168,168,168,0.04660731515687289,0.40694339809563174,0.0006111331141957567,10,125000.0,500000.0,4,4096,24,4096,9,2
105,21008384,21159936,5129,5142,14,23,23,23,23,0.04947494026537964,0.44169604843065946,0.0006466419830404726,10,125000.0,500000.0,4,4096,24,4096,9,2
106,21159936,21291008,5166,5174,9,3868,-228,3868,3868,0.04419525575853208,0.32473673599077035,0.0005686919968354336,10,125000.0,500000.0,4,4096,24,4096,9,2
107,21262336,21397504,5191,5200,10,67,67,67,67,0.046207529495489376,0.38698665531293136,0.0006163045618281465,10,125000.0,500000.0,4,4096,24,4096,9,2
108,21614592,21749760,5277,5286,10,3791,-305,3791,3791,0.047549578633619596,0.38165377403106604,0.0006279792007149283,10,125000.0,500000.0,4,4096,24,4096,9,2
109,22315008,22450176,5448,5457,10,3760,-336,3760,3760,0.04495719206565214,0.39201995245725374,0.0005754304958619174,10,125000.0,500000.0,4,4096,24,4096,9,2
110,22441984,22577152,5479,5488,10,67,67,67,67,0.04411430468622978,0.24836313814760858,0.0006108676539546142,10,125000.0,500000.0,4,4096,24,4096,9,2
111,22482944,22618112,5489,5498,10,104,104,104,104,0.04446623936428107,0.34877988583603553,0.0005818778150393396,10,125000.0,500000.0,4,4096,24,4096,9,2
112,22786048,22978560,5563,5586,24,186,186,186,186,0.04780498234294935,0.56661590464738,0.0006573865698423888,10,125000.0,500000.0,4,4096,24,4096,9,2
113,23035904,23179264,5624,5635,12,336,336,336,336,0.05380556638746601,0.5353296039366289,0.0006541154866338569,10,125000.0,500000.0,4,4096,24,4096,9,2
114,23089152,23236608,5637,5649,13,4031,-65,4031,4031,0.0652361257773205,0.5978106286973707,0.0006214570849266305,10,125000.0,500000.0,4,4096,24,4096,9,2
115,23269376,23437312,5681,5698,18,54,54,54,54,0.05166945173459481,1.0508616417756709,0.000730151465210953,10,125000.0,500000.0,4,4096,24,4096,9,2
116,23347200,23486464,5700,5710,11,169,169,169,169,0.044263334926396856,0.31695744817333615,0.0005917423182128217,10,125000.0,500000.0,4,4096,24,4096,9,2
117,23461888,23609344,5728,5740,13,220,220,220,220,0.04456235367960312,0.31184141867968534,0.0005910479810358714,10,125000.0,500000.0,4,4096,24,4096,9,2
118,24035328,24166400,5868,5876,9,3752,-344,3752,3752,0.06557393096881853,0.23999937073988387,0.0005710488605025097,10,125000.0,500000.0,4,4096,24,4096,9,2
119,24215552,24350720,5912,5921,10,338,338,338,338,0.04634664348961734,0.3701457422357184,0.0005986896392550964,10,125000.0,500000.0,4,4096,24,4096,9,2
120,24268800,24412160,5925,5936,12,3991,-105,3991,3991,0.04652416045686145,0.3415727063037058,0.0006337532468756323,10,125000.0,500000.0,4,4096,24,4096,9,2
121,24424448,24555520,5963,5971,9,3998,-98,3998,3998,0.045932076108512764,0.2884062065425628,0.0005715675496572435,10,125000.0,500000.0,4,4096,24,4096,9,2
122,24465408,24616960,5973,5986,14,24,24,24,24,0.04730004007815263,0.3254886759207335,0.0005992247931889791,10,125000.0,500000.0,4,4096,24,4096,9,2
123,24608768,24772608,6008,6024,17,206,206,206,206,0.04481527450385708,0.5200936423487971,0.0006121305184298005,10,125000.0,500000.0,4,4096,24,4096,9,2
124,24834048,25018368,6063,6084,22,43,43,43,43,0.0549193997185117,0.42589877816741734,0.0006078144944677129,10,125000.0,500000.0,4,4096,24,4096,9,2
125,25051136,25202688,6116,6129,14,147,147,147,147,0.06940777345142672,0.5449324856925957,0.0006225340105079647,10,125000.0,500000.0,4,4096,24,4096,9,2
