dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,166,245,0,135,0.6775510204081633
0_0_0_10_14_32,-22.0,savaux,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_header,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_gls,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,branch_shrinkage,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,savaux_dual,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-22.0,proposed,31,245,0,0,0.12653061224489795
0_0_0_10_14_32,-23.0,ordinary_fft,189,245,0,154,0.7714285714285715
0_0_0_10_14_32,-23.0,savaux,35,245,0,0,0.14285714285714285
0_0_0_10_14_32,-23.0,savaux_header,35,245,0,0,0.14285714285714285
0_0_0_10_14_32,-23.0,branch_gls,36,245,0,1,0.1469387755102041
0_0_0_10_14_32,-23.0,branch_shrinkage,35,245,0,0,0.14285714285714285
0_0_0_10_14_32,-23.0,savaux_dual,35,245,0,0,0.14285714285714285
0_0_0_10_14_32,-23.0,proposed,36,245,0,1,0.1469387755102041
0_0_0_10_14_32,-24.0,ordinary_fft,205,245,0,156,0.8367346938775511
0_0_0_10_14_32,-24.0,savaux,49,245,0,0,0.2
0_0_0_10_14_32,-24.0,savaux_header,49,245,0,0,0.2
0_0_0_10_14_32,-24.0,branch_gls,50,245,1,2,0.20408163265306123
0_0_0_10_14_32,-24.0,branch_shrinkage,49,245,0,0,0.2
0_0_0_10_14_32,-24.0,savaux_dual,49,245,0,0,0.2
0_0_0_10_14_32,-24.0,proposed,50,245,1,2,0.20408163265306123
0_0_0_10_14_32,-25.0,ordinary_fft,220,245,1,149,0.8979591836734694
0_0_0_10_14_32,-25.0,savaux,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-25.0,savaux_header,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-25.0,branch_gls,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-25.0,branch_shrinkage,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-25.0,savaux_dual,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-25.0,proposed,72,245,0,0,0.2938775510204082
0_0_0_10_14_32,-26.0,ordinary_fft,232,245,0,124,0.9469387755102041
0_0_0_10_14_32,-26.0,savaux,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,savaux_header,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,branch_gls,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,branch_shrinkage,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,savaux_dual,108,245,0,0,0.44081632653061226
0_0_0_10_14_32,-26.0,proposed,108,245,0,0,0.44081632653061226
