packet_index,frame_index,event_index,payload_len,symbol_count,gt_compared_symbols,center_raw_ser,center_symbol_ser,center_symbol_accuracy,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,selected_raw_ser,selected_symbol_ser,selected_symbol_accuracy,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,center_crc_valid,center_payload_hex,center_decode_error,multi_crc_valid,multi_payload_hex,multi_decode_error,selected_crc_valid,selected_payload_hex,selected_decode_error,dataset,target_snr_db
0,0,0,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9989033347900411,0.019530003025369745,26,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
1,1,1,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9988888428769986,0.01661113862940457,26,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
2,2,2,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9990957706307425,0.014702719068713425,26,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
3,3,3,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9992389746139294,0.013838191928215275,26,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
4,4,4,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9988994012843284,0.017333798078201908,26,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
5,5,5,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9458135728439533,0.35528800877728833,26,1,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
6,6,6,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9369674484451816,0.36280981093133724,26,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,1,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
7,7,7,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,27,8,0.7714285714285715,0,27,0.0,8,8,1.0,0.9517273366107699,0.3450722822129755,26,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
8,8,8,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24,11,0.6857142857142857,0,24,0.0,11,11,1.0,0.931837636555619,0.3794509445559001,26,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
9,9,9,33,35,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17,18,0.4857142857142857,0,17,0.0,18,18,1.0,0.7281552070836599,0.5672548262882381,26,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,1,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0_0_0_10_14_8,-12.0
