file_name,input_iq,experiment_id,corridor_id,position_id,sf,tx_power_dbm,preamble_len,status,error,sync_returncode,sync_elapsed_s,header_returncode,header_elapsed_s,probe_returncode,probe_elapsed_s,probe_file_name,probe_input_iq,probe_symbol_csv,probe_detected_events,probe_framesync_valid,probe_header_valid_packets,probe_traditional_fft_crc_valid,probe_traditional_fft_crc_valid_rate,probe_multi_offset_argmax_crc_valid,probe_multi_offset_argmax_crc_valid_rate,probe_current_selected_crc_valid,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid,probe_savaux_codec_crc_valid_rate,probe_savaux_codec_extra_crc_valid_vs_paper,probe_savaux_codec_mean_symbol_change_count,probe_note
0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,0,0,0,10,14,16,ok,,0,8.032,0,0.234,0,0.672,0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\0_0_0_10_14_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,0,0,0,10,14,32,ok,,0,11.125,0,0.219,0,0.656,0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\0_0_0_10_14_32_header_first_symbols.csv,4,4,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,0,0,0,10,14,8,ok,,0,2.140,0,0.204,0,0.593,0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\0_0_0_10_14_8_header_first_symbols.csv,2,2,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_10_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_10_12_10_16.bin,1,0,10,12,10,16,ok,,0,159.016,0,0.281,0,15.703,1_0_10_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_10_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_10_12_10_16_header_first_symbols.csv,7,7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_11_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_11_12_10_16.bin,1,0,11,12,10,16,ok,,0,182.110,0,0.266,0,15.484,1_0_11_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_11_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_11_12_10_16_header_first_symbols.csv,7,7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_12_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_12_12_10_16.bin,1,0,12,12,10,16,ok,,0,181.109,0,0.266,0,15.516,1_0_12_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_12_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_12_12_10_16_header_first_symbols.csv,7,7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_13_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_13_12_10_16.bin,1,0,13,12,10,16,ok,,0,184.828,0,0.265,0,15.516,1_0_13_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_13_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_13_12_10_16_header_first_symbols.csv,6,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_14_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_14_12_10_16.bin,1,0,14,12,10,16,ok,,0,187.125,0,0.265,0,15.563,1_0_14_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_14_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_14_12_10_16_header_first_symbols.csv,7,7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_15_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_15_12_10_16.bin,1,0,15,12,10,16,ok,,0,187.985,0,0.265,0,15.719,1_0_15_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_15_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_15_12_10_16_header_first_symbols.csv,7,7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_16_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_16_12_10_16.bin,1,0,16,12,10,16,ok,,0,143.047,0,0.266,0,15.546,1_0_16_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1-SF12-TP10\1_0_16_12_10_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_all_fastscreen_sample20m_hop2_probe3_rank64\header_first\1_0_16_12_10_16_header_first_symbols.csv,6,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
