dataset,target_snr_db,packet_count,top_l_candidate_recall,gt_second_abs_pi,random_second_abs_pi_mean,random_second_abs_pi_p10,random_second_abs_pi_p50,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,center_second_abs_pi,center_ser_gain_vs_v3,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,multi_second_abs_pi,multi_ser_gain_vs_v3,v3_symbol_ser,v3_symbol_accuracy,v3_crc_valid_rate,v3_second_abs_pi,v3_ser_gain_vs_v3,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_crc_valid_rate,phase_line_second_abs_pi,phase_line_ser_gain_vs_v3,phase_dp_first_symbol_ser,phase_dp_first_symbol_accuracy,phase_dp_first_crc_valid_rate,phase_dp_first_second_abs_pi,phase_dp_first_ser_gain_vs_v3,phase_dp_second_symbol_ser,phase_dp_second_symbol_accuracy,phase_dp_second_crc_valid_rate,phase_dp_second_second_abs_pi,phase_dp_second_ser_gain_vs_v3,phase_dp_second_anchor_symbol_ser,phase_dp_second_anchor_symbol_accuracy,phase_dp_second_anchor_crc_valid_rate,phase_dp_second_anchor_second_abs_pi,phase_dp_second_anchor_ser_gain_vs_v3
0_0_0_10_14_16,-22.0,11,0.9688311688311689,0.26438319385941716,0.49967796768332334,0.4375797054406511,0.4968030872015246,0.6025974025974027,0.3974025974025974,0.0,0.4945941571562535,-0.5428571428571428,0.17922077922077922,0.8207792207792209,0.0,0.3684813756893819,-0.11948051948051946,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.2929060341832178,0.0,0.27012987012987016,0.7298701298701299,0.0,0.20660271222559426,-0.21038961038961038,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.24706784077597188,-0.018181818181818184,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584
0_0_0_10_14_16,-23.0,11,0.9246753246753247,0.28787966709123086,0.5018624532694691,0.4412327843355825,0.5040717463890236,0.7324675324675325,0.2675324675324675,0.0,0.521725845866508,-0.5662337662337662,0.3194805194805194,0.6805194805194805,0.0,0.4339636002488419,-0.15324675324675324,0.1662337662337662,0.8337662337662337,0.0,0.35283506653667646,0.0,0.4311688311688311,0.5688311688311689,0.0,0.2507533026224855,-0.2649350649350649,0.14805194805194802,0.851948051948052,0.09090909090909091,0.267826318402066,0.01818181818181818,0.1584415584415584,0.8415584415584415,0.09090909090909091,0.2392293403419978,0.007792207792207798,0.1584415584415584,0.8415584415584415,0.09090909090909091,0.2392293403419978,0.007792207792207798
0_0_0_10_14_16,-24.0,11,0.8545454545454546,0.3096997304481266,0.5041048595119395,0.43947635654163625,0.5069403600382087,0.8337662337662338,0.16623376623376626,0.0,0.5303876802223155,-0.5376623376623376,0.509090909090909,0.49090909090909096,0.0,0.49110687229477373,-0.21298701298701295,0.29610389610389604,0.7038961038961038,0.0,0.41786065156945024,0.0,0.6441558441558441,0.35584415584415585,0.0,0.2875329719467713,-0.34805194805194806,0.2831168831168831,0.7168831168831168,0.0,0.31048708265777897,0.012987012987012976,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104
0_0_0_10_14_16,-25.0,11,0.7298701298701299,0.33583944818004896,0.49724288919595117,0.43193499478726094,0.4985934074578377,0.9116883116883119,0.08831168831168833,0.0,0.5312659974714088,-0.4753246753246753,0.6441558441558443,0.35584415584415585,0.0,0.5012758159889592,-0.20779220779220778,0.43636363636363634,0.5636363636363637,0.0,0.4688793831869312,0.0,0.6857142857142857,0.3142857142857143,0.0,0.42379119380458,-0.24935064935064935,0.41038961038961036,0.5896103896103896,0.0,0.3280424311249516,0.025974025974025962,0.4623376623376623,0.5376623376623377,0.0,0.24667388312846272,-0.025974025974025972,0.4623376623376623,0.5376623376623377,0.0,0.24667388312846272,-0.025974025974025972
0_0_0_10_14_16,-26.0,11,0.6103896103896104,0.36573424347944633,0.5007407019266066,0.4350412553251763,0.5013100515536312,0.9506493506493506,0.04935064935064937,0.0,0.5295152289608068,-0.36363636363636365,0.7792207792207794,0.2207792207792208,0.0,0.5064177152614073,-0.19220779220779224,0.587012987012987,0.41298701298701296,0.0,0.47616916706519824,0.0,0.7844155844155846,0.21558441558441557,0.0,0.4812487046691786,-0.19740259740259744,0.574025974025974,0.425974025974026,0.0,0.33867118628056636,0.012987012987012991,0.6155844155844156,0.38441558441558443,0.0,0.2366760094705575,-0.02857142857142858,0.6155844155844156,0.38441558441558443,0.0,0.2366760094705575,-0.02857142857142858
mean_of_datasets,-22.0,11,0.9688311688311689,0.26438319385941716,0.49967796768332334,0.4375797054406511,0.4968030872015246,0.6025974025974027,0.3974025974025974,0.0,0.4945941571562535,-0.5428571428571428,0.17922077922077922,0.8207792207792209,0.0,0.3684813756893819,-0.11948051948051946,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.2929060341832178,0.0,0.27012987012987016,0.7298701298701299,0.0,0.20660271222559426,-0.21038961038961038,0.07792207792207793,0.9220779220779222,0.09090909090909091,0.24706784077597188,-0.018181818181818184,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584,0.07532467532467532,0.9246753246753248,0.09090909090909091,0.23787065393990545,-0.015584415584415584
mean_of_datasets,-23.0,11,0.9246753246753247,0.28787966709123086,0.5018624532694691,0.4412327843355825,0.5040717463890236,0.7324675324675325,0.2675324675324675,0.0,0.521725845866508,-0.5662337662337662,0.3194805194805194,0.6805194805194805,0.0,0.4339636002488419,-0.15324675324675324,0.1662337662337662,0.8337662337662337,0.0,0.35283506653667646,0.0,0.4311688311688311,0.5688311688311689,0.0,0.2507533026224855,-0.2649350649350649,0.14805194805194802,0.851948051948052,0.09090909090909091,0.267826318402066,0.01818181818181818,0.1584415584415584,0.8415584415584415,0.09090909090909091,0.2392293403419978,0.007792207792207798,0.1584415584415584,0.8415584415584415,0.09090909090909091,0.2392293403419978,0.007792207792207798
mean_of_datasets,-24.0,11,0.8545454545454546,0.3096997304481266,0.5041048595119395,0.43947635654163625,0.5069403600382087,0.8337662337662338,0.16623376623376626,0.0,0.5303876802223155,-0.5376623376623376,0.509090909090909,0.49090909090909096,0.0,0.49110687229477373,-0.21298701298701295,0.29610389610389604,0.7038961038961038,0.0,0.41786065156945024,0.0,0.6441558441558441,0.35584415584415585,0.0,0.2875329719467713,-0.34805194805194806,0.2831168831168831,0.7168831168831168,0.0,0.31048708265777897,0.012987012987012976,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104,0.3064935064935065,0.6935064935064935,0.0,0.23725068008013012,-0.0103896103896104
mean_of_datasets,-25.0,11,0.7298701298701299,0.33583944818004896,0.49724288919595117,0.43193499478726094,0.4985934074578377,0.9116883116883119,0.08831168831168833,0.0,0.5312659974714088,-0.4753246753246753,0.6441558441558443,0.35584415584415585,0.0,0.5012758159889592,-0.20779220779220778,0.43636363636363634,0.5636363636363637,0.0,0.4688793831869312,0.0,0.6857142857142857,0.3142857142857143,0.0,0.42379119380458,-0.24935064935064935,0.41038961038961036,0.5896103896103896,0.0,0.3280424311249516,0.025974025974025962,0.4623376623376623,0.5376623376623377,0.0,0.24667388312846272,-0.025974025974025972,0.4623376623376623,0.5376623376623377,0.0,0.24667388312846272,-0.025974025974025972
mean_of_datasets,-26.0,11,0.6103896103896104,0.36573424347944633,0.5007407019266066,0.4350412553251763,0.5013100515536312,0.9506493506493506,0.04935064935064937,0.0,0.5295152289608068,-0.36363636363636365,0.7792207792207794,0.2207792207792208,0.0,0.5064177152614073,-0.19220779220779224,0.587012987012987,0.41298701298701296,0.0,0.47616916706519824,0.0,0.7844155844155846,0.21558441558441557,0.0,0.4812487046691786,-0.19740259740259744,0.574025974025974,0.425974025974026,0.0,0.33867118628056636,0.012987012987012991,0.6155844155844156,0.38441558441558443,0.0,0.2366760094705575,-0.02857142857142858,0.6155844155844156,0.38441558441558443,0.0,0.2366760094705575,-0.02857142857142858
