frame_index,packet_index,event_index,stage,frame_symbol_index,stage_symbol_index,start_sample,sf,bw,os_factor,cfo_int,cfo_frac,cfo_correction_mode,cfo_common_phase_rad,cfo_common_phase_pi,sto_frac,sfo_hat,sfo_cum_before,source_grlora_branch_sample_phases,source_grlora_branch_valid,source_grlora_branch_payload_sto_frac,source_grlora_branch_payload_sto_sample_correction,source_grlora_branch_sfo_hat,source_grlora_branch_sfo_cum_initial,sfo_sample_adjust_after,raw_fft_bin,signed_fft_bin,symbol_value,peak_real,peak_imag,peak_amp,peak_power,peak_phase,peak_margin_db,total_power,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro
0,0,0,header,0,0,168866,10,125000.0,4,-26,-0.01733158908460568,continuous,-0.0,-0.0,0.428320365472747,-0.0066683749203107975,-0.07167963452725301,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,337,337,84,-12.185077667236328,76.38086700439453,77.3467062136429,5982.51220703125,1.7289937716511632,24.14938207720748,6134.6888742093,1,33,3,1,0
0,0,0,header,1,1,172962,10,125000.0,4,-26,-0.01733158908460568,continuous,-163.47171557255572,-52.03466317816922,0.428320365472747,-0.0066683749203107975,-0.07834800944756382,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,689,-335,172,-5.034441947937012,77.11449432373047,77.27865708286996,5971.99072265625,1.6359890986677463,23.483062207046782,6134.940804302063,1,33,3,1,0
0,0,0,header,2,2,177058,10,125000.0,4,-26,-0.01733158908460568,continuous,-326.94343114511145,-104.06932635633844,0.428320365472747,-0.0066683749203107975,-0.08501638436787462,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,57,57,14,3.20023775100708,76.74763488769531,76.81432797673854,5900.44140625,1.5291222752730302,19.858402024391005,6141.952320999655,1,33,3,1,0
0,0,0,header,3,3,181154,10,125000.0,4,-26,-0.01733158908460568,continuous,-490.4151467176672,-156.10398953450766,0.428320365472747,-0.0066683749203107975,-0.09168475928818542,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,81,81,20,11.185261726379395,75.91280364990234,76.73241712520357,5887.86328125,1.424505384547888,19.2504725609201,6144.433555844775,1,33,3,1,0
0,0,0,header,4,4,185250,10,125000.0,4,-26,-0.01733158908460568,continuous,-653.8868622902229,-208.13865271267687,0.428320365472747,-0.0066683749203107975,-0.09835313420849623,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,689,-335,172,19.31475067138672,74.45498657226562,76.9194684002307,5916.60498046875,1.3169761743114476,21.114617609277623,6141.857834403669,1,33,3,1,0
0,0,0,header,5,5,189346,10,125000.0,4,-26,-0.01733158908460568,continuous,-817.3585778627786,-260.1733158908461,0.428320365472747,-0.0066683749203107975,-0.10502150912880703,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,57,57,14,28.0596866607666,70.91143798828125,76.26124869857732,5815.77783203125,1.1940019600754186,17.893600460814397,6138.686266399593,1,33,3,1,0
0,0,0,header,6,6,193442,10,125000.0,4,-26,-0.01733158908460568,continuous,-980.8302934353344,-312.2079790690153,0.428320365472747,-0.0066683749203107975,-0.11168988404911784,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,729,-295,182,36.30254364013672,67.3388671875,76.50096541116194,5852.3984375,1.0763582907654359,19.437821616216386,6129.3532017529305,1,33,3,1,0
0,0,0,header,7,7,197538,10,125000.0,4,-26,-0.01733158908460568,continuous,-1144.30200900789,-364.2426422471845,0.428320365472747,-0.0066683749203107975,-0.11835825896942864,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,409,409,102,44.988216400146484,61.83567810058594,76.46954100179818,5847.59130859375,0.9418222152503577,19.606362640712145,6128.673462877778,1,33,3,1,0
0,0,0,payload,8,0,201634,10,125000.0,4,-26,-0.01733158908460568,continuous,-1307.7737245804458,-416.27730542535375,0.428320365472747,-0.0066683749203107975,-0.12502663388973945,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,1,803,-221,802,52.73268508911133,54.79680633544922,76.04883997321795,5783.4267578125,0.804591667850411,17.442959430909678,6125.19162589607,1,33,3,1,0
0,0,0,payload,9,1,205731,10,125000.0,4,-26,-0.01733158908460568,continuous,-1471.2853502398111,-468.3246723787129,0.428320365472747,-0.0066683749203107975,0.11830499118994975,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,711,-313,710,59.57272720336914,46.466888427734375,75.55184674514948,5708.08203125,0.6624279763036355,16.01405132670648,6126.612713147842,1,33,3,1,0
0,0,0,payload,10,2,209827,10,125000.0,4,-26,-0.01733158908460568,continuous,-1634.757065812367,-520.3593355568821,0.428320365472747,-0.0066683749203107975,0.11163661626963894,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,922,-102,921,66.64400482177734,37.060638427734375,76.25558536498389,5814.9140625,0.5075133840754289,18.548034980955265,6125.21307307035,1,33,3,1,0
0,0,0,payload,11,3,213923,10,125000.0,4,-26,-0.01733158908460568,continuous,-1798.2287813849227,-572.3939987350514,0.428320365472747,-0.0066683749203107975,0.10496824134932814,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,718,-306,717,71.18536376953125,26.113019943237305,75.82378139842672,5749.2451171875,0.3515899137947459,17.004533631393862,6109.021753948502,1,33,3,1,0
0,0,0,payload,12,4,218019,10,125000.0,4,-26,-0.01733158908460568,continuous,-1961.7004969574784,-624.4286619132206,0.428320365472747,-0.0066683749203107975,0.09829986642901734,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,756,-268,755,74.61241149902344,14.359190940856934,75.98156562071877,5773.19873046875,0.1901259348828714,17.76397475011992,6096.047331454352,1,33,3,1,0
0,0,0,payload,13,5,222115,10,125000.0,4,-26,-0.01733158908460568,continuous,-2125.172212530034,-676.4633250913897,0.428320365472747,-0.0066683749203107975,0.09163149150870653,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,109,109,108,76.5108871459961,1.5591415166854858,76.52677161710406,5856.345703125,0.020375214691529277,20.421316531477128,6091.637955715058,1,33,3,1,0
0,0,0,payload,14,6,226211,10,125000.0,4,-26,-0.01733158908460568,continuous,-2288.64392810259,-728.4979882695591,0.428320365472747,-0.0066683749203107975,0.08496311658839573,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,932,-92,931,75.68763732910156,-11.75304889678955,76.59472960218565,5866.75341796875,-0.15405323583740735,21.47065748168609,6085.721858235103,1,33,3,1,0
0,0,0,payload,15,7,230307,10,125000.0,4,-26,-0.01733158908460568,continuous,-2452.1156436751457,-780.5326514477283,0.428320365472747,-0.0066683749203107975,0.07829474166808492,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,468,468,467,71.8204345703125,-24.96099853515625,76.03437557934313,5781.2255859375,-0.334488122316507,17.950166578707318,6072.1954159414745,1,33,3,1,0
0,0,0,payload,16,8,234403,10,125000.0,4,-26,-0.01733158908460568,continuous,-2615.5873592477014,-832.5673146258974,0.428320365472747,-0.0066683749203107975,0.07162636674777412,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,89,89,88,66.53762817382812,-38.590049743652344,76.91844968677,5916.44775390625,-0.5255638362864155,23.457433642484883,6079.48632739883,1,33,3,1,0
0,0,0,payload,17,9,238499,10,125000.0,4,-26,-0.01733158908460568,continuous,-2779.059074820257,-884.6019778040667,0.428320365472747,-0.0066683749203107975,0.06495799182746331,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,713,-311,712,57.62591552734375,-50.31391525268555,76.49990985889448,5852.23583984375,-0.717760052159755,19.99542065813546,6084.738088683727,1,33,3,1,0
0,0,0,payload,18,10,242595,10,125000.0,4,-26,-0.01733158908460568,continuous,-2942.530790392813,-936.6366409822359,0.428320365472747,-0.0066683749203107975,0.058289616907152515,,1|1|0|0,-0.06502984666491851|0.1855222648852115|0.428320365472747|-0.32048016709575744,0|1|2|-1,-0.006412199904655524|-0.006412261190453686|-0.0066683749203107975|-0.006668446871727989,-0.06502984666491851|-0.06447773511478849|-0.07167963452725301|-0.07048016709575744,0,865,-159,864,46.49740219116211,-61.4199104309082,77.03514657523196,5934.4140625,-0.9228040646404597,23.842763431166457,6097.466903251669,1,33,3,1,0
