dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-22.0,ordinary_fft,149,210,0,92,0.7095238095238096
0_0_0_10_14_32,-22.0,savaux,57,210,0,0,0.2714285714285714
0_0_0_10_14_32,-22.0,branch_gls,58,210,0,1,0.2761904761904762
0_0_0_10_14_32,-22.0,savaux_dual,57,210,0,0,0.2714285714285714
0_0_0_10_14_32,-22.0,proposed,58,210,0,1,0.2761904761904762
0_0_0_10_14_32,-22.0,unichirp,61,210,0,0,0.2904761904761905
0_0_0_10_14_32,-22.0,symfec,77,210,0,0,0.36666666666666664
0_0_0_10_14_32,-22.0,loratrimmer,58,210,0,0,0.2761904761904762
0_0_0_10_14_32,-23.0,ordinary_fft,165,210,0,103,0.7857142857142857
0_0_0_10_14_32,-23.0,savaux,62,210,0,0,0.29523809523809524
0_0_0_10_14_32,-23.0,branch_gls,62,210,0,0,0.29523809523809524
0_0_0_10_14_32,-23.0,savaux_dual,62,210,0,0,0.29523809523809524
0_0_0_10_14_32,-23.0,proposed,62,210,0,0,0.29523809523809524
0_0_0_10_14_32,-23.0,unichirp,66,210,0,0,0.3142857142857143
0_0_0_10_14_32,-23.0,symfec,95,210,0,0,0.4523809523809524
0_0_0_10_14_32,-23.0,loratrimmer,65,210,0,0,0.30952380952380953
0_0_0_10_14_32,-24.0,ordinary_fft,185,210,0,113,0.8809523809523809
0_0_0_10_14_32,-24.0,savaux,72,210,0,0,0.34285714285714286
0_0_0_10_14_32,-24.0,branch_gls,72,210,0,0,0.34285714285714286
0_0_0_10_14_32,-24.0,savaux_dual,72,210,0,0,0.34285714285714286
0_0_0_10_14_32,-24.0,proposed,71,210,1,0,0.3380952380952381
0_0_0_10_14_32,-24.0,unichirp,73,210,0,0,0.3476190476190476
0_0_0_10_14_32,-24.0,symfec,116,210,0,0,0.5523809523809524
0_0_0_10_14_32,-24.0,loratrimmer,77,210,0,0,0.36666666666666664
0_0_0_10_14_32,-25.0,ordinary_fft,195,210,1,114,0.9285714285714286
0_0_0_10_14_32,-25.0,savaux,82,210,0,0,0.3904761904761905
0_0_0_10_14_32,-25.0,branch_gls,84,210,1,3,0.4
0_0_0_10_14_32,-25.0,savaux_dual,82,210,0,0,0.3904761904761905
0_0_0_10_14_32,-25.0,proposed,82,210,1,1,0.3904761904761905
0_0_0_10_14_32,-25.0,unichirp,97,210,0,0,0.46190476190476193
0_0_0_10_14_32,-25.0,symfec,153,210,0,0,0.7285714285714285
0_0_0_10_14_32,-25.0,loratrimmer,93,210,0,0,0.44285714285714284
0_0_0_10_14_32,-26.0,ordinary_fft,199,210,0,97,0.9476190476190476
0_0_0_10_14_32,-26.0,savaux,102,210,0,0,0.4857142857142857
0_0_0_10_14_32,-26.0,branch_gls,101,210,1,0,0.48095238095238096
0_0_0_10_14_32,-26.0,savaux_dual,102,210,1,1,0.4857142857142857
0_0_0_10_14_32,-26.0,proposed,100,210,2,0,0.47619047619047616
0_0_0_10_14_32,-26.0,unichirp,100,210,0,0,0.47619047619047616
0_0_0_10_14_32,-26.0,symfec,178,210,0,0,0.8476190476190476
0_0_0_10_14_32,-26.0,loratrimmer,117,210,0,0,0.5571428571428572
