dataset,iq_path,symbol_csv_path,waveform_source,gt_provenance,sf,os_factor,selected_packets,selected_symbols,clean_savaux_errors,min_clean_recomputed_margin_db,median_clean_recomputed_margin_db,signal_reference_power
0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,10,4,10,300,0,14.317412496893835,21.114863255665433,9.801777634934276e-05
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,10,4,11,330,0,8.668126061268843,19.162471916923305,7.290681023720233e-05
0_0_0_10_14_32,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_32_header_first_symbols.csv,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,10,4,7,210,0,10.967098722838916,16.791138920741833,6.437826280243076e-05
