packet_index,frame_index,event_index,source_header_valid,header_symbols,payload_symbols,crc_valid,header_mismatches,known_prefix_symbols,known_prefix_mismatches,padding_suffix_symbols,padding_suffix_mismatches,payload_hex,crc_hex,eligible,selected,selected_symbols,exclusion_reason,gt_provenance,decoded_payload_len,decoded_cr,decoded_has_crc,decoded_ldro,dataset,iq_path,symbol_csv_path
0,0,0,1,8,35,1,0,30,0,5,5,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,6413,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
1,1,1,1,8,35,1,0,30,0,5,5,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,49db,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
2,2,2,1,8,35,1,0,30,0,5,5,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,fd9e,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
3,3,3,1,8,35,1,0,30,0,5,5,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,2150,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
4,4,4,1,8,35,1,0,30,0,5,5,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,9515,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
5,5,5,1,8,35,1,0,30,0,5,5,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,5ad0,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
6,6,6,1,8,35,1,0,30,0,5,5,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,ee95,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
7,7,7,1,8,35,1,0,30,0,5,5,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,325b,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
8,8,8,1,8,35,1,0,30,0,5,5,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,861e,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
9,9,9,1,8,35,1,0,30,0,5,5,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,abd6,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_8,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_8_header_first_symbols.csv
1,0,1,1,8,35,1,0,30,0,5,5,404433221100020058303132333435363738393a3b3c3d3e3f4041424378563412,144d,1,1,30,,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,33,1,1,0,0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\experiments\real_iq_payload_noise_cfr_nus_20260720\source_demod\0_0_0_10_14_16_header_first_symbols.csv
