dataset,noise_model,added_snr_db,run_count,symbol_count,savaux_equal_errors,savaux_equal_ser,savaux_gls_errors,savaux_gls_ser,savaux_nus_joint_gls_errors,savaux_nus_joint_gls_ser,segmented_savaux_gls_errors,segmented_savaux_gls_ser,segmented_savaux_nus_gls_errors,segmented_savaux_nus_gls_ser,savaux_gls_vs_equal_fixes,savaux_gls_vs_equal_breaks,savaux_gls_vs_equal_exact_p,full_nus_vs_savaux_gls_fixes,full_nus_vs_savaux_gls_breaks,full_nus_vs_savaux_gls_exact_p,segmented_savaux_vs_savaux_gls_fixes,segmented_savaux_vs_savaux_gls_breaks,segmented_savaux_vs_savaux_gls_exact_p,segmented_nus_vs_segmented_savaux_fixes,segmented_nus_vs_segmented_savaux_breaks,segmented_nus_vs_segmented_savaux_exact_p,full_nus_run_wins,full_nus_run_ties,full_nus_run_losses,segmented_savaux_run_wins,segmented_savaux_run_ties,segmented_savaux_run_losses,segmented_nus_run_wins,segmented_nus_run_ties,segmented_nus_run_losses
0_0_0_10_14_16,ar1_rho0.8,-28.0,3,990,957,0.9666666666666667,957,0.9666666666666667,956,0.9656565656565657,902,0.9111111111111111,903,0.9121212121212121,0,0,1.0,1,0,1.0,68,13,3.8083949050165744e-10,1,2,1.0,1,2,0,3,0,0,0,2,1
0_0_0_10_14_16,ar1_rho0.8,-26.0,3,990,901,0.9101010101010101,902,0.9111111111111111,902,0.9111111111111111,766,0.7737373737373737,766,0.7737373737373737,0,1,1.0,0,0,1.0,154,18,4.074445781426416e-28,1,1,1.0,0,3,0,3,0,0,0,3,0
0_0_0_10_14_16,ar1_rho0.8,-24.0,3,990,793,0.8010101010101011,793,0.8010101010101011,792,0.8,527,0.5323232323232323,527,0.5323232323232323,0,0,1.0,1,0,1.0,283,17,2.388529340384941e-63,1,1,1.0,1,2,0,3,0,0,0,3,0
0_0_0_10_14_16,ar1_rho0.8,-22.0,3,990,558,0.5636363636363636,556,0.5616161616161616,557,0.5626262626262626,249,0.2515151515151515,249,0.2515151515151515,2,0,0.5,0,1,1.0,320,13,9.34125647864526e-78,1,1,1.0,0,2,1,3,0,0,0,3,0
0_0_0_10_14_16,ar1_rho0.8,-20.0,3,990,268,0.27070707070707073,268,0.27070707070707073,268,0.27070707070707073,56,0.05656565656565657,57,0.05757575757575758,0,0,1.0,0,0,1.0,214,2,4.450952425147448e-61,0,1,1.0,0,3,0,3,0,0,0,2,1
0_0_0_10_14_16,awgn,-28.0,3,990,666,0.6727272727272727,666,0.6727272727272727,666,0.6727272727272727,666,0.6727272727272727,666,0.6727272727272727,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_16,awgn,-26.0,3,990,385,0.3888888888888889,385,0.3888888888888889,385,0.3888888888888889,385,0.3888888888888889,385,0.3888888888888889,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_16,awgn,-24.0,3,990,128,0.1292929292929293,128,0.1292929292929293,128,0.1292929292929293,128,0.1292929292929293,128,0.1292929292929293,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_16,awgn,-22.0,3,990,14,0.014141414141414142,14,0.014141414141414142,14,0.014141414141414142,14,0.014141414141414142,14,0.014141414141414142,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
0_0_0_10_14_16,awgn,-20.0,3,990,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,3,0,0,3,0,0,3,0
