dataset,noise_model,added_snr_db,run_count,symbol_count,savaux_equal_errors,savaux_equal_ser,savaux_gls_errors,savaux_gls_ser,savaux_nus_joint_gls_errors,savaux_nus_joint_gls_ser,segmented_savaux_gls_errors,segmented_savaux_gls_ser,segmented_savaux_nus_gls_errors,segmented_savaux_nus_gls_ser,savaux_gls_vs_equal_fixes,savaux_gls_vs_equal_breaks,savaux_gls_vs_equal_exact_p,full_nus_vs_savaux_gls_fixes,full_nus_vs_savaux_gls_breaks,full_nus_vs_savaux_gls_exact_p,segmented_savaux_vs_savaux_gls_fixes,segmented_savaux_vs_savaux_gls_breaks,segmented_savaux_vs_savaux_gls_exact_p,segmented_nus_vs_segmented_savaux_fixes,segmented_nus_vs_segmented_savaux_breaks,segmented_nus_vs_segmented_savaux_exact_p,full_nus_run_wins,full_nus_run_ties,full_nus_run_losses,segmented_savaux_run_wins,segmented_savaux_run_ties,segmented_savaux_run_losses,segmented_nus_run_wins,segmented_nus_run_ties,segmented_nus_run_losses
ALL,ar1_rho0.8,-28.0,9,2520,2425,0.9623015873015873,2425,0.9623015873015873,2424,0.9619047619047619,2287,0.9075396825396825,2288,0.9079365079365079,0,0,1.0,1,0,1.0,174,36,6.760105095825181e-23,3,4,1.0,1,8,0,9,0,0,1,5,3
ALL,ar1_rho0.8,-26.0,9,2520,2296,0.9111111111111111,2297,0.9115079365079365,2297,0.9115079365079365,1957,0.7765873015873016,1958,0.776984126984127,0,1,1.0,0,0,1.0,387,47,1.3698239342983934e-67,3,4,1.0,0,9,0,9,0,0,0,8,1
ALL,ar1_rho0.8,-24.0,9,2520,2007,0.7964285714285714,2007,0.7964285714285714,2006,0.796031746031746,1397,0.5543650793650794,1397,0.5543650793650794,0,0,1.0,1,0,1.0,661,51,3.1009073403773264e-136,2,2,1.0,1,8,0,9,0,0,1,7,1
ALL,ar1_rho0.8,-22.0,9,2520,1442,0.5722222222222222,1438,0.5706349206349206,1440,0.5714285714285714,704,0.27936507936507937,704,0.27936507936507937,4,0,0.125,0,2,0.5,776,42,6.389920283938332e-176,3,3,1.0,0,7,2,9,0,0,1,7,1
ALL,ar1_rho0.8,-20.0,9,2520,748,0.2968253968253968,748,0.2968253968253968,748,0.2968253968253968,233,0.09246031746031746,233,0.09246031746031746,0,0,1.0,0,0,1.0,522,7,2.5494733179184617e-144,1,1,1.0,0,9,0,9,0,0,1,7,1
ALL,awgn,-28.0,9,2520,1709,0.6781746031746032,1709,0.6781746031746032,1709,0.6781746031746032,1709,0.6781746031746032,1709,0.6781746031746032,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,9,0,0,9,0,0,9,0
ALL,awgn,-26.0,9,2520,1018,0.403968253968254,1018,0.403968253968254,1018,0.403968253968254,1018,0.403968253968254,1018,0.403968253968254,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,9,0,0,9,0,0,9,0
ALL,awgn,-24.0,9,2520,380,0.15079365079365079,380,0.15079365079365079,380,0.15079365079365079,380,0.15079365079365079,380,0.15079365079365079,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,9,0,0,9,0,0,9,0
ALL,awgn,-22.0,9,2520,109,0.04325396825396825,109,0.04325396825396825,109,0.04325396825396825,109,0.04325396825396825,109,0.04325396825396825,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,9,0,0,9,0,0,9,0
ALL,awgn,-20.0,9,2520,64,0.025396825396825397,64,0.025396825396825397,64,0.025396825396825397,64,0.025396825396825397,64,0.025396825396825397,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,9,0,0,9,0,0,9,0
