stem,snr_db,trend_source_arg,preselect_mode,top_l,phase_bonus_weight,phase_gate_width_pi,center_recall,multi_offset_recall,phase_gated_recall,gain_vs_center,gain_vs_multi_offset,phase_rescue_count,phase_damage_count,mean_phase_trend_quality,mean_early_anchor_count
0_0_0_10_14_8,20,early-payload,default,1,0.2,0.5,0.6342857142857142,0.9542857142857143,0.96,0.32571428571428573,0.005714285714285672,2,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,2,0.02,0.166667,0.7142857142857143,0.9742857142857143,0.9742857142857143,0.26,0.0,0,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,4,0.02,0.166667,0.7971428571428572,0.98,0.98,0.18285714285714283,0.0,0,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,8,0.02,0.166667,0.8428571428571429,0.9885714285714285,0.9885714285714285,0.14571428571428569,0.0,0,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,16,0.02,0.166667,0.8828571428571429,1.0,1.0,0.1171428571428571,0.0,0,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,32,0.02,0.166667,0.9285714285714286,1.0,1.0,0.0714285714285714,0.0,0,0,0.31979646710877585,8.0
0_0_0_10_14_8,20,early-payload,default,64,0.02,0.166667,0.9628571428571429,1.0,1.0,0.037142857142857144,0.0,0,0,0.31979646710877585,8.0
