capture,packet_index,frame_index,payload_start_sample,payload_start_time_s,symbol_count,dechirp_gt_bin_energy,dechirp_residual_fft_energy,dechirp_total_fft_energy,dechirp_gt_energy_ratio,dechirp_gt_packet_snr_db
low2,0,0,1310802,2.621604,49,0.055752932374424066,0.010107662588097475,0.06586059496252154,0.846529437004793,7.4161697845921095
low2,1,1,2811171,5.622342,49,0.049103359856216625,0.011749758222751455,0.06085311807896808,0.80691608591849,6.2108227924464785
low2,3,2,5811901,11.623802,49,0.12184753630344358,0.016466763584859972,0.13831429988830354,0.8809467741357344,8.692085020589005
low2,4,3,7312258,14.624516,49,0.0008501449037626747,0.11808488365778377,0.11893502856154645,0.007147977463365572,-21.42701350282818
low2,5,4,8812627,17.625254,49,0.11677753057680103,0.012420971955568773,0.1291985025323698,0.9038613318876758,9.732037060309656
low2,6,5,10312988,20.625976,49,0.0009373304464228751,0.12515609791233548,0.12609342835875834,0.0074336185368519166,-21.255592903186763
low2,7,6,11813358,23.626716,49,0.10346350577258194,0.014067930682777879,0.11753143645535982,0.8803049540867214,8.66556970278721
low2,8,7,13313722,26.627444,49,0.11233349085633708,0.01210793567674905,0.12444142653308612,0.9027017287243182,9.674391500476826
low2,10,8,16314453,32.628906,49,0.11483333596233,0.013807085026623662,0.12864042098895367,0.8926691554607918,9.199659821406847
low2,11,9,17814818,35.629636,49,0.11421634409981034,0.013170535150045992,0.12738687924985634,0.8966099552198517,9.381248331781908
low2,13,10,20815550,41.6311,49,0.12381025367739747,0.012874505831078416,0.1366847595084759,0.905808768458344,9.830260451530993
low2,14,11,22315914,44.631828,49,0.1170892758378238,0.012951648161366602,0.1300409239991904,0.9004032902638617,9.561920819701337
low2,15,12,23816283,47.632566,49,0.08308691644806124,0.01211625085195166,0.0952031673000129,0.8727326916155024,8.361643852900665
low2,16,13,25316648,50.633296,49,0.08247368153198585,0.011906305332738053,0.0943799868647239,0.8738471393325842,8.405383657331864
low2,17,14,26817014,53.634028,49,0.08574746619192485,0.0106894113660043,0.09643687755792915,0.8891563928997678,9.042675050864649
