dataset,snr_db,seed,symbol_count,mean_rank1_ratio,mean_rank2_ratio,savaux_ser,savaux_mean_gt_rank,savaux_mean_gt_margin_db,svd_left_ser,svd_left_mean_gt_rank,svd_left_mean_gt_margin_db,svd_left_fix_vs_savaux,svd_left_break_vs_savaux,svd_left_changes_vs_savaux,svd_rank1_savaux_ser,svd_rank1_savaux_mean_gt_rank,svd_rank1_savaux_mean_gt_margin_db,svd_rank1_savaux_fix_vs_savaux,svd_rank1_savaux_break_vs_savaux,svd_rank1_savaux_changes_vs_savaux,svd_rank2_savaux_ser,svd_rank2_savaux_mean_gt_rank,svd_rank2_savaux_mean_gt_margin_db,svd_rank2_savaux_fix_vs_savaux,svd_rank2_savaux_break_vs_savaux,svd_rank2_savaux_changes_vs_savaux
0_0_0_10_14_16,-22.0,42,105,0.27025472825640784,0.5263521998027283,0.0,1.0,4.117582458039782,0.6761904761904762,148.59047619047618,-3.46158238782678,0,71,71,0.5904761904761905,68.52380952380952,-1.7493654151694509,0,62,62,0.2571428571428571,12.142857142857142,1.1654804427008425,0,27,27
0_0_0_10_14_16,-23.0,42,105,0.2701885794713584,0.5262972136217132,0.0380952380952381,1.0476190476190477,3.1184549941396766,0.8,171.83809523809524,-4.342566368108905,0,80,84,0.7428571428571429,94.21904761904761,-2.9262266206564846,0,74,78,0.45714285714285713,22.39047619047619,0.03736919595202127,1,45,49
0_0_0_10_14_16,-24.0,42,105,0.27014762822975824,0.5262612486160324,0.13333333333333333,1.5714285714285714,2.1192577649296727,0.8857142857142857,198.56190476190477,-5.225671932051493,0,79,93,0.8285714285714286,131.07619047619048,-4.19337495606099,1,74,88,0.6095238095238096,37.31428571428572,-1.0551760991220251,2,52,66
0_0_0_10_14_16,-25.0,42,105,0.27012111700089014,0.5262373631212631,0.26666666666666666,3.961904761904762,1.1204010186747178,0.9238095238095239,228.23809523809524,-5.994407271245296,1,70,98,0.8952380952380953,167.0857142857143,-5.345460413102568,1,67,93,0.7238095238095238,58.352380952380955,-2.110825016134405,1,49,76
