frame_index,packet_index,event_index,stage,frame_symbol_index,stage_symbol_index,start_sample,sf,bw,os_factor,cfo_int,cfo_frac,cfo_correction_mode,cfo_common_phase_rad,cfo_common_phase_pi,sto_frac,sfo_hat,sfo_cum_before,sfo_sample_adjust_after,raw_fft_bin,signed_fft_bin,symbol_value,peak_real,peak_imag,peak_amp,peak_power,peak_phase,peak_margin_db,total_power,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro
0,0,0,header,0,0,1760780,11,125000.0,4,6,0.043338268995285034,continuous,0.0,0.0,-0.07342094085116457,0.0015489384531974792,-0.07342094085116457,0,1745,-303,436,19.795978546142578,-45.726593017578125,49.82772396562542,2482.80224609375,-1.1622361358034912,21.917543426301116,2590.7820836164524,1,33,1,1,1
0,0,0,header,1,1,1768972,11,125000.0,4,6,0.043338268995285034,continuous,37.97141421806729,12.08667653799057,-0.07342094085116457,0.0015489384531974792,-0.0718720023979671,0,1393,-655,348,10.934856414794922,-48.78594207763672,49.996392161982115,2499.638671875,-1.3503010763840477,24.496399972780605,2596.4068910525657,1,33,1,1,1
0,0,0,header,2,2,1777164,11,125000.0,4,6,0.043338268995285034,continuous,75.94282843613458,24.17335307598114,-0.07342094085116457,0.0015489384531974792,-0.07032306394476961,0,61,61,15,0.12736298143863678,-49.4958381652832,49.49600203059785,2449.854248046875,-1.5682231266016227,19.4579067207341,2589.406783021949,1,33,1,1,1
0,0,0,header,3,3,1785356,11,125000.0,4,6,0.043338268995285034,continuous,113.91424265420187,36.26002961397171,-0.07342094085116457,0.0015489384531974792,-0.06877412549157214,0,173,173,43,-12.070390701293945,-48.1081428527832,49.59927157152289,2460.087890625,-1.8166229967625007,19.912061115855213,2588.406797373839,1,33,1,1,1
0,0,0,header,4,4,1793548,11,125000.0,4,6,0.043338268995285034,continuous,151.88565687226915,48.34670615196228,-0.07342094085116457,0.0015489384531974792,-0.06722518703837466,0,1741,-307,435,-23.833261489868164,-43.54524230957031,49.64083481412884,2464.21240234375,-2.071581032223581,21.26165965947092,2581.156113328913,1,33,1,1,1
0,0,0,header,5,5,1801740,11,125000.0,4,6,0.043338268995285034,continuous,189.85707109033643,60.43338268995284,-0.07342094085116457,0.0015489384531974792,-0.06567624858517718,0,1657,-391,414,-35.442752838134766,-35.38682556152344,50.08409080802804,2508.416259765625,-2.3569840934379367,21.64431072206218,2616.783557426563,1,33,1,1,1
0,0,0,header,6,6,1809932,11,125000.0,4,6,0.043338268995285034,continuous,227.82848530840374,72.52005922794342,-0.07342094085116457,0.0015489384531974792,-0.0641273101319797,0,1445,-603,361,-44.6478385925293,-22.542213439941406,50.01580627917962,2501.5810546875,-2.6740413043882274,23.404429103528486,2601.282779259871,1,33,1,1,1
0,0,0,header,7,7,1818124,11,125000.0,4,6,0.043338268995285034,continuous,265.799899526471,84.60673576593398,-0.07342094085116457,0.0015489384531974792,-0.06257837167878222,0,697,697,174,-49.964637756347656,-5.5419392585754395,50.271046506600406,2527.177978515625,-3.031126952391927,25.441766383405785,2622.7836524960894,1,33,1,1,1
0,0,0,payload,8,0,1826316,11,125000.0,4,6,0.043338268995285034,continuous,303.7713137445383,96.69341230392456,-0.07342094085116457,0.0015489384531974792,-0.06102943322558474,0,441,441,110,-48.129539489746094,13.067789077758789,49.87203307341521,2487.219482421875,2.8764712874141476,21.346739780983167,2598.53222053891,1,33,1,1,1
0,0,0,payload,9,1,1834508,11,125000.0,4,6,0.043338268995285034,continuous,341.7427279626056,108.78008884191513,-0.07342094085116457,0.0015489384531974792,-0.05948049477238726,0,1649,-399,412,-39.00419235229492,30.956390380859375,49.795834428865476,2479.625,2.470724456531616,20.559920007257947,2604.1575383117315,1,33,1,1,1
0,0,0,payload,10,2,1842700,11,125000.0,4,6,0.043338268995285034,continuous,379.71414218067287,120.86676537990569,-0.07342094085116457,0.0015489384531974792,-0.05793155631918978,0,1329,-719,332,-22.956436157226562,44.55786895751953,50.12386305021094,2512.401611328125,2.0465337997567628,25.502151332459434,2606.5325963857345,1,33,1,1,1
0,0,0,payload,11,3,1850892,11,125000.0,4,6,0.043338268995285034,continuous,417.6855563987402,132.95344191789627,-0.07342094085116457,0.0015489384531974792,-0.0563826178659923,0,1381,-667,345,-1.3446513414382935,50.09290313720703,50.11094722656556,2511.106689453125,1.5976330328318789,23.253538459515347,2621.783450115481,1,33,1,1,1
0,0,0,payload,12,4,1859084,11,125000.0,4,6,0.043338268995285034,continuous,455.6569706168075,145.04011845588684,-0.07342094085116457,0.0015489384531974792,-0.05483367941279482,0,2005,-43,501,22.21306610107422,43.737796783447266,49.055225746915305,2406.4150390625,1.1008734438922438,17.142294014675535,2599.2824001601457,1,33,1,1,1
0,0,0,payload,13,5,1867276,11,125000.0,4,6,0.043338268995285034,continuous,493.62838483487474,157.1267949938774,-0.07342094085116457,0.0015489384531974792,-0.05328474095959734,0,1861,-187,465,42.16275405883789,26.19693946838379,49.638467616720554,2463.977294921875,0.5559550984944045,17.635770927764206,2638.659595398436,1,33,1,1,1
0,0,0,payload,14,6,1875468,11,125000.0,4,6,0.043338268995285034,continuous,531.599799052942,169.21347153186795,-0.07342094085116457,0.0015489384531974792,-0.051735802506399864,0,1693,-355,423,49.45671081542969,-0.8532031774520874,49.46406979154722,2446.694091796875,-0.01724980364734593,18.399417225350764,2597.4073516708613,1,33,1,1,1
0,0,0,payload,15,7,1883660,11,125000.0,4,6,0.043338268995285034,continuous,569.5712132710094,181.30014806985855,-0.07342094085116457,0.0015489384531974792,-0.050186864053202385,0,1245,-803,311,40.21825408935547,-28.925888061523438,49.54003393361516,2454.215087890625,-0.6235110547031474,21.778305000337003,2579.5314048699165,1,33,1,1,1
0,0,0,payload,16,8,1891852,11,125000.0,4,6,0.043338268995285034,continuous,607.5426274890766,193.38682460784912,-0.07342094085116457,0.0015489384531974792,-0.048637925600004905,0,1661,-387,415,14.94433879852295,-47.08901596069336,49.40352908721676,2440.708740234375,-1.2634867346596084,17.81857112130498,2607.2828920182537,1,33,1,1,1
0,0,0,payload,17,9,1900044,11,125000.0,4,6,0.043338268995285034,continuous,645.5140417071439,205.47350114583966,-0.07342094085116457,0.0015489384531974792,-0.047088987146807426,0,593,593,148,-17.9325008392334,-46.076995849609375,49.443544906024144,2444.664306640625,-1.941945276821089,18.707440803802765,2601.282512161009,1,33,1,1,1
0,0,0,payload,18,10,1908236,11,125000.0,4,6,0.043338268995285034,continuous,683.4854559252112,217.56017768383026,-0.07342094085116457,0.0015489384531974792,-0.04554004869360995,0,2017,-31,504,-42.72733688354492,-23.374683380126953,48.703194353975604,2372.0009765625,-2.641004642318222,15.487278723407066,2619.1584298867347,1,33,1,1,1
0,0,0,payload,19,11,1916428,11,125000.0,4,6,0.043338268995285034,continuous,721.4568701432785,229.64685422182083,-0.07342094085116457,0.0015489384531974792,-0.04399111024041247,0,9,9,2,-47.10997772216797,12.012059211730957,48.617276430187786,2363.639404296875,2.8919333067448694,15.05842649646957,2618.2835320051995,1,33,1,1,1
