snr_db,mode,packets,total_symbols,correct_symbols,overall_ser,argmax_total_symbols,argmax_correct_symbols,argmax_ser,correct_gain_vs_argmax,payload_template_known_total,byte_symbol_prior_known_total,byte_residual_candidates_total,prior_search_success,prior_search_mean_margin,prior_search_mean_rmse_pi,reconstructed_exact,reconstructed_compared,reconstructed_unknown_bytes_total,header_methods,summary_path
-20,session_residual_search,5,175,168,0.0400,175,105,0.4000,63,150,0,1280,5,0.336468,0.029429,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_argmax_gain\snr_m20dB\session_residual_search\0_0_0_10_14_16_snr_m20dB_phase_guided_summary.csv
-23,session_residual_search,5,175,156,0.1086,175,41,0.7657,115,150,0,1280,5,0.340030,0.044230,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_argmax_gain\snr_m23dB\session_residual_search\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-25,session_residual_search,5,175,152,0.1314,175,9,0.9486,143,150,0,1280,5,0.307925,0.106868,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_argmax_gain\snr_m25dB\session_residual_search\0_0_0_10_14_16_snr_m25dB_phase_guided_summary.csv
-27,session_residual_search,5,175,150,0.1429,175,2,0.9886,148,150,0,1280,5,0.307225,0.111877,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep_argmax_gain\snr_m27dB\session_residual_search\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
