method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,8,0.11428571428571428,0,0,0.49281460001293453,7.04020857161335,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,8,0.11428571428571428,0,0,1.2842402000205766,18.34628857172252,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
information_12,12,70,8,0.11428571428571428,2,2,1.3328802999858453,19.041147142654932,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,21,0.3,2,15,1.3333341000143264,19.047630000204663,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,10.0,10.0
savaux,0,70,8,0.11428571428571428,0,0,0.1946875000030559,2.7812500000436557,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,10,0.14285714285714285,0,2,1.3005218999896897,18.578884285566996,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
information_12,12,70,8,0.11428571428571428,1,1,1.3074150000102236,18.677357143003196,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,21,0.3,1,14,1.3208315999982005,18.86902285711715,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,10.0,10.0
savaux,0,70,5,0.07142857142857142,0,0,0.18958969998493558,2.70842428549908,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
hamming_12,12,70,6,0.08571428571428572,0,1,1.1906354000057036,17.009077142938622,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
information_12,12,70,7,0.1,0,2,1.1826851000114402,16.89550142873486,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
lora_information_12,12,70,24,0.34285714285714286,0,19,1.2310170000018843,17.585957142884062,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,10.0,10.0
