sf,tx_power_dbm,capture_count,header_valid_packets,trad_crc_valid,trad_crc_valid_rate,cur_crc_valid,cur_crc_valid_rate,sav_crc_valid,sav_crc_valid_rate,codec_crc_valid,codec_crc_valid_rate
10,14,3,28,28,1.0,28,1.0,28,1.0,28,1.0
11,2,6,38,34,0.8947368421052632,35,0.9210526315789473,36,0.9473684210526315,36,0.9473684210526315
12,2,4,33,1,0.030303030303030304,1,0.030303030303030304,1,0.030303030303030304,1,0.030303030303030304
12,10,5,27,0,0.0,0,0.0,0,0.0,0,0.0
12,14,5,16,0,0.0,0,0.0,0,0.0,0,0.0
