method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,8,0.11428571428571428,0,0,0.3692060000030324,5.2743714286147485,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,8,0.11428571428571428,0,0,0.9118120999992243,13.025887142846061,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,8,0.11428571428571428,2,2,0.8815365999980713,12.593379999972447,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,9,0.12857142857142856,1,2,0.9031524000019999,12.902177142885714,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,8,0.11428571428571428,0,0,0.16500630000882666,2.357232857268952,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,10,0.14285714285714285,0,2,0.9780007999688678,13.971439999555255,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,8,0.11428571428571428,1,1,0.9934996000192768,14.192851428846812,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,6,0.08571428571428572,3,1,1.0162004999983765,14.517149999976807,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,5,0.07142857142857142,0,0,0.12282570000024862,1.7546528571464088,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,6,0.08571428571428572,0,1,0.730208600009064,10.431551428700914,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,7,0.1,0,2,0.7659368000095128,10.941954285850183,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,6,0.08571428571428572,1,2,0.7812308000284247,11.160440000406068,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
