file_name,packet_index,event_index,anchor_count,preamble_len,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,netid_valid,anchor_grid,payload_cfo_correction_mode,anchor_slope_pi_per_symbol,anchor_intercept_pi,anchor_fit_r2,anchor_fit_rmse_pi,anchor_residual_std_pi,anchor_residual_peak_to_peak_pi,anchor_bin_mode,anchor_bin,anchor_signed_bin,anchor_bin_argmax_rate,anchor_mean_er,anchor_mean_margin_db,payload_symbol_count,payload_phase_offset_rad,payload_phase_offset_pi,payload_residual_direct_rmse_pi,payload_residual_direct_std_pi,payload_residual_aligned_rmse_pi,payload_residual_aligned_std_pi,payload_residual_aligned_peak_to_peak_pi,payload_own_slope_pi_per_symbol,payload_own_fit_r2,payload_own_fit_rmse_pi,preamble_payload_slope_delta_pi_per_symbol,payload_argmax_correct_rate,payload_gt_top8_recall,payload_gt_top16_recall,payload_gt_top32_recall,payload_mean_gt_rank,payload_mean_gt_er
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,1,1,16,16.0,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,1,payload_backtrack,continuous,-0.006498811274487818,0.9584661337668275,0.02350218113548952,0.19310563481053847,0.19310563481053847,0.7351810420480793,bin0,0,0,0.0,0.002574584606842379,0.5950079642329262,35,2.5459868316755547,0.8104127786160756,0.643646248873126,0.6403561354794519,0.5195284876495361,0.5160867102769766,1.9483826039827348,-0.04786782978770525,0.6599361618671242,0.3470348475531025,-0.041369018513217434,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.3142857142857143,288.0857142857143,0.002403601184630974
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,2,2,16,16.0,10,125000.0,500000.0,-24,-0.27825675980667963,-0.006222641162550411,1,payload_backtrack,continuous,-0.019032725487540654,0.6407009307437158,0.16702473597435652,0.19593233149118325,0.19593233149118325,0.7718633166758156,bin0,0,0,0.0,0.0020115313874822455,0.5540892881894939,35,1.5922469345237051,0.5068279405047302,0.5756450265783933,0.559434641975192,0.510236656898129,0.503027710633092,1.8859076278532994,-0.10055948358443324,0.9331204552632011,0.2718948110425849,-0.08152675809689258,0.0,0.11428571428571428,0.11428571428571428,0.2857142857142857,318.8285714285714,0.0021793481597142997
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,3,3,16,16.0,10,125000.0,500000.0,-24,-0.22814255140766385,-0.006209796635074755,1,payload_backtrack,continuous,-0.010018701237634283,-0.06678550304396703,0.07956042550403764,0.15708690606161338,0.15708690606161338,0.6848553071653773,bin0,0,0,0.0,0.0025251723938357618,0.6262803805156425,35,0.9576111029127934,0.3048170811765055,0.5179180782214013,0.5102164409142811,0.4999733627397529,0.49799767695700037,1.8512425785734576,-0.08428948368167902,0.7176094132379164,0.534016312905009,-0.07427078244404474,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.42857142857142855,174.82857142857142,0.002846075081370518
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,5,5,16,16.0,10,125000.0,500000.0,-24,-0.2470649666885119,-0.006214646546721477,1,payload_backtrack,continuous,-0.018450280046689947,0.8722660626932863,0.07456165442409834,0.29963904690591625,0.2996390469059163,1.2712117107446639,bin0,0,0,0.125,0.003084517285377287,0.4561935978870592,35,1.1995257751890476,0.381820912974949,0.5356461582653116,0.5249913275850916,0.5086895945570733,0.5065188935881989,1.8633451670838332,-0.11487773679486869,0.9484432743140708,0.2705035320684089,-0.09642745674817875,0.0,0.11428571428571428,0.2,0.37142857142857144,225.0857142857143,0.0025650506896110377
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,6,6,16,16.0,10,125000.0,500000.0,-24,-0.2696020429472565,-0.006220422914431837,1,payload_backtrack,continuous,-0.011262355021340003,0.7780421619982343,0.04836774509621111,0.2302848337944643,0.2302848337944643,1.0233893394064728,bin0,0,0,0.0625,0.002603513735933097,0.5978540906416625,35,1.051840856218869,0.33481134322648914,0.54879931475294,0.5407299304456666,0.5163086652223958,0.5161579296076216,1.8675977128464512,-0.10501915439299822,0.8803968967101163,0.3909314186667405,-0.09375679937165822,0.02857142857142857,0.2,0.2571428571428571,0.34285714285714286,190.62857142857143,0.002839321036321103
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,8,8,16,16.0,10,125000.0,500000.0,-24,-0.3483401354552673,-0.006240603889546665,1,payload_backtrack,continuous,0.006492046644329282,0.6348419641401567,0.01776046924646235,0.22255767974158314,0.22255767974158314,0.988881412092128,bin0,0,0,0.0625,0.0029894227506657885,0.6079373990719772,35,0.40045041859202407,0.12746732716427853,0.53328140922058,0.5324315353237884,0.5385919314308552,0.5370873999370751,1.9326606907849453,-0.11265471707632821,0.9626941556555226,0.22397200424525954,-0.1191467637206575,0.02857142857142857,0.17142857142857143,0.22857142857142856,0.4,190.68571428571428,0.0027172368702871675
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,9,9,16,16.0,10,125000.0,500000.0,-24,-0.3905926756700688,-0.006251433431328191,1,payload_backtrack,continuous,0.004368622939629969,-0.8016209141502308,0.004644300253964784,0.2948173501683453,0.2948173501683453,1.3446541371806318,bin0,0,0,0.0625,0.0029688320144119823,0.4345312540070895,35,-0.9330047690127178,-0.2969846418333721,0.5427100058668652,0.5425171535789338,0.5747145464843412,0.5747056573886731,1.9284916223653166,-0.023168482650147117,0.17701580460039956,0.504530474648052,-0.027537105589777087,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.22857142857142856,307.1714285714286,0.002111866542457353
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,10,10,16,16.0,10,125000.0,500000.0,-24,-0.439221980632291,-0.006263897370471676,1,payload_backtrack,continuous,-0.009276802150955703,1.0192502521695121,0.09379747773701486,0.13292137183000635,0.13292137183000635,0.4213675525554053,bin0,0,0,0.0,0.0021554455176717065,0.4448914675825742,35,1.0466430988567401,0.33315684567213893,0.5311040952149025,0.5308242131422988,0.5436497655766213,0.5330669176239075,1.8244173804892097,-0.12893904692033142,0.9484636946979388,0.3035504114720053,-0.11966224476937572,0.05714285714285714,0.17142857142857143,0.2,0.2857142857142857,267.51428571428573,0.002612872013950281
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,11,11,16,16.0,10,125000.0,500000.0,-24,0.12328787264913654,-0.0061197232231266305,1,payload_backtrack,continuous,0.0009344361196552824,0.43703498557069764,0.0002349666525224281,0.2809796979335776,0.2809796979335776,1.2514310240245126,bin0,0,0,0.0625,0.0031101872438674856,0.42875169793429235,35,-1.2845698692341314,-0.40889128887104326,0.5665428256159707,0.563751349282039,0.5480115245768679,0.5438996565452789,1.8053538784736975,-0.06706759531421874,0.33012907636074995,0.9648648741738611,-0.06800203143387402,0.05714285714285714,0.2571428571428571,0.37142857142857144,0.4,126.91428571428571,0.0037267709811825383
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m27dB.bin,12,12,16,16.0,10,125000.0,500000.0,-24,-0.11851083147497382,-0.006181697465520549,1,payload_backtrack,continuous,-0.017234725729620464,-0.894109251073405,0.22604956362303608,0.14700719192407943,0.14700719192407943,0.504415033677112,bin0,0,0,0.0,0.0025978376177307953,0.4249175453199693,35,-0.6045531387376537,-0.19243524078363597,0.5188658940666976,0.5107843848379306,0.49998484106928265,0.4998139637047185,1.9637167759317429,-0.046603690864656135,0.100407732205117,1.4088335211893543,-0.02936896513503567,0.08571428571428572,0.2,0.3142857142857143,0.42857142857142855,111.14285714285714,0.003513021168566875
