method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.2532132999986061,3.617332857122944,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,23,0.32857142857142857,4,2,0.3834296999957587,5.477567142796553,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,23,0.32857142857142857,3,1,0.3913049999937357,5.590071428481939,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,23,0.32857142857142857,3,1,0.43270899999697576,6.181557142813939,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,23,0.32857142857142857,3,1,0.1111742999892158,1.5882042855602256,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,24,0.34285714285714286,1,0,0.13362349999079015,1.9089071427255735,18,0.2571428571428571,3,10,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,21,0.3,0,0,0.10710800000015297,1.530114285716471,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,18,0.2571428571428571,3,0,0.38311189999149065,5.473027142735581,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,17,0.24285714285714285,5,1,0.3774036000104388,5.391480000149126,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,16,0.22857142857142856,5,0,0.41816270001072553,5.973752857296079,0,0.0,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.10599030000230414,1.514147142890059,18,0.2571428571428571,0,0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,16,0.22857142857142856,5,0,0.12566529999821796,1.7952185714031137,18,0.2571428571428571,7,4,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
savaux,0,70,23,0.32857142857142857,0,0,0.10786270000608056,1.5408957143725794,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
hamming_8,8,70,20,0.2857142857142857,3,0,0.39373370003158925,5.624767143308418,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8,8,70,19,0.2714285714285714,4,0,0.38327000000936096,5.475285714419442,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap,8,70,19,0.2714285714285714,4,0,0.4269204000083846,6.098862857262637,0,0.0,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_gated,8,70,20,0.2857142857142857,3,0,0.0854988999926718,1.2214128570381686,14,0.2,0,0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
information_8_wrap_lora_guarded,8,70,21,0.3,2,0,0.10237940000297385,1.4625628571853408,14,0.2,6,3,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.0,8
