trial_id,packet_id,reference_id,esn0_db,seed,sync_status,estimate_available,strict_gate,decoder_aware_gate,extra_decoder_candidate,gate_failure_reasons,strict_crc_accept,decoder_aware_crc_accept,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_crc_false_delivery,decoder_aware_crc_false_delivery,extra_candidate_crc_rescue,extra_candidate_crc_reject,extra_candidate_crc_false_accept,fec_corrected_packet,current_all_symbol_errors,sync_ms,current_decode_ms,oracle_decode_ms,strict_modeled_decode_ms,decoder_aware_modeled_decode_ms,extra_modeled_decode_ms,signal_power,added_noise_power,current_decode_status,current_header_valid,current_crc_valid,current_payload_exact,current_payload_hex,current_header_symbols_decoded,current_payload_symbols_decoded,current_header_symbol_errors,current_payload_symbol_errors,oracle_decode_status,oracle_header_valid,oracle_crc_valid,oracle_payload_exact,oracle_payload_hex,oracle_header_symbols_decoded,oracle_payload_symbols_decoded,oracle_header_symbol_errors,oracle_payload_symbol_errors,frame_sync_valid,netid_valid,noisy_cfo_total_bins,noisy_payload_start_sample
exp0_000003_rxg20_0_fulltrim:12:20260822,exp0_000003_rxg20_0_fulltrim,3,12.0,20260822,sync_invalid,1,0,0,0,framesync_preamble_all_bin0|framesync_netid,0,0,0,0,1,0,0,0,0,0,0,61,11120.618699998886,33.57189999951515,240.78469999949448,0.0,0.0,0.0,5.3735255547964695e-08,1.3887346338000231e-05,header_invalid,0,0,0,,8,0,5,56,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,10,0,0,417.1280757570218,677921
exp0_000004_rxg20_0_fulltrim:12:20260822,exp0_000004_rxg20_0_fulltrim,4,12.0,20260822,ok,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,15,14379.014100002678,302.87029999817605,293.4200999989116,302.87029999817605,302.87029999817605,0.0,6.126035586516529e-08,1.5832134229441056e-05,ok,1,0,0,4044332211000170181455716203242f2fa44c91c2d78b3aac4af4c55b78563412,8,56,0,15,ok,1,0,0,4044332211000170181455716243646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,13,1,1,-129.86479870433962,673544
exp0_000005_rxg20_0_fulltrim:12:20260822,exp0_000005_rxg20_0_fulltrim,5,12.0,20260822,sync_invalid,1,0,0,0,locator_sfd|framesync_preamble_all_bin0,0,0,0,0,1,0,0,0,0,0,0,60,11075.213299998723,31.01539999988745,241.42070000016247,0.0,0.0,0.0,7.242874646077204e-08,1.871849452786398e-05,header_invalid,0,0,0,,8,0,4,56,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412,8,56,0,11,0,1,-233.7179768380515,672714
exp0_000006_rxg20_0_fulltrim:12:20260822,exp0_000006_rxg20_0_fulltrim,6,12.0,20260822,sync_invalid,1,0,0,0,framesync_preamble_all_bin0|framesync_netid,0,0,0,0,0,0,0,0,0,0,0,63,12022.786800000176,31.364799997390946,232.045199998538,0.0,0.0,0.0,7.561376789538686e-08,1.954163187606118e-05,header_invalid,0,0,0,,8,0,7,56,ok,1,0,0,404433228100010958060050b704e1aeae8c5d1c65e0d0a7c02dde72b579473412,8,56,1,16,0,0,1023.1985440483834,682770
exp0_000007_rxg20_0_fulltrim:12:20260822,exp0_000007_rxg20_0_fulltrim,7,12.0,20260822,sync_invalid,1,0,0,0,framesync_preamble_all_bin0|framesync_netid,0,0,0,0,0,0,0,0,0,0,0,60,9537.262499998178,29.85170000101789,24.205900001106784,0.0,0.0,0.0,7.449895515307498e-08,1.925351952790864e-05,header_invalid,0,0,0,,8,0,4,56,header_invalid,0,0,0,,8,0,3,56,0,0,-128.76805459848276,673552
exp0_000008_rxg20_0_fulltrim:12:20260822,exp0_000008_rxg20_0_fulltrim,8,12.0,20260822,sync_invalid,1,0,0,0,framesync_netid,0,0,0,0,1,0,0,0,0,0,1,13,10919.352400000207,199.5184999977937,193.93349999882048,0.0,0.0,0.0,6.982488910305618e-08,1.8045553298263374e-05,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,1,12,ok,1,1,1,4044332211000100580800387bd1897a188bb87fbb6d6791408f03a59d78563412,8,56,1,13,0,0,-128.73396974771305,673552
exp0_000000_rxg20_0_fulltrim:13:20260821,exp0_000000_rxg20_0_fulltrim,0,13.0,20260821,sync_invalid,1,0,0,0,locator_preamble_stability|locator_sfd|framesync_preamble_all_bin0,0,0,0,0,0,0,0,0,0,0,0,16,12195.412499997474,294.71790000025067,326.1930000007851,0.0,0.0,0.0,6.153250447488309e-08,1.2631779613050637e-05,ok,1,0,0,4004332211000100580000b9883a2d118aa87066a99f804826e75289af725c9e52,8,56,3,13,ok,1,0,0,4004332211000100580000b9883a2d118aa87066a99f804826e75289af725c9e12,8,56,3,13,0,1,-128.70485751494886,673551
exp0_000002_rxg20_0_fulltrim:13:20260821,exp0_000002_rxg20_0_fulltrim,2,13.0,20260821,sync_invalid,1,0,1,1,framesync_preamble_all_bin0,0,1,0,1,1,0,0,1,0,0,1,8,11893.031800002063,235.89159999755793,230.0524000020232,0.0,235.89159999755793,235.89159999755793,2.9434755784562603e-08,6.042551838375642e-06,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412,8,56,0,8,0,1,-129.93496774614746,673544
exp0_000003_rxg20_0_fulltrim:13:20260821,exp0_000003_rxg20_0_fulltrim,3,13.0,20260821,sync_invalid,1,0,0,0,framesync_netid,0,0,0,0,1,0,0,0,0,0,0,62,11922.519199997623,32.46869999929913,224.3985999994038,0.0,0.0,0.0,5.3735255547964695e-08,1.1031111301668438e-05,header_invalid,0,0,0,,8,0,6,56,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412,8,56,0,8,0,0,-1000.8701126832142,666575
exp0_000004_rxg20_0_fulltrim:13:20260821,exp0_000004_rxg20_0_fulltrim,4,13.0,20260821,ok,1,1,1,0,,1,1,1,1,1,0,0,0,0,0,1,9,11174.828799998068,266.847200000484,245.81659999967087,266.847200000484,266.847200000484,0.0,6.126035586516529e-08,1.2575911234389784e-05,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,9,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412,8,56,0,9,1,1,-128.85548938270927,673552
