dataset,target_snr_db,packet_count,center_symbol_ser,center_symbol_accuracy,center_crc_valid_rate,multi_symbol_ser,multi_symbol_accuracy,multi_crc_valid_rate,v3_symbol_ser,v3_symbol_accuracy,v3_crc_valid_rate,selected_symbol_ser,selected_symbol_accuracy,selected_crc_valid_rate,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_crc_valid_rate,phase_line_ser_gain_vs_v3,selected_ser_gain_vs_center,selected_crc_gain_vs_center,selected_ser_gain_vs_multi,selected_crc_gain_vs_multi,mean_phase_line_false_lock_rate,mean_phase_line_uncertain_candidate_recall,mean_phase_line_rmse_pi,mean_phase_line_r2
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.4597402597402597,0.5402597402597403,0.0,0.4597402597402597,0.5402597402597403,0.0,-0.4,0.14285714285714296,0.0,-0.2805194805194805,0.0,0.0,0.9488196498320046,0.3182106683687531,0.6690682188145348
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.1662337662337662,0.8337662337662337,0.0,0.6129870129870129,0.38701298701298703,0.0,0.6129870129870129,0.38701298701298703,0.0,-0.4467532467532468,0.11948051948051963,0.0,-0.29350649350649344,0.0,0.0,0.8978091327395034,0.42935320347716704,0.6977934813941015
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.29610389610389604,0.7038961038961038,0.0,0.7740259740259741,0.22597402597402594,0.0,0.7740259740259741,0.22597402597402594,0.0,-0.477922077922078,0.05974025974025976,0.0,-0.264935064935065,0.0,0.0,0.8343201349785463,0.3438888583291782,0.6901737760703961
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.43636363636363634,0.5636363636363637,0.0,0.8649350649350649,0.13506493506493508,0.0,0.8649350649350649,0.13506493506493508,0.0,-0.42857142857142866,0.04675324675324699,0.0,-0.22077922077922063,0.0,0.0,0.7175800785523487,0.15039466555253417,0.8178071049980532
0_0_0_10_14_16,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.587012987012987,0.41298701298701296,0.0,0.9220779220779222,0.07792207792207793,0.0,0.9220779220779222,0.07792207792207793,0.0,-0.33506493506493507,0.02857142857142847,0.0,-0.1428571428571428,0.0,0.0,0.6016089080260204,0.10918044008736988,0.8062491854871379
0_0_0_10_14_16,-27.0,11,0.9688311688311688,0.03116883116883118,0.0,0.8675324675324675,0.13246753246753248,0.0,0.7298701298701299,0.27012987012987016,0.0,0.942857142857143,0.05714285714285716,0.0,0.942857142857143,0.05714285714285716,0.0,-0.21298701298701295,0.02597402597402587,0.0,-0.07532467532467546,0.0,0.0,0.46362478875847857,0.07915739978629077,0.8202499758628538
mean_of_datasets,-22.0,11,0.6025974025974027,0.3974025974025974,0.0,0.17922077922077922,0.8207792207792209,0.0,0.05974025974025974,0.9402597402597404,0.36363636363636365,0.4597402597402597,0.5402597402597403,0.0,0.4597402597402597,0.5402597402597403,0.0,-0.4,0.14285714285714296,0.0,-0.2805194805194805,0.0,0.0,0.9488196498320046,0.3182106683687531,0.6690682188145348
mean_of_datasets,-23.0,11,0.7324675324675325,0.2675324675324675,0.0,0.3194805194805194,0.6805194805194805,0.0,0.1662337662337662,0.8337662337662337,0.0,0.6129870129870129,0.38701298701298703,0.0,0.6129870129870129,0.38701298701298703,0.0,-0.4467532467532468,0.11948051948051963,0.0,-0.29350649350649344,0.0,0.0,0.8978091327395034,0.42935320347716704,0.6977934813941015
mean_of_datasets,-24.0,11,0.8337662337662338,0.16623376623376626,0.0,0.509090909090909,0.49090909090909096,0.0,0.29610389610389604,0.7038961038961038,0.0,0.7740259740259741,0.22597402597402594,0.0,0.7740259740259741,0.22597402597402594,0.0,-0.477922077922078,0.05974025974025976,0.0,-0.264935064935065,0.0,0.0,0.8343201349785463,0.3438888583291782,0.6901737760703961
mean_of_datasets,-25.0,11,0.9116883116883119,0.08831168831168833,0.0,0.6441558441558443,0.35584415584415585,0.0,0.43636363636363634,0.5636363636363637,0.0,0.8649350649350649,0.13506493506493508,0.0,0.8649350649350649,0.13506493506493508,0.0,-0.42857142857142866,0.04675324675324699,0.0,-0.22077922077922063,0.0,0.0,0.7175800785523487,0.15039466555253417,0.8178071049980532
mean_of_datasets,-26.0,11,0.9506493506493506,0.04935064935064937,0.0,0.7792207792207794,0.2207792207792208,0.0,0.587012987012987,0.41298701298701296,0.0,0.9220779220779222,0.07792207792207793,0.0,0.9220779220779222,0.07792207792207793,0.0,-0.33506493506493507,0.02857142857142847,0.0,-0.1428571428571428,0.0,0.0,0.6016089080260204,0.10918044008736988,0.8062491854871379
mean_of_datasets,-27.0,11,0.9688311688311688,0.03116883116883118,0.0,0.8675324675324675,0.13246753246753248,0.0,0.7298701298701299,0.27012987012987016,0.0,0.942857142857143,0.05714285714285716,0.0,0.942857142857143,0.05714285714285716,0.0,-0.21298701298701295,0.02597402597402587,0.0,-0.07532467532467546,0.0,0.0,0.46362478875847857,0.07915739978629077,0.8202499758628538
