dataset,snr_db,seed,method,errors,symbol_count,ser,fixes_vs_savaux,breaks_vs_savaux
0_0_0_10_14_32,-18.0,44,ordinary_fft,37,105,0.3523809523809524,0,8
0_0_0_10_14_32,-18.0,44,savaux,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-18.0,44,branch_gls,29,105,0.2761904761904762,1,1
0_0_0_10_14_32,-18.0,44,savaux_dual,29,105,0.2761904761904762,0,0
0_0_0_10_14_32,-18.0,44,proposed,29,105,0.2761904761904762,1,1
0_0_0_10_14_32,-20.0,44,ordinary_fft,50,105,0.47619047619047616,1,17
0_0_0_10_14_32,-20.0,44,savaux,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-20.0,44,branch_gls,34,105,0.3238095238095238,1,1
0_0_0_10_14_32,-20.0,44,savaux_dual,34,105,0.3238095238095238,0,0
0_0_0_10_14_32,-20.0,44,proposed,34,105,0.3238095238095238,1,1
0_0_0_10_14_32,-22.0,44,ordinary_fft,74,105,0.7047619047619048,1,33
0_0_0_10_14_32,-22.0,44,savaux,42,105,0.4,0,0
0_0_0_10_14_32,-22.0,44,branch_gls,42,105,0.4,2,2
0_0_0_10_14_32,-22.0,44,savaux_dual,42,105,0.4,0,0
0_0_0_10_14_32,-22.0,44,proposed,42,105,0.4,2,2
