dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-18.0,ordinary_fft,37,105,0,8,0.3523809523809524
0_0_0_10_14_32,-18.0,savaux,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-18.0,branch_gls,29,105,1,1,0.2761904761904762
0_0_0_10_14_32,-18.0,savaux_dual,29,105,0,0,0.2761904761904762
0_0_0_10_14_32,-18.0,proposed,29,105,1,1,0.2761904761904762
0_0_0_10_14_32,-20.0,ordinary_fft,50,105,1,17,0.47619047619047616
0_0_0_10_14_32,-20.0,savaux,34,105,0,0,0.3238095238095238
0_0_0_10_14_32,-20.0,branch_gls,34,105,1,1,0.3238095238095238
0_0_0_10_14_32,-20.0,savaux_dual,34,105,0,0,0.3238095238095238
0_0_0_10_14_32,-20.0,proposed,34,105,1,1,0.3238095238095238
0_0_0_10_14_32,-22.0,ordinary_fft,74,105,1,33,0.7047619047619048
0_0_0_10_14_32,-22.0,savaux,42,105,0,0,0.4
0_0_0_10_14_32,-22.0,branch_gls,42,105,2,2,0.4
0_0_0_10_14_32,-22.0,savaux_dual,42,105,0,0,0.4
0_0_0_10_14_32,-22.0,proposed,42,105,2,2,0.4
