branch_dimension,branch_covariance_count,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_covariance_count,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,packet_index,cfo_int,cfo_frac,offpacket_windows,branch_gls_active,branch_gate_diagonal_cv,branch_gate_mean_abs_correlation,min_branch_correlation,min_branch_diagonal_cv
4,1024,256,0.03729010034015931,0.07460074822162543,0.19743804027372566,2,1024,256,0.07163308506613036,0.0569949316888301,0.18332798776408318,collector_low1_cr47,,42,1,-24,0.2975764772335757,256,1,0.020459322712369023,0.09210598914560623,0.05,0.05
4,1024,256,0.03729725064322109,0.07460245085670245,0.19694175803148564,2,1024,256,0.0716625461241853,0.05705218356342421,0.18404362530837332,collector_low1_cr47,,42,2,-24,0.3114231928875914,256,1,0.020357485339237997,0.09234609146264716,0.05,0.05
4,1024,256,0.03732256776114014,0.07460565855785768,0.1955076012551577,2,1024,256,0.07176768132397661,0.05716852013547281,0.18447718124692142,collector_low1_cr47,,42,4,-24,0.3410334749118296,256,1,0.020109626949615243,0.09282749557685654,0.05,0.05
4,1024,256,0.037332439880782,0.07460620852904662,0.19496838243795117,2,1024,256,0.07179296060019609,0.05720046586257958,0.1843028550113365,collector_low1_cr47,,42,5,-24,0.35014184095403633,256,1,0.020024223822499732,0.09296604402743347,0.05,0.05
4,1024,256,0.03736393403981351,0.07460503441610286,0.19310724639691565,2,1024,256,0.0718594713341816,0.05730629356405944,0.1829111893111126,collector_low1_cr47,,42,6,-24,0.37725333829721214,256,1,0.0197413906838122,0.09334975266270679,0.05,0.05
4,1024,256,0.037384907763238884,0.07460109476874632,0.19165549413750133,2,1024,256,0.071882991031474,0.05738765945880481,0.18123821614603863,collector_low1_cr47,,42,7,-24,0.3954646260607266,256,1,0.01952522172603975,0.09358222265200573,0.05,0.05
4,1024,256,0.03739127017285249,0.0745993181929093,0.19117466208505593,2,1024,256,0.07188968547776348,0.05741246894160181,0.18059903476739128,collector_low1_cr47,,42,8,-24,0.4011112441976219,256,1,0.019453609054579265,0.09365005076705513,0.05,0.05
4,1024,256,0.03739825965343839,0.07459730985898805,0.19062623496253714,2,1024,256,0.07189781797676673,0.057438990144645284,0.17982517438694098,collector_low1_cr47,,42,9,-24,0.4073622663986806,256,1,0.019371714626794836,0.09372275251198685,0.05,0.05
4,1024,256,0.03743266205619035,0.07458592225948782,0.18824100658882204,2,1024,256,0.07194160522324902,0.05755791804206743,0.1791695490969679,collector_low1_cr47,,42,11,-24,0.4378338247656029,256,1,0.018931188427370654,0.09404116941190778,0.05,0.05
4,1024,256,0.03744191495855188,0.07458213327981862,0.18817142214719873,2,1024,256,0.07195497688731342,0.05758680985448557,0.17946239220781662,collector_low1_cr47,,42,12,-24,0.4459178321290324,256,1,0.01880232594545176,0.09411564618073631,0.05,0.05
4,1024,256,0.037467045676507355,0.07457311722064314,0.18789037151181,2,1024,256,0.07200834111954074,0.05765308439729048,0.1804541334992769,collector_low1_cr47,,42,14,-24,0.46749411582414674,256,1,0.018432647989201262,0.09429434625661827,0.05,0.05
