frame_index,packet_index,event_index,stage,frame_symbol_index,stage_symbol_index,start_sample,sf,bw,os_factor,cfo_int,cfo_frac,cfo_correction_mode,cfo_common_phase_rad,cfo_common_phase_pi,sto_frac,sfo_hat,sfo_cum_before,source_grlora_branch_sample_phases,source_grlora_branch_valid,source_grlora_branch_payload_sto_frac,source_grlora_branch_payload_sto_sample_correction,source_grlora_branch_sfo_hat,source_grlora_branch_sfo_cum_initial,sfo_sample_adjust_after,raw_fft_bin,signed_fft_bin,symbol_value,peak_real,peak_imag,peak_amp,peak_power,peak_phase,peak_margin_db,total_power,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro
0,1,1,header,0,0,1703967,10,125000.0,4,-24,0.2975764772335757,continuous,-0.0,-0.0,-0.00718646005103496,-0.006075052163924139,-0.00718646005103496,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,337,337,84,2.480166435241699,2.117866277694702,3.261377487611014,10.63658332824707,0.7067660244114785,32.19947814374621,10.943373865580355,1,33,3,1,0
0,1,1,header,1,1,1708063,10,125000.0,4,-24,0.2975764772335757,continuous,-148.9267192227938,-47.40484704553285,-0.00718646005103496,-0.006075052163924139,-0.013261512214959099,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,689,-335,172,-3.0747809410095215,1.1584041118621826,3.2857537828593624,10.796177864074707,2.781294204459502,32.175916427304806,11.123077294842396,1,33,3,1,0
0,1,1,header,2,2,1712159,10,125000.0,4,-24,0.2975764772335757,continuous,-297.8534384455876,-94.8096940910657,-0.00718646005103496,-0.006075052163924139,-0.019336564378883238,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,57,57,14,1.2473446130752563,-3.0380587577819824,3.284154320293683,10.785670280456543,-1.1812087345811804,27.998414071086763,11.302719977208568,1,33,3,1,0
0,1,1,header,3,3,1716255,10,125000.0,4,-24,0.2975764772335757,continuous,-446.7801576683814,-142.21454113659854,-0.00718646005103496,-0.006075052163924139,-0.025411616542807377,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,81,81,20,1.418474555015564,-2.9567148685455322,3.2793647063272524,10.754232406616211,-1.1234821426662014,28.302920224305094,11.386507857979097,1,33,3,1,0
0,1,1,header,4,4,1720351,10,125000.0,4,-24,0.2975764772335757,continuous,-595.7068768911752,-189.6193881821314,-0.00718646005103496,-0.006075052163924139,-0.031486668706731516,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,689,-335,172,-2.648916721343994,1.928837776184082,3.27676287873422,10.737174034118652,2.512215652135817,30.641695724710495,11.071790585824829,1,33,3,1,0
0,1,1,header,5,5,1724447,10,125000.0,4,-24,0.2975764772335757,continuous,-744.6335961139689,-237.0242352276642,-0.00718646005103496,-0.006075052163924139,-0.03756172087065565,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,57,57,14,0.35874348878860474,-3.248945713043213,3.2686916552422147,10.684344291687012,-1.4608233901021017,25.011884486189167,11.08967732926493,1,33,3,1,0
0,1,1,header,6,6,1728543,10,125000.0,4,-24,0.2975764772335757,continuous,-893.5603153367628,-284.4290822731971,-0.00718646005103496,-0.006075052163924139,-0.04363677303457979,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,729,-295,182,-2.6949079036712646,1.825864315032959,3.255197245357127,10.596309661865234,2.5461111715332105,26.489174586230924,10.969708738472377,1,33,3,1,0
0,1,1,header,7,7,1732639,10,125000.0,4,-24,0.2975764772335757,continuous,-1042.4870345595566,-331.83392931872993,-0.00718646005103496,-0.006075052163924139,-0.04971182519850392,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,409,409,102,2.9067325592041016,1.457181692123413,3.2515338925800665,10.572471618652344,0.46469714729357653,25.637601252329496,10.94537392954902,1,33,3,1,0
0,1,1,payload,8,0,1736735,10,125000.0,4,-24,0.2975764772335757,continuous,-1191.4137537823503,-379.2387763642628,-0.00718646005103496,-0.006075052163924139,-0.05578687736242806,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,803,-221,802,-3.0194737911224365,1.2018307447433472,3.2498644762952265,10.561617851257324,2.7627886807923594,24.10910633876844,10.967185765278828,1,33,3,1,0
0,1,1,payload,9,1,1740831,10,125000.0,4,-24,0.2975764772335757,continuous,-1340.340473005144,-426.64362340979557,-0.00718646005103496,-0.006075052163924139,-0.061861929526352194,0|1|2|3,1|1|1|1,0.4917859346043134|-0.257716130605235|-0.00718646005103496|0.24151312348048015,2|-1|0|1,-0.0060749379808023194|-0.006074971548924958|-0.006075052163924139|-0.006074908052698903,-0.008214065395686587|-0.0077161306052350165|-0.00718646005103496|-0.008486876519519848,0,711,-313,710,-1.5157461166381836,2.900881290435791,3.273010624991027,10.71259880065918,2.0522911404151194,24.380317296459417,11.133892106837742,1,33,3,1,0
