packet_index,event_index,payload_len,payload_symbols,known_prefix_symbols,crc_valid,header_mismatches,known_prefix_mismatches,padding_suffix_symbols,padding_suffix_mismatches,payload_hex,crc_hex
0,0,33,35,30,1,0,0,5,5,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,6413
1,1,33,35,30,1,0,0,5,5,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,49db
2,2,33,35,30,1,0,0,5,5,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,fd9e
3,3,33,35,30,1,0,0,5,5,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,2150
4,4,33,35,30,1,0,0,5,5,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,9515
5,5,33,35,30,1,0,0,5,5,404433221100180058303132333435363738393a3b3c3d3e3f4041424378563412,5ad0
6,6,33,35,30,1,0,0,5,5,404433221100190058303132333435363738393a3b3c3d3e3f4041424378563412,ee95
7,7,33,35,30,1,0,0,5,5,4044332211001a0058303132333435363738393a3b3c3d3e3f4041424378563412,325b
8,8,33,35,30,1,0,0,5,5,4044332211001b0058303132333435363738393a3b3c3d3e3f4041424378563412,861e
9,9,33,35,30,1,0,0,5,5,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,abd6
