symbol_index,is_header,confidence_db,is_anchor,hard_bin_before,hard_bin_after,hard_symbol_before,hard_symbol_after,changed,best_probability,phase_residual
0,1,5.330485,1,301,301,75,75,0,1.00000000,1.12655109
1,1,0.540215,0,653,653,163,163,0,0.22676681,-0.60821402
2,1,3.502692,1,61,61,15,15,0,1.00000000,-2.76851165
3,1,2.528461,0,81,81,20,20,0,0.28704438,1.29270184
4,1,2.910874,0,845,845,211,211,0,0.40675853,-0.24188351
5,1,2.793313,0,825,719,206,179,1,0.18623846,-0.67614172
6,1,6.380257,1,729,729,182,182,0,1.00000000,1.98347726
7,1,5.045726,1,345,345,86,86,0,1.00000000,-0.04802161
8,0,2.433896,0,222,222,221,221,0,0.20365131,-1.97683962
9,0,4.036465,1,826,826,825,825,0,1.00000000,2.12110567
10,0,2.053101,0,871,871,870,870,0,0.37851079,0.01298530
11,0,4.749761,1,718,718,717,717,0,1.00000000,-1.86613371
12,0,5.259075,1,86,86,85,85,0,1.00000000,2.07585105
13,0,3.465155,1,467,467,466,466,0,1.00000000,0.46323608
14,0,3.922710,1,89,89,88,88,0,1.00000000,-1.90288662
15,0,0.305698,0,713,435,712,434,1,0.23234252,0.68231889
16,0,3.824977,1,865,865,864,864,0,1.00000000,0.22737250
17,0,2.958465,0,405,405,404,404,0,0.20217865,-2.06510059
18,0,0.047120,0,228,619,227,618,1,0.23820506,-1.00337782
19,0,2.321020,0,1020,630,1019,629,1,0.17644365,-0.41097718
20,0,4.047768,1,597,597,596,596,0,1.00000000,-2.24088360
21,0,4.545027,1,562,562,561,561,0,1.00000000,1.78176850
22,0,4.150950,1,478,478,477,477,0,1.00000000,-0.37987273
23,0,3.038607,1,267,267,266,266,0,1.00000000,-2.19466806
24,0,1.817295,0,917,197,916,196,1,0.20479450,-1.03887253
25,0,3.517741,1,656,656,655,655,0,1.00000000,-0.42421411
26,0,4.690630,1,889,889,888,888,0,1.00000000,-2.79319160
27,0,2.778626,0,510,510,509,509,0,0.20094376,1.70411564
28,0,4.627654,1,860,860,859,859,0,1.00000000,-0.87638668
29,0,4.885066,1,553,553,552,552,0,1.00000000,-3.03169889
30,0,2.559221,0,629,629,628,628,0,0.26159425,0.90874562
31,0,3.918847,1,759,759,758,758,0,1.00000000,-1.39121122
32,0,2.562057,0,874,91,873,90,1,0.22716527,-0.06440536
33,0,1.622792,0,720,720,719,719,0,0.28739359,0.27703765
34,0,2.382706,0,314,314,313,313,0,0.25337124,-2.07098898
35,0,0.024457,0,877,304,876,303,1,0.21008085,0.51272318
36,0,1.035421,0,7,7,6,6,0,0.25707038,-0.22688585
37,0,2.144624,0,610,777,609,776,1,0.19944423,0.28273673
38,0,1.099214,0,887,901,886,900,1,0.21566926,0.25526562
39,0,2.879548,0,912,912,911,911,0,0.32563392,-1.36578361
40,0,3.348710,1,737,737,736,736,0,1.00000000,2.91561355
41,0,2.504381,0,577,577,576,576,0,0.32794818,0.27633299
42,0,1.728709,0,930,930,929,929,0,0.23902196,-2.23212508
