source_dataset,source_csv,target_snr_db,packet_index,event_index,frame_index,payload_symbol_index,sf,n_bins,gt_raw_fft_bin,noisy_argmax_bin,argmax_to_gt_signed_delta,argmax_to_gt_abs_distance,is_argmax_correct,gt_bin_rank,gt_peak_energy_ratio,gt_to_argmax_power_db,gt_within_pm0_bins,gt_within_pm1_bins,gt_within_pm2_bins,gt_within_pm4_bins,gt_within_pm8_bins,gt_within_pm16_bins,gt_within_pm32_bins,gt_within_pm64_bins,gt_within_pm128_bins,gt_within_pm256_bins
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,10,10,1024,765,91,-350,350,0,2,0.006178860845131248,-0.6559886839616323,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,11,10,1024,1023,648,375,375,0,2,0.006978980473252169,-0.035379092280168965,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,12,10,1024,597,134,463,463,0,199,0.0016166952485878938,-6.541617502750872,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,13,10,1024,562,562,0,0,1,1,0.007211150001754514,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,14,10,1024,478,82,396,396,0,2,0.008474378261434264,-0.058452801857403425,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,15,10,1024,267,498,-231,231,0,2,0.006743516351072185,-0.49194272022545615,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,16,10,1024,917,970,-53,53,0,10,0.004649542426436656,-1.6507887672504498,0,0,0,0,0,0,0,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,17,10,1024,656,775,-119,119,0,34,0.0034004334197712638,-3.466127509543595,0,0,0,0,0,0,0,0,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,18,10,1024,889,554,335,335,0,4,0.0059843495009980745,-0.050549520164525144,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,19,10,1024,510,510,0,0,1,1,0.012124951565969669,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,20,10,1024,860,337,-501,501,0,2,0.007065486539429172,-0.33267484143112414,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,21,10,1024,553,553,0,0,1,1,0.008291242436320047,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,22,10,1024,629,629,0,0,1,1,0.007862697592353184,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,23,10,1024,759,949,-190,190,0,19,0.004057333414287731,-2.6922219212681506,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,24,10,1024,874,874,0,0,1,1,0.009234126155869613,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,25,10,1024,720,243,477,477,0,5,0.00499697675870746,-1.194431152023059,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,26,10,1024,314,314,0,0,1,1,0.012182711668763004,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,27,10,1024,602,879,-277,277,0,6,0.00534409631655502,-1.4251889381722496,0,0,0,0,0,0,0,0,0,0
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,28,10,1024,7,13,-6,6,0,16,0.004029379863547652,-2.812499490027216,0,0,0,0,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,29,10,1024,610,547,63,63,0,2,0.007466503543461127,-0.5333931837409032,0,0,0,0,0,0,0,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,30,10,1024,807,807,0,0,1,1,0.009715988411562859,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,31,10,1024,897,897,0,0,1,1,0.01270347336430643,0.0,1,1,1,1,1,1,1,1,1,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,32,10,1024,749,568,181,181,0,41,0.003113730181313627,-2.402067216482644,0,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_low_snr_gt_bin_features_all.csv,-20.0,1,1,0,33,10,1024,584,584,0,0,1,1,0.01360788719300621,0.0,1,1,1,1,1,1,1,1,1,1
