source_dataset,target_snr_db,symbol_count,packet_count,n_bins,argmax_correct_rate,mean_abs_distance_bins,median_abs_distance_bins,p75_abs_distance_bins,p90_abs_distance_bins,p95_abs_distance_bins,p99_abs_distance_bins,mean_distance_fraction_of_half_band,gt_rank_mean,gt_rank_median,gt_top8_recall,gt_top16_recall,gt_top32_recall,wrong_argmax_symbol_count,wrong_argmax_mean_abs_distance_bins,wrong_argmax_median_abs_distance_bins,wrong_argmax_p90_abs_distance_bins,gt_within_pm0_bins_rate,wrong_argmax_gt_within_pm0_bins_rate,random_within_pm0_bins_rate,gt_within_pm1_bins_rate,wrong_argmax_gt_within_pm1_bins_rate,random_within_pm1_bins_rate,gt_within_pm2_bins_rate,wrong_argmax_gt_within_pm2_bins_rate,random_within_pm2_bins_rate,gt_within_pm4_bins_rate,wrong_argmax_gt_within_pm4_bins_rate,random_within_pm4_bins_rate,gt_within_pm8_bins_rate,wrong_argmax_gt_within_pm8_bins_rate,random_within_pm8_bins_rate,gt_within_pm16_bins_rate,wrong_argmax_gt_within_pm16_bins_rate,random_within_pm16_bins_rate,gt_within_pm32_bins_rate,wrong_argmax_gt_within_pm32_bins_rate,random_within_pm32_bins_rate,gt_within_pm64_bins_rate,wrong_argmax_gt_within_pm64_bins_rate,random_within_pm64_bins_rate,gt_within_pm128_bins_rate,wrong_argmax_gt_within_pm128_bins_rate,random_within_pm128_bins_rate,gt_within_pm256_bins_rate,wrong_argmax_gt_within_pm256_bins_rate,random_within_pm256_bins_rate,packet_index,event_index,frame_index
0_0_0_10_14_16,-20.0,35,1,1024,0.42857142857142855,149.4,63.0,281.0,405.6,467.19999999999993,492.8399999999999,0.291796875,27.942857142857143,2.0,0.7142857142857143,0.7714285714285715,0.8285714285714286,20,261.45,254.0,464.40000000000003,0.42857142857142855,0.0,0.0009765625,0.42857142857142855,0.0,0.0029296875,0.42857142857142855,0.0,0.0048828125,0.42857142857142855,0.0,0.0087890625,0.45714285714285713,0.05,0.0166015625,0.45714285714285713,0.05,0.0322265625,0.45714285714285713,0.05,0.0634765625,0.5142857142857142,0.15,0.1259765625,0.5428571428571428,0.2,0.2509765625,0.7142857142857143,0.5,0.5009765625,1,1,0
0_0_0_10_14_16,-20.0,35,1,1024,0.5142857142857142,154.31428571428572,0.0,293.5,405.6,503.79999999999995,508.0,0.3013950892857143,21.571428571428573,1.0,0.7142857142857143,0.7142857142857143,0.8285714285714286,17,317.70588235294116,297.0,504.4,0.5142857142857142,0.0,0.0009765625,0.5142857142857142,0.0,0.0029296875,0.5142857142857142,0.0,0.0048828125,0.5142857142857142,0.0,0.0087890625,0.5142857142857142,0.0,0.0166015625,0.5142857142857142,0.0,0.0322265625,0.5142857142857142,0.0,0.0634765625,0.5142857142857142,0.0,0.1259765625,0.5428571428571428,0.058823529411764705,0.2509765625,0.6571428571428571,0.29411764705882354,0.5009765625,2,2,1
0_0_0_10_14_16,-20.0,35,1,1024,0.6,116.08571428571429,0.0,222.5,386.6,423.29999999999984,475.23999999999995,0.22672991071428572,6.857142857142857,1.0,0.8285714285714286,0.8857142857142857,0.9428571428571428,14,290.2142857142857,278.5,447.70000000000005,0.6,0.0,0.0009765625,0.6,0.0,0.0029296875,0.6,0.0,0.0048828125,0.6,0.0,0.0087890625,0.6,0.0,0.0166015625,0.6,0.0,0.0322265625,0.6,0.0,0.0634765625,0.6285714285714286,0.07142857142857142,0.1259765625,0.6285714285714286,0.07142857142857142,0.2509765625,0.7714285714285715,0.42857142857142855,0.5009765625,3,3,2
0_0_0_10_14_16,-20.0,35,1,1024,0.6285714285714286,80.62857142857143,0.0,138.0,315.40000000000003,373.49999999999994,388.62,0.15747767857142858,5.228571428571429,1.0,0.8,0.9428571428571428,0.9714285714285714,13,217.07692307692307,191.0,381.0,0.6285714285714286,0.0,0.0009765625,0.6285714285714286,0.0,0.0029296875,0.6285714285714286,0.0,0.0048828125,0.6285714285714286,0.0,0.0087890625,0.6285714285714286,0.0,0.0166015625,0.6285714285714286,0.0,0.0322265625,0.6571428571428571,0.07692307692307693,0.0634765625,0.6857142857142857,0.15384615384615385,0.1259765625,0.7142857142857143,0.23076923076923078,0.2509765625,0.8285714285714286,0.5384615384615384,0.5009765625,5,5,3
0_0_0_10_14_16,-20.0,35,1,1024,0.6571428571428571,85.0,0.0,127.0,321.00000000000006,470.39999999999986,504.91999999999996,0.166015625,48.34285714285714,1.0,0.8,0.8857142857142857,0.9142857142857143,12,247.91666666666666,232.0,493.2,0.6571428571428571,0.0,0.0009765625,0.6857142857142857,0.08333333333333333,0.0029296875,0.6857142857142857,0.08333333333333333,0.0048828125,0.6857142857142857,0.08333333333333333,0.0087890625,0.7142857142857143,0.16666666666666666,0.0166015625,0.7142857142857143,0.16666666666666666,0.0322265625,0.7142857142857143,0.16666666666666666,0.0634765625,0.7142857142857143,0.16666666666666666,0.1259765625,0.7428571428571429,0.25,0.2509765625,0.8285714285714286,0.5,0.5009765625,6,6,4
0_0_0_10_14_16,-20.0,35,1,1024,0.6285714285714286,111.51428571428572,0.0,171.0,443.20000000000005,491.9,501.65999999999997,0.2178013392857143,4.0,1.0,0.9428571428571428,0.9714285714285714,0.9714285714285714,13,300.2307692307692,314.0,498.40000000000003,0.6285714285714286,0.0,0.0009765625,0.6285714285714286,0.0,0.0029296875,0.6285714285714286,0.0,0.0048828125,0.6285714285714286,0.0,0.0087890625,0.6285714285714286,0.0,0.0166015625,0.6285714285714286,0.0,0.0322265625,0.6571428571428571,0.07692307692307693,0.0634765625,0.6571428571428571,0.07692307692307693,0.1259765625,0.7142857142857143,0.23076923076923078,0.2509765625,0.8,0.46153846153846156,0.5009765625,8,8,5
0_0_0_10_14_16,-20.0,35,1,1024,0.5714285714285714,127.48571428571428,0.0,282.5,442.2000000000001,476.49999999999994,498.2199999999999,0.2489955357142857,17.02857142857143,1.0,0.7714285714285715,0.8,0.8571428571428571,15,297.46666666666664,303.0,481.0,0.5714285714285714,0.0,0.0009765625,0.5714285714285714,0.0,0.0029296875,0.5714285714285714,0.0,0.0048828125,0.5714285714285714,0.0,0.0087890625,0.5714285714285714,0.0,0.0166015625,0.5714285714285714,0.0,0.0322265625,0.6,0.06666666666666667,0.0634765625,0.6285714285714286,0.13333333333333333,0.1259765625,0.6571428571428571,0.2,0.2509765625,0.7142857142857143,0.3333333333333333,0.5009765625,9,9,6
0_0_0_10_14_16,-20.0,35,1,1024,0.5428571428571428,132.57142857142858,0.0,251.5,451.80000000000007,483.29999999999995,500.23999999999995,0.25892857142857145,8.457142857142857,1.0,0.8285714285714286,0.8571428571428571,0.9428571428571428,16,290.0,273.5,485.5,0.5428571428571428,0.0,0.0009765625,0.5428571428571428,0.0,0.0029296875,0.5428571428571428,0.0,0.0048828125,0.5428571428571428,0.0,0.0087890625,0.5714285714285714,0.0625,0.0166015625,0.5714285714285714,0.0625,0.0322265625,0.5714285714285714,0.0625,0.0634765625,0.6,0.125,0.1259765625,0.6285714285714286,0.1875,0.2509765625,0.7714285714285715,0.5,0.5009765625,10,10,7
0_0_0_10_14_16,-20.0,35,1,1024,0.8571428571428571,46.142857142857146,0.0,0.0,217.00000000000006,345.89999999999986,444.63999999999965,0.09012276785714286,2.6285714285714286,1.0,0.9428571428571428,0.9714285714285714,0.9714285714285714,5,323.0,333.0,438.4,0.8571428571428571,0.0,0.0009765625,0.8571428571428571,0.0,0.0029296875,0.8571428571428571,0.0,0.0048828125,0.8571428571428571,0.0,0.0087890625,0.8571428571428571,0.0,0.0166015625,0.8571428571428571,0.0,0.0322265625,0.8571428571428571,0.0,0.0634765625,0.8571428571428571,0.0,0.1259765625,0.8571428571428571,0.0,0.2509765625,0.9142857142857143,0.4,0.5009765625,11,11,8
0_0_0_10_14_16,-20.0,35,1,1024,0.9142857142857143,23.771428571428572,0.0,0.0,0.0,171.19999999999965,378.1199999999994,0.04642857142857143,1.457142857142857,1.0,0.9714285714285714,1.0,1.0,3,277.3333333333333,258.0,403.6,0.9142857142857143,0.0,0.0009765625,0.9142857142857143,0.0,0.0029296875,0.9142857142857143,0.0,0.0048828125,0.9142857142857143,0.0,0.0087890625,0.9142857142857143,0.0,0.0166015625,0.9142857142857143,0.0,0.0322265625,0.9142857142857143,0.0,0.0634765625,0.9142857142857143,0.0,0.1259765625,0.9142857142857143,0.0,0.2509765625,0.9428571428571428,0.3333333333333333,0.5009765625,12,12,9
0_0_0_10_14_16,-20.0,35,1,1024,0.7142857142857143,50.885714285714286,0.0,32.0,190.8,248.79999999999984,392.27999999999946,0.09938616071428572,5.771428571428571,1.0,0.9142857142857143,0.9714285714285714,0.9714285714285714,10,178.1,175.5,303.79999999999995,0.7142857142857143,0.0,0.0009765625,0.7142857142857143,0.0,0.0029296875,0.7142857142857143,0.0,0.0048828125,0.7142857142857143,0.0,0.0087890625,0.7142857142857143,0.0,0.0166015625,0.7428571428571429,0.1,0.0322265625,0.7428571428571429,0.1,0.0634765625,0.7714285714285715,0.2,0.1259765625,0.8,0.3,0.2509765625,0.9428571428571428,0.8,0.5009765625,13,13,10
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,1,1,0
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,2,2,1
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,3,3,2
0_0_0_10_14_16,-15.0,35,1,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,1.0,nan,0.0009765625,1.0,nan,0.0029296875,1.0,nan,0.0048828125,1.0,nan,0.0087890625,1.0,nan,0.0166015625,1.0,nan,0.0322265625,1.0,nan,0.0634765625,1.0,nan,0.1259765625,1.0,nan,0.2509765625,1.0,nan,0.5009765625,5,5,3
