frame_index,packet_index,event_index,payload_symbol_index,raw_fft_bin,signed_fft_bin,symbol_value,peak_amp,peak_phase,peak_phase_pi,peak_margin_db
1,2,2,0,803,-221,802,7.320689765763693,-2.9454715149875055,-0.9375727026932704,26.168825092323367
1,2,2,1,826,-198,825,7.444551862353625,-3.0583504656634517,-0.9735031886354766,27.450078813572816
1,2,2,2,922,-102,921,7.32136717706046,3.0703220883622957,0.9773138744941808,24.547117870048236
1,2,2,3,718,-306,717,7.36513628344497,2.9133315924745196,0.927342247616206,27.473910848416846
1,2,2,4,86,86,85,7.342029278066258,2.7483322373107657,0.8748213216536327,20.52854097104042
1,2,2,5,468,468,467,7.28373856733211,2.5975954183272054,0.8268403019592689,22.49263115260533
1,2,2,6,89,89,88,7.297200647871134,2.4150612548274117,0.7687378731509962,19.741674282653662
1,2,2,7,713,-311,712,7.189696862746937,2.2100979356540233,0.703496022353063,21.592036640275346
1,2,2,8,865,-159,864,7.296410551410129,2.017957960585808,0.6423359687577428,20.51893955077855
1,2,2,9,492,492,491,6.587189088294935,1.7672842823497732,0.5625440587691585,20.652215741608963
1,2,2,10,765,-259,764,6.782939301583517,1.5929347320262492,0.5070468732494825,22.619222921731517
1,2,2,11,1023,-1,1022,7.288674988324006,1.3626580300247282,0.43374752244459963,16.56702102953557
1,2,2,12,597,-427,596,7.350854220306816,1.1148353041318668,0.3548630987718862,20.364914740032006
1,2,2,13,562,-462,561,7.300481185737904,0.8663534351791564,0.2757688633468134,19.05708434888907
1,2,2,14,478,478,477,7.250790570745607,0.5706517319240134,0.18164408783931574,18.891118293651218
1,2,2,15,267,267,266,7.267660890573888,0.3173614023872212,0.10101927187300458,17.970448268140025
1,2,2,16,917,-107,916,7.219932337327806,0.027923322911888534,0.008888269737956474,15.079939501059528
1,2,2,17,656,-368,655,7.132326948158159,-0.29381795890229134,-0.09352516105694204,14.343953695795937
1,2,2,18,889,-135,888,7.158959173036266,-0.5870106425897961,-0.18685129083143182,19.506376209814043
1,2,2,19,510,510,509,7.039982291287924,-0.9402472414336644,-0.2992899924053729,14.723119940262496
1,2,2,20,860,-164,859,7.295000289322475,-1.2769034994501174,-0.4064510075776509,18.920549484054416
1,2,2,21,553,-471,552,6.960924270610792,-1.6336665788579197,-0.5200122227785271,14.194460245687717
1,2,2,22,629,-395,628,6.510931694963364,-1.9493961328479965,-0.6205120611739675,15.33628081812064
1,2,2,23,759,-265,758,7.157867851687587,-2.3864868147666223,-0.7596423463874807,18.869525652863462
1,2,2,24,874,-150,873,7.349449682909701,-2.7632495332215425,-0.8795696444171619,21.752687090380498
1,2,2,25,720,-304,719,7.29945894561787,3.120337180456644,0.9932341727662046,17.08009569926032
1,2,2,26,314,314,313,7.296834848938437,2.68007021042043,0.853092843643495,18.63628794761517
1,2,2,27,602,-422,601,7.242350893218738,2.2546264121995208,0.7176698766541978,15.86735299419622
1,2,2,28,7,7,6,7.4365532309475055,1.845857844508996,0.5875548003971157,26.855263492123157
1,2,2,29,610,-414,609,7.321426205815574,1.3705443903292103,0.4362578288955237,16.436024028831085
1,2,2,30,775,-249,774,7.397283198568112,0.9040626684268476,0.28777208508996394,20.02546920146615
1,2,2,31,912,-112,911,7.404297206079794,0.4086308809938645,0.13007124922033914,23.793931088799617
1,2,2,32,768,-256,767,7.328772955784054,-0.1019902568284269,-0.03246450704291215,18.880636689060967
1,2,2,33,581,-443,580,7.377026982886582,-0.5977707657124216,-0.19027634439791832,15.907090271330537
1,2,2,34,93,93,92,6.614869866368242,-1.1119370954607268,-0.35394057029963877,20.750766705486605
