dataset,method,baseline,metric,method_threshold_snr_db,baseline_threshold_snr_db,gain_db,status
0_0_0_10_14_16,selected,center,SER<=10%,-20.946428571428573,-17.732142857142858,3.2142857142857153,ok
0_0_0_10_14_16,selected,center,accuracy>=90%,-20.946428571428573,-17.732142857142858,3.2142857142857153,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=90%,-19.014285714285712,-15.1,3.914285714285713,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=80%,-19.17142857142857,-16.05,3.12142857142857,ok
0_0_0_10_14_16,selected,center,CRC/PRR>=50%,-19.642857142857142,-16.875,2.7678571428571423,ok
0_0_0_10_14_16,multi,center,SER<=10%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,accuracy>=90%,-21.273809523809526,-17.732142857142858,3.541666666666668,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=90%,-19.03333333333333,-15.1,3.933333333333332,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=80%,-19.4,-16.05,3.349999999999998,ok
0_0_0_10_14_16,multi,center,CRC/PRR>=50%,-20.375,-16.875,3.5,ok
0_0_0_10_14_16,selected,multi,SER<=10%,-20.946428571428573,-21.273809523809526,-0.32738095238095255,ok
0_0_0_10_14_16,selected,multi,accuracy>=90%,-20.946428571428573,-21.273809523809526,-0.32738095238095255,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=90%,-19.014285714285712,-19.03333333333333,-0.01904761904761898,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=80%,-19.17142857142857,-19.4,-0.22857142857142776,ok
0_0_0_10_14_16,selected,multi,CRC/PRR>=50%,-19.642857142857142,-20.375,-0.7321428571428577,ok
0_0_0_10_14_32,selected,center,SER<=10%,-16.5,-13.916666666666666,2.583333333333334,ok
0_0_0_10_14_32,selected,center,accuracy>=90%,-16.500000000000004,-13.916666666666666,2.5833333333333375,ok
0_0_0_10_14_32,selected,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,center,CRC/PRR>=80%,-19.133333333333333,-16.2,2.9333333333333336,ok
0_0_0_10_14_32,selected,center,CRC/PRR>=50%,-19.833333333333332,-17.125,2.708333333333332,ok
0_0_0_10_14_32,multi,center,SER<=10%,-17.3,-13.916666666666666,3.3833333333333346,ok
0_0_0_10_14_32,multi,center,accuracy>=90%,-17.300000000000004,-13.916666666666666,3.383333333333338,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,multi,center,CRC/PRR>=80%,-19.4,-16.2,3.1999999999999993,ok
0_0_0_10_14_32,multi,center,CRC/PRR>=50%,-20.75,-17.125,3.625,ok
0_0_0_10_14_32,selected,multi,SER<=10%,-16.5,-17.3,-0.8000000000000007,ok
0_0_0_10_14_32,selected,multi,accuracy>=90%,-16.500000000000004,-17.300000000000004,-0.8000000000000007,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=90%,,,,missing_threshold
0_0_0_10_14_32,selected,multi,CRC/PRR>=80%,-19.133333333333333,-19.4,-0.2666666666666657,ok
0_0_0_10_14_32,selected,multi,CRC/PRR>=50%,-19.833333333333332,-20.75,-0.9166666666666679,ok
0_0_0_10_14_8,selected,center,SER<=10%,-19.8,-17.565217391304348,2.234782608695653,ok
0_0_0_10_14_8,selected,center,accuracy>=90%,-19.8,-17.565217391304348,2.234782608695653,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=90%,-16.0,-15.333333333333334,0.6666666666666661,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=80%,-17.0,-15.666666666666666,1.333333333333334,ok
0_0_0_10_14_8,selected,center,CRC/PRR>=50%,-21.0,-17.5,3.5,ok
0_0_0_10_14_8,multi,center,SER<=10%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
0_0_0_10_14_8,multi,center,accuracy>=90%,-20.633333333333333,-17.565217391304348,3.068115942028985,ok
