dataset,target_snr_db,packet_count,center_argmax_symbol_ser,multi_offset_argmax_symbol_ser,legacy_phase_line_symbol_ser,savaux_hard_symbol_ser,savaux_phase_symbol_ser,savaux_guarded_symbol_ser,savaux_phase_gain_vs_savaux,savaux_guarded_gain_vs_savaux,savaux_phase_gain_vs_legacy,savaux_guarded_gain_vs_legacy,stage1_candidate_recall,legacy_candidate_recall,viterbi_candidate_recall,mean_hard_anchor_count,mean_hard_anchor_error_rate,savaux_phase_crc_valid_rate,savaux_guarded_crc_valid_rate,guard_accept_phase_rate,mean_selected_branch_agreement,noise_seed,wins_vs_savaux,ties_vs_savaux,losses_vs_savaux,guarded_wins_vs_savaux,guarded_ties_vs_savaux,guarded_losses_vs_savaux,packet_win_rate_vs_savaux,guarded_packet_win_rate_vs_savaux
0_0_0_10_14_16,-26.0,11,0.9532467532467532,0.7948051948051947,0.625974025974026,0.37922077922077924,0.34805194805194806,0.37922077922077924,0.03116883116883118,0.0,0.2779220779220779,0.2467532467532468,0.9298701298701298,0.6493506493506493,0.9298701298701298,5.0,0.0,0.0,0.0,0.0,0.9249666211094971,42,9,0,2,0,11,0,0.8181818181818182,0.0
0_0_0_10_14_16,-25.5,11,0.9324675324675326,0.7454545454545454,0.5194805194805194,0.3168831168831168,0.2753246753246753,0.3142857142857142,0.04155844155844155,0.002597402597402598,0.24415584415584418,0.20519480519480515,0.9584415584415584,0.7194805194805196,0.9584415584415584,6.636363636363637,0.0,0.0,0.0,0.09090909090909091,0.9279266539344433,42,8,1,2,1,10,0,0.7272727272727273,0.09090909090909091
0_0_0_10_14_16,-25.0,11,0.9012987012987015,0.6753246753246753,0.4467532467532468,0.23896103896103893,0.19480519480519476,0.23896103896103893,0.044155844155844164,0.0,0.2519480519480519,0.20779220779220778,0.9688311688311688,0.7896103896103898,0.9688311688311688,9.818181818181818,0.0,0.0,0.0,0.09090909090909091,0.9316746325451148,42,7,1,3,0,11,0,0.6363636363636364,0.0
0_0_0_10_14_16,-24.5,11,0.8805194805194806,0.5948051948051949,0.2883116883116883,0.19220779220779216,0.14025974025974025,0.1896103896103896,0.051948051948051945,0.0025974025974025974,0.14805194805194805,0.09870129870129869,0.9818181818181819,0.8597402597402598,0.9818181818181819,12.545454545454545,0.0,0.0,0.0,0.09090909090909091,0.9379806027948974,42,8,2,1,1,10,0,0.7272727272727273,0.09090909090909091
0_0_0_10_14_16,-24.0,11,0.8337662337662337,0.5168831168831168,0.20519480519480515,0.14285714285714285,0.09090909090909091,0.13506493506493505,0.051948051948051945,0.007792207792207792,0.11428571428571428,0.07012987012987014,0.9922077922077922,0.9038961038961039,0.9922077922077922,15.909090909090908,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.9422534872873889,42,9,0,2,2,9,0,0.8181818181818182,0.18181818181818182
0_0_0_10_14_16,-23.5,11,0.7974025974025973,0.425974025974026,0.15064935064935067,0.08311688311688312,0.05974025974025974,0.08051948051948052,0.023376623376623374,0.002597402597402598,0.09090909090909091,0.07012987012987014,0.9948051948051948,0.942857142857143,0.9948051948051948,20.90909090909091,0.0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.9477767057734199,42,7,2,2,1,10,0,0.6363636363636364,0.09090909090909091
0_0_0_10_14_16,-23.0,11,0.7506493506493507,0.33246753246753247,0.12467532467532466,0.051948051948051945,0.025974025974025972,0.04155844155844156,0.025974025974025972,0.010389610389610391,0.09870129870129868,0.08311688311688313,0.9974025974025974,0.9584415584415584,0.9974025974025974,23.454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.9523269975834598,42,6,4,1,3,8,0,0.5454545454545454,0.2727272727272727
0_0_0_10_14_16,-22.5,11,0.7012987012987013,0.2623376623376623,0.07532467532467534,0.025974025974025972,0.012987012987012986,0.012987012987012986,0.012987012987012986,0.012987012987012986,0.06233766233766234,0.06233766233766234,0.9974025974025974,0.9662337662337662,0.9974025974025974,26.0,0.0,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.9572912363330218,42,4,7,0,4,7,0,0.36363636363636365,0.36363636363636365
0_0_0_10_14_16,-22.0,11,0.6181818181818183,0.1766233766233766,0.049350649350649346,0.015584415584415584,0.007792207792207792,0.007792207792207792,0.007792207792207792,0.007792207792207792,0.04155844155844156,0.04155844155844156,1.0,0.9792207792207793,1.0,28.272727272727273,0.0,0.7272727272727273,0.7272727272727273,0.36363636363636365,0.9616046720178627,42,2,9,0,2,9,0,0.18181818181818182,0.18181818181818182
0_0_0_10_14_16,-26.0,11,0.942857142857143,0.7999999999999999,0.625974025974026,0.41298701298701296,0.36623376623376624,0.41298701298701296,0.04675324675324676,0.0,0.25974025974025977,0.21298701298701295,0.922077922077922,0.6207792207792208,0.922077922077922,4.545454545454546,0.0,0.0,0.0,0.0,0.922535263724325,43,9,0,2,0,11,0,0.8181818181818182,0.0
