packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,legacy_phase_line_raw_ser,legacy_phase_line_symbol_ser,savaux_hard_raw_ser,savaux_hard_symbol_ser,savaux_phase_raw_ser,savaux_phase_symbol_ser,savaux_guarded_raw_ser,savaux_guarded_symbol_ser,savaux_phase_gain_vs_savaux,savaux_guarded_gain_vs_savaux,savaux_guarded_gain_vs_phase,savaux_phase_gain_vs_legacy,savaux_guarded_gain_vs_legacy,stage1_candidate_hits,stage1_candidate_total,stage1_candidate_recall,legacy_candidate_hits,legacy_candidate_total,legacy_candidate_recall,viterbi_candidate_recall,hard_anchor_count,hard_anchor_error_count,hard_anchor_error_rate,mean_selected_branch_agreement,trajectory_score,mean_phase_score,mean_amp_score,beam_final_size,guard_accept_phase,guard_reason,guard_change_count,guard_eval_rmse_gain_pi,guard_hard_eval_rmse_pi,guard_phase_eval_rmse_pi,guard_changed_mean_energy_drop_db,guard_mean_phase_score,error,savaux_phase_payload_hex,savaux_phase_crc_valid,savaux_phase_crc_computed,savaux_phase_crc_received,savaux_phase_decoded_payload_len,savaux_phase_decode_error,savaux_guarded_payload_hex,savaux_guarded_crc_valid,savaux_guarded_crc_computed,savaux_guarded_crc_received,savaux_guarded_decoded_payload_len,savaux_guarded_decode_error,dataset,target_snr_db,noise_seed
1,0,1,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.7428571428571429,0.7428571428571429,0.5428571428571428,0.5428571428571428,0.5142857142857142,0.5142857142857142,0.5428571428571428,0.5428571428571428,0.02857142857142858,0.0,-0.02857142857142858,0.22857142857142865,0.20000000000000007,31,35,0.8857142857142857,17,35,0.4857142857142857,0.8857142857142857,2,0,0.0,0.9185258474755615,0.8763127315112424,0.9958670458705573,0.9735336619766605,16,0,too_many_changes,11,0.308574587937233,0.5090855455774405,0.2005109576402074,-0.3914504761283245,0.9958670458705573,,405422230818cbc85c74bd76377431323338392b3a3d0db73fca4242417856f61a,0,0x12d4,0x6914,33,,40d4a2b39818c2e87e549f76377431322339293b3b3d0fb73dea62404378569419,0,0x1c91,0x5d35,33,,0_0_0_10_14_16,-26.0,42
2,1,2,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.8857142857142857,0.8857142857142857,0.6,0.6,0.4857142857142857,0.4857142857142857,0.4,0.4,0.4857142857142857,0.4857142857142857,0.08571428571428569,0.0,-0.08571428571428569,0.19999999999999996,0.11428571428571427,31,35,0.8857142857142857,21,35,0.6,0.8857142857142857,2,0,0.0,0.9268201104525247,0.8639117967172651,0.993560067780999,0.9742094818418318,16,0,too_many_changes,8,0.16751917632381907,0.596976017705736,0.429456841381917,-0.5388587476745934,0.993560067780999,,400437361100078050b839fa7f38bd323339283b2a0dc9b0001e6526077c503012,0,0xb9c3,0x08a0,33,,400437361100078151b939fb7f38bd323339283b2a2df9b0030de48e07fc503a12,0,0x84e5,0x08a0,33,,0_0_0_10_14_16,-26.0,42
3,2,3,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.8857142857142857,0.8857142857142857,0.8285714285714286,0.8285714285714286,0.5428571428571428,0.5428571428571428,0.45714285714285713,0.45714285714285713,0.5428571428571428,0.5428571428571428,0.08571428571428569,0.0,-0.08571428571428569,0.3714285714285715,0.2857142857142858,30,35,0.8571428571428571,18,35,0.5142857142857142,0.8571428571428571,1,0,0.0,0.9221149283086841,0.8346046972433969,0.9855169246538098,0.9915104915193094,4,0,too_many_changes,5,0.13214084741202636,0.5749588056985521,0.4428179582865257,-0.2676074902714845,0.9855169246538098,,40f4532d8d5a29506a4452353334353637b938b3ba7c7dba3384594243785675db,0,0x6341,0x4804,33,,40f4532d8d5aa9d0eaccd2353334353617b938b1b87e753a330c594243785675db,0,0x362b,0x5804,33,,0_0_0_10_14_16,-26.0,42
5,3,5,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.8285714285714286,0.8285714285714286,0.7142857142857143,0.7142857142857143,0.4857142857142857,0.4857142857142857,0.45714285714285713,0.45714285714285713,0.4857142857142857,0.4857142857142857,0.02857142857142858,0.0,-0.02857142857142858,0.2571428571428572,0.2285714285714286,32,35,0.9142857142857143,18,35,0.5142857142857142,0.9142857142857143,4,0,0.0,0.9183554953978624,0.8391332311013079,0.9948512946941819,0.988365514010131,16,0,too_many_changes,5,0.2567876402006186,0.5947582470023769,0.3379706068017583,-0.37670846967675137,0.9948512946941819,,404433207360140149300230232425373738393a3bbc3d36bfc8c9ca43f85eec93,0,0x5c47,0xe8f0,33,,404433207360140149300270366431623238393a3bbc3d36bfc8c9ca43f85eec93,0,0x53fb,0xe8f0,33,,0_0_0_10_14_16,-26.0,42
6,4,6,33,1,1,0,35,35,1.0,1.0,0.7428571428571429,0.7428571428571429,0.4857142857142857,0.4857142857142857,0.37142857142857144,0.37142857142857144,0.22857142857142856,0.22857142857142856,0.37142857142857144,0.37142857142857144,0.14285714285714288,0.0,-0.14285714285714288,0.2571428571428571,0.11428571428571427,33,35,0.9428571428571428,26,35,0.7428571428571429,0.9428571428571428,5,0,0.0,0.9262554202351649,0.8636655307872013,0.9960403942687018,0.9674097585425286,16,0,too_many_changes,10,0.10687844894955664,0.3552434570034563,0.24836500805389963,-0.5424435043033358,0.9960403942687018,,400437225544070858b0393a31143534b7b0b1b23b343dbe37c04142417a56b69a,0,0x3ee9,0x8e51,33,,40445526316407085ab039a8a0042c343f30b9bab33435bebfc8c94a41f2d6361a,0,0x8773,0x0ed9,33,,0_0_0_10_14_16,-26.0,42
8,5,8,33,1,1,0,35,35,1.0,1.0,0.8857142857142857,0.8857142857142857,0.6571428571428571,0.6571428571428571,0.4,0.4,0.34285714285714286,0.34285714285714286,0.4,0.4,0.05714285714285716,0.0,-0.05714285714285716,0.3142857142857143,0.2571428571428571,34,35,0.9714285714285714,21,35,0.6,0.9714285714285714,5,0,0.0,0.9189806431332788,0.8525668629055526,0.9908106744013537,0.9879169174491786,16,0,too_many_changes,5,0.12368781934527973,0.5116350640444683,0.3879472446991886,-0.38762294666771835,0.9908106744013537,,40c4f7261d0c45001830713677fc75b62b29283a3a3c3f581d6005426178523612,0,0x4426,0x8e2a,33,,40c4f3265d0841111931603777fc75b66b2d687a3e3c7f1c1d244142657c563612,0,0x3b84,0x8e2a,33,,0_0_0_10_14_16,-26.0,42
9,6,9,33,1,1,0,35,35,0.9714285714285714,0.9714285714285714,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.4,0.4,0.2857142857142857,0.2857142857142857,0.4,0.4,0.11428571428571432,0.0,-0.11428571428571432,0.4285714285714286,0.3142857142857143,33,35,0.9428571428571428,22,35,0.6285714285714286,0.9428571428571428,4,0,0.0,0.9329757320315204,0.8524952929120814,0.9954782305772799,0.9462110699726046,16,0,too_many_changes,11,0.3158046963782242,0.5300491634855465,0.2142444671073223,-0.8475148597221462,0.9954782305772799,,4044332211000a005830313273307576b778f1b63734397e7b4041404378561411,0,0xa0af,0xf9f4,33,,4044b32a99800a005830315271525332b3b835f633683c7a2b15c0e2c9f07c1c11,0,0x8dfe,0xfbd4,33,,0_0_0_10_14_16,-26.0,42
10,7,10,33,1,1,0,35,35,0.9428571428571428,0.9428571428571428,0.9142857142857143,0.9142857142857143,0.7428571428571429,0.7428571428571429,0.37142857142857144,0.37142857142857144,0.3142857142857143,0.3142857142857143,0.37142857142857144,0.37142857142857144,0.05714285714285716,0.0,-0.05714285714285716,0.4285714285714286,0.37142857142857144,31,35,0.8857142857142857,20,35,0.5714285714285714,0.8857142857142857,2,0,0.0,0.91487838396565,0.8540656496210463,0.994887430728598,0.9815779999748935,4,0,too_many_changes,7,0.13768126443496442,0.43105050738084544,0.293369242945881,-0.4335977754,0.994887430728598,,4064132031020b124911233231163534353c7d7e7b7c7d7a3f4081c28596543612,0,0x3054,0x0552,33,,406433023320091249112332311635343538393a3b5c7f583f6093d2948645a713,0,0xd4ce,0x8552,33,,0_0_0_10_14_16,-26.0,42
11,8,11,33,1,1,0,35,35,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6285714285714286,0.6285714285714286,0.22857142857142856,0.22857142857142856,0.45714285714285713,0.45714285714285713,0.22857142857142856,0.22857142857142856,-0.22857142857142856,0.0,0.22857142857142856,0.17142857142857143,0.4,35,35,1.0,26,35,0.7428571428571429,1.0,6,0,0.0,0.9300251542685816,0.7975048905256814,0.9892144372154656,0.960136566902602,16,0,too_many_changes,13,-0.024827709165748835,0.5283036238109023,0.5531313329766512,-0.518268685037671,0.9892144372154656,,4054223211110dc99130a93b313437349591b308831d3f1e3d40d3cadbf056b4d2,0,0x167e,0x85ab,33,,4044332211001c4108302033313437343538b9bab33c3d3e3f4051425378562412,0,0x8c94,0xcc6f,33,,0_0_0_10_14_16,-26.0,42
12,9,12,33,1,1,0,35,35,0.8571428571428571,0.8571428571428571,0.45714285714285713,0.45714285714285713,0.4,0.4,0.2,0.2,0.2857142857142857,0.2857142857142857,0.2,0.2,-0.08571428571428569,0.0,0.08571428571428569,0.11428571428571432,0.2,34,35,0.9714285714285714,32,35,0.9142857142857143,0.9714285714285714,11,0,0.0,0.9293348663453052,0.8071666149329451,0.985213101387063,0.9844999168460025,4,0,too_many_changes,5,0.05918306317838273,0.607108451173099,0.5479253879947162,-0.521120388683951,0.985213101387063,,4044332211001d014831301211143514051a0a2a2b3f3d3e3f4011d21f391e3d16,0,0x1143,0x8cdf,33,,4044332211000d005830311231163516051a0a2a2b3f3d3e3f4001c20f381e3c12,0,0x0be7,0x8cdf,33,,0_0_0_10_14_16,-26.0,42
13,10,13,33,1,1,0,35,35,0.8857142857142857,0.8857142857142857,0.5142857142857142,0.5142857142857142,0.37142857142857144,0.37142857142857144,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.08571428571428572,0.14285714285714285,0.14285714285714285,0.057142857142857134,0.0,-0.057142857142857134,0.2857142857142857,0.2285714285714286,34,35,0.9714285714285714,29,35,0.8285714285714286,0.9714285714285714,13,0,0.0,0.9363662505903341,0.855268564276446,0.9967282393355056,0.9933496430783273,1,0,too_many_changes,4,0.07980537237121599,0.3121368216898942,0.23233144931867822,-0.26327900596183546,0.9967282393355056,,4044732655400a005830313233343536b730b9323b343d3e3f404142437856b412,0,0x1637,0xce87,33,,4054763344040e005830313233343536b730b9323b343d3e3f404142437856b412,0,0x1245,0xce8f,33,,0_0_0_10_14_16,-26.0,42
