dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
0_0_0_10_14_32,-22.0,42,0,0,8,803,130,711,711,711,711,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.11728859706541706,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.8745840942660976,1.0716088217393038,711|470|814|346|89|339|230|1009,0.87458409|0.88699834|0.90810414|0.65925493|0.8170599|0.41691118|0.55784993|0.96737671,0|-1.0080661|-2.1984544|-2.3545857|-2.6282168|-3.2977704|-3.3256599|-3.3256807
0_0_0_10_14_32,-22.0,42,0,1,9,711,885,711,711,711,711,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.09720176314170598,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.8858737369273255,-0.7635523005079902,711|278|44|336|23|187|274|939,0.88587374|0.76208977|0.98795444|0.97800406|0.73588147|0.60331494|0.98946398|0.4635306,0|-0.41407388|-0.53767261|-1.0562754|-1.1389137|-1.5725567|-1.6468807|-1.7636138
0_0_0_10_14_32,-22.0,42,0,2,10,922,971,922,922,922,922,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.07711492921799484,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.9935063921834152,-0.3029624475010002,922|550|808|202|813|638|664|687,0.99350639|0.79104551|0.85098189|0.93700391|0.66675713|0.60026608|0.95987591|0.97392076,0|-2.9618686|-3.3039688|-3.3388823|-3.459235|-3.7634364|-3.8343758|-3.9979915
0_0_0_10_14_32,-22.0,42,0,3,11,718,954,718,718,718,718,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.057028095294283765,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.7672792861845873,1.3603596646277196,718|265|400|312|825|25|716|118,0.76727929|0.91019444|0.92994488|0.97708443|0.59272377|0.9224212|0.99301668|0.74220627,0|-0.90440527|-0.97670577|-1.6696679|-1.8449472|-1.910681|-2.4138511|-2.5364453
0_0_0_10_14_32,-22.0,42,0,4,12,107,28,599,599,599,599,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.03694126137057263,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.9926311486860915,0.1844745493842991,599|514|189|897|505|679|694|818,0.99263115|0.92529399|0.97558497|0.94244553|0.78516526|0.88960649|0.85951878|0.83559104,0|-0.14715691|-0.41185333|-0.60139958|-0.79107748|-1.0126963|-1.0872405|-1.1446479
0_0_0_10_14_32,-22.0,42,0,5,13,468,223,468,468,468,468,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,-0.016854427446861497,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.659088213205338,1.2031699699060976,468|546|156|846|389|474|1008|69,0.65908821|0.97427398|0.9689139|0.97528315|0.98692877|0.62053311|0.8852155|0.72715544,0|-2.3762211|-2.6346362|-2.6584712|-2.9140093|-3.0423459|-3.2056393|-3.2169955
0_0_0_10_14_32,-22.0,42,0,6,14,89,697,189,189,189,189,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.0032324064768496363,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.8434638610258062,1.5154631533005618,189|633|619|772|129|319|784|417,0.84346386|0.95060162|0.70336517|0.97052001|0.84135501|0.51530403|0.88115666|0.46833148,0|-0.035344464|-0.8420452|-1.2105151|-1.2601376|-1.4068291|-1.6368289|-1.6683409
0_0_0_10_14_32,-22.0,42,0,7,15,713,777,501,501,501,501,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.02331924040056066,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.22689260005243042,2.3464266062762014,501|982|776|872|905|20|531|192,0.2268926|0.97190915|0.99201036|0.8066654|0.96606046|0.76150789|0.73633284|0.81287989,0|-0.47229461|-0.72626688|-0.73856948|-0.80295352|-1.0895468|-1.1965082|-1.2152547
0_0_0_10_14_32,-22.0,42,0,8,16,865,572,171,171,171,171,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.04340607432427179,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.934116595882257,-0.30351810302172405,171|676|396|906|272|838|618|82,0.9341166|0.53959755|0.92724929|0.77290363|0.88029925|0.91031993|0.86257725|0.88497183,0|-0.49683507|-0.56666346|-0.99709678|-1.0337556|-1.3688934|-1.5302256|-1.5359725
0_0_0_10_14_32,-22.0,42,0,9,17,492,220,492,492,492,492,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.06349290824798293,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.5532838785728909,-0.07888283644261906,492|193|934|493|51|739|159|297,0.55328388|0.94823965|0.95275941|0.9857352|0.78152102|0.85891089|0.69755976|0.48547873,0|-0.50917413|-1.0408437|-1.2112124|-1.2309123|-1.4367343|-1.4634135|-1.6447547
0_0_0_10_14_32,-22.0,42,0,10,18,765,43,896,896,896,896,1,1,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.08357974217169406,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.9492753229905452,-1.1399798819902003,896|634|344|44|211|765|43|925,0.94927532|0.30521311|0.83372102|0.9856466|0.89635724|0.91594754|0.65626205|0.99354827,0|-0.42132487|-0.74040977|-0.79893291|-0.90484779|-1.219995|-1.6827179|-1.702343
0_0_0_10_14_32,-22.0,42,0,11,19,1023,621,693,693,693,693,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.10366657609540508,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.8420007636582493,-0.28688984634567116,693|477|338|593|299|937|215|329,0.84200076|0.93712435|0.896568|0.88008214|0.48619123|0.91569939|0.85671477|0.74668186,0|-0.65279403|-0.92029952|-0.92656974|-1.352321|-1.368505|-1.462862|-1.4816016
0_0_0_10_14_32,-22.0,42,0,12,20,597,331,539,539,886,886,0,0,8,0.8775730320019337,0.9283126162519879,0.27849378487559634,0.12,0.12375341001911622,-0.011386518497018244,-0.051122194513715746,-0.051122194513715746,0.0,0.9283126162519879,0.1619886047874708,0.17652412071063722,0.8289614118924994,0.7315102372176212,539|886|47|854|153|365|450|830,0.55208137|0.82896141|0.95776767|0.97587964|0.93407719|0.78843857|0.71827365|0.92620434,0|-0.058482909|-0.17300115|-0.83857223|-0.86757567|-1.0714|-1.3282038|-1.3669438
