branch_dimension,branch_snapshots,branch_diagonal_cv,branch_mean_abs_correlation,branch_max_abs_correlation,pair_dimension,pair_snapshots,pair_diagonal_cv,pair_mean_abs_correlation,pair_max_abs_correlation,dataset,snr_db,seed,offpacket_windows,branch_gls_active,min_branch_correlation
4,2048,0.012564323694074078,0.007918860807532279,0.013954668623745763,2,2048,0.0103941839993294,0.026713964990971884,0.026713964990971884,0_0_0_10_14_32,-22.0,42,128,0,0.05
4,2048,0.010783329963044314,0.016080112616516106,0.026404816949783434,2,2048,0.018485364261401974,0.024681473476840878,0.024681473476840878,0_0_0_10_14_32,-22.0,43,128,0,0.05
4,2048,0.015546393298339617,0.01132664484441472,0.025308636971277443,2,2048,0.017141703059906577,0.00820685398142906,0.00820685398142906,0_0_0_10_14_32,-22.0,44,128,0,0.05
4,2048,0.012505062877226893,0.007851499557652053,0.014040913560568361,2,2048,0.010241824503313936,0.026559520034780813,0.026559520034780813,0_0_0_10_14_32,-23.0,42,128,0,0.05
4,2048,0.010797178960438414,0.016101803623889684,0.026384761792098036,2,2048,0.018106080892889696,0.02439367430246893,0.02439367430246893,0_0_0_10_14_32,-23.0,43,128,0,0.05
4,2048,0.015403492242122183,0.011294758625319952,0.02512228146129879,2,2048,0.017717627520996766,0.007841683754935038,0.007841683754935038,0_0_0_10_14_32,-23.0,44,128,0,0.05
4,2048,0.012450301932294605,0.007802014876470376,0.014128431195532427,2,2048,0.010126672997553854,0.026448588283913,0.026448588283913,0_0_0_10_14_32,-24.0,42,128,0,0.05
4,2048,0.010808933774511637,0.016118209472403618,0.0263639101739875,2,2048,0.01780023536602862,0.02416016100082801,0.02416016100082801,0_0_0_10_14_32,-24.0,43,128,0,0.05
4,2048,0.015275344003763161,0.01132925942981168,0.024995127155156522,2,2048,0.01816319829213404,0.007560249539658069,0.007560249539658069,0_0_0_10_14_32,-24.0,44,128,0,0.05
4,2048,0.012399967010630572,0.007765526915440918,0.014212362546294365,2,2048,0.010040524417517328,0.026371043789975138,0.026371043789975138,0_0_0_10_14_32,-25.0,42,128,0,0.05
4,2048,0.010818947500508958,0.01613045713004358,0.026342920771295502,2,2048,0.017553299777699028,0.02396990734438655,0.02396990734438655,0_0_0_10_14_32,-25.0,43,128,0,0.05
4,2048,0.01516055428676301,0.01139602332223705,0.024908481058022656,2,2048,0.018506005511729384,0.00734110278753274,0.00734110278753274,0_0_0_10_14_32,-25.0,44,128,0,0.05
4,2048,0.012353919023667347,0.007738672723620101,0.014290324581601429,2,2048,0.009976878397435386,0.026318971842590744,0.026318971842590744,0_0_0_10_14_32,-26.0,42,128,0,0.05
4,2048,0.010827495007999644,0.016139448635498183,0.026322278614514635,2,2048,0.017353648162438524,0.023814354562700486,0.023814354562700486,0_0_0_10_14_32,-26.0,43,128,0,0.05
4,2048,0.0150578254099873,0.011472273053084273,0.024849711491785137,2,2048,0.01876807218570715,0.007168362280749599,0.007168362280749599,0_0_0_10_14_32,-26.0,44,128,0,0.05
