dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,gt_bin,case_index,noise_model,snr_db,seed,savaux_bin,cfr_nus_glrt_bin,cfr_whitened_ml_bin,savaux_correct,cfr_nus_glrt_correct,cfr_whitened_ml_correct,savaux_margin_db,cfr_nus_glrt_margin_db,cfr_whitened_ml_margin_db
0_0_0_10_14_32,0,0,0,8,803,0,awgn,-24.0,101,803,803,803,1,1,1,3.257535829586274,3.2575371633517847,3.257537321093808
0_0_0_10_14_32,0,0,1,9,711,1,awgn,-24.0,101,711,711,711,1,1,1,3.7406160663825503,3.740616145066178,3.7406159119191718
0_0_0_10_14_32,0,0,2,10,922,2,awgn,-24.0,101,922,922,922,1,1,1,3.1959857202933732,3.1959849408506615,3.195985047778755
0_0_0_10_14_32,0,0,3,11,718,3,awgn,-24.0,101,718,718,718,1,1,1,3.3087921443557637,3.308790759173058,3.3087903972854136
0_0_0_10_14_32,0,0,4,12,107,4,awgn,-24.0,101,107,107,107,1,1,1,0.9272291710047021,0.9272279840370101,0.9272278790257964
0_0_0_10_14_32,0,0,5,13,468,5,awgn,-24.0,101,468,468,468,1,1,1,3.901778308938308,3.9017775130725543,3.9017774987516645
0_0_0_10_14_32,0,0,6,14,89,6,awgn,-24.0,101,89,89,89,1,1,1,3.592104620280625,3.592104202420755,3.5921042812108874
0_0_0_10_14_32,0,0,7,15,713,7,awgn,-24.0,101,713,713,713,1,1,1,0.17643841226139076,0.17643786018560312,0.17643799078686828
0_0_0_10_14_32,0,0,8,16,865,8,awgn,-24.0,101,865,865,865,1,1,1,1.6195676076987244,1.619567388154823,1.619567484249191
0_0_0_10_14_32,0,0,9,17,492,9,awgn,-24.0,101,492,492,492,1,1,1,3.9836189971173397,3.9836204363136964,3.983620443457836
0_0_0_10_14_32,0,0,10,18,765,10,awgn,-24.0,101,765,765,765,1,1,1,5.268544424205423,5.268543228496734,5.2685430589413755
0_0_0_10_14_32,0,0,11,19,1023,11,awgn,-24.0,101,1023,1023,1023,1,1,1,4.0736878626820126,4.073688476173928,4.073688590139896
0_0_0_10_14_32,0,0,12,20,597,12,awgn,-24.0,101,597,597,597,1,1,1,5.2218404483080345,5.22184143069199,5.221841372591491
0_0_0_10_14_32,0,0,13,21,562,13,awgn,-24.0,101,562,562,562,1,1,1,4.3991453817193085,4.399144568451183,4.399144607128215
0_0_0_10_14_32,0,0,14,22,478,14,awgn,-24.0,101,478,478,478,1,1,1,0.9042497924311556,0.904250166522474,0.9042500934336264
0_0_0_10_14_32,0,0,15,23,267,15,awgn,-24.0,101,267,267,267,1,1,1,3.301230500237875,3.3012300792269533,3.301229999434239
0_0_0_10_14_32,0,0,16,24,917,16,awgn,-24.0,101,917,917,917,1,1,1,7.122325964019561,7.1223233580732215,7.122323503267365
0_0_0_10_14_32,0,0,17,25,656,17,awgn,-24.0,101,656,656,656,1,1,1,3.5284668700995776,3.5284663562778245,3.528466283093347
0_0_0_10_14_32,0,0,18,26,889,18,awgn,-24.0,101,889,889,889,1,1,1,6.397563747199081,6.397563442126517,6.397563458928245
0_0_0_10_14_32,0,0,19,27,510,19,awgn,-24.0,101,510,510,510,1,1,1,3.0690921716490385,3.069092650509032,3.069092641626275
0_0_0_10_14_32,0,0,20,28,860,20,awgn,-24.0,101,860,860,860,1,1,1,3.937895049862568,3.937896628372563,3.9378966252877063
0_0_0_10_14_32,0,0,21,29,553,21,awgn,-24.0,101,553,553,553,1,1,1,4.589979362744649,4.589978214031853,4.589978280303364
0_0_0_10_14_32,0,0,22,30,629,22,awgn,-24.0,101,629,629,629,1,1,1,5.772392294339374,5.772392415769816,5.772392374012808
0_0_0_10_14_32,0,0,23,31,759,23,awgn,-24.0,101,759,759,759,1,1,1,4.847239382146212,4.847240924283343,4.847240906053949
0_0_0_10_14_32,0,0,24,32,874,24,awgn,-24.0,101,874,874,874,1,1,1,3.5220440000561553,3.5220445998314704,3.5220445426455598
0_0_0_10_14_32,0,0,25,33,720,25,awgn,-24.0,101,720,720,720,1,1,1,5.014037522836759,5.014037161272894,5.014037127337233
0_0_0_10_14_32,0,0,26,34,314,26,awgn,-24.0,101,314,314,314,1,1,1,4.031993467309229,4.0319931307607835,4.031993193023329
0_0_0_10_14_32,0,0,27,35,602,27,awgn,-24.0,101,602,602,602,1,1,1,5.032773322935215,5.032773717136724,5.032773815282111
0_0_0_10_14_32,0,0,28,36,7,28,awgn,-24.0,101,7,7,7,1,1,1,3.3427092689393643,3.3427099566966993,3.3427098849416677
0_0_0_10_14_32,0,0,29,37,610,29,awgn,-24.0,101,610,610,610,1,1,1,3.201642028278159,3.2016423483286403,3.201642586888283
