dataset,noise_model,snr_db,seed,sf,os_factor,symbol_count,savaux_errors,savaux_ser,cfr_nus_glrt_errors,cfr_nus_glrt_ser,cfr_whitened_ml_errors,cfr_whitened_ml_ser,fixes_vs_savaux,breaks_vs_savaux,whitened_fixes_vs_savaux,whitened_breaks_vs_savaux
0_0_0_10_14_32,awgn,-24.0,101,10,4,64,1,0.015625,1,0.015625,1,0.015625,0,0,0,0
0_0_0_10_14_32,awgn,-26.0,101,10,4,64,10,0.15625,10,0.15625,10,0.15625,0,0,0,0
0_0_0_10_14_32,awgn,-24.0,202,10,4,64,2,0.03125,2,0.03125,2,0.03125,0,0,0,0
0_0_0_10_14_32,awgn,-26.0,202,10,4,64,10,0.15625,10,0.15625,10,0.15625,0,0,0,0
0_0_0_10_14_32,ar1_rho0.8,-24.0,101,10,4,64,38,0.59375,38,0.59375,22,0.34375,0,0,18,2
0_0_0_10_14_32,ar1_rho0.8,-26.0,101,10,4,64,51,0.796875,51,0.796875,37,0.578125,0,0,18,4
0_0_0_10_14_32,ar1_rho0.8,-24.0,202,10,4,64,48,0.75,48,0.75,23,0.359375,0,0,26,1
0_0_0_10_14_32,ar1_rho0.8,-26.0,202,10,4,64,61,0.953125,61,0.953125,41,0.640625,0,0,21,1
