sf,os_factor,noise_model,selection_order,dictionary_index,pattern_name,savaux_fixed_branch,marginal_fisher_information,cumulative_fisher_information,effective_replica_count,exact_mean_fisher_information,exact_marginal_fisher_information,exact_effective_replica_count,offset_counts
10,4,awgn,0,0,fixed_0,1,1024.0,1024.0,1.0,1024.000005836589,1024.000005836589,1.000000005699794,1024|0|0|0
10,4,awgn,1,1,fixed_1,1,1024.0,2048.0,2.0,2048.0000055671617,1023.9999997305727,2.0000000054366813,0|1024|0|0
10,4,awgn,2,2,fixed_2,1,1024.0,3072.0,3.0,3072.0000059908207,1024.000000423659,3.000000005850411,0|0|1024|0
10,4,awgn,3,3,fixed_3,1,1024.0,4096.0,4.0,4096.000005721393,1023.9999997305722,4.000000005587298,0|0|0|1024
10,4,awgn,4,4,dyadic_w1_s1_b0,0,0.0,4096.0,4.0,4096.000005721393,0.0,4.000000005587298,256|256|256|256
10,4,awgn,5,12,dyadic_w1_s3_b0,0,6.366462912410498e-12,4096.000000000006,4.000000000000006,4096.000005721395,1.8189894035458565e-12,4.0000000055872995,256|256|256|256
10,4,awgn,6,9,dyadic_w1_s2_b1,0,0.0,4096.000000000006,4.000000000000006,4096.000005721393,0.0,4.000000005587298,0|512|0|512
10,4,awgn,7,21,dyadic_w2_s2_b1,0,9.094947017729282e-13,4096.000000000007,4.000000000000007,4096.000005721395,1.8189894035458565e-12,4.0000000055872995,0|512|0|512
10,4,ar1_rho0.8,0,0,fixed_0,1,1010.2333721595535,1010.2333721595535,0.986556027499564,1024.000005836589,1024.000005836589,1.000000005699794,1024|0|0|0
10,4,ar1_rho0.8,1,1,fixed_1,1,111.96482190007941,1122.198194059633,1.0958966738863603,1135.2049706630191,111.20496482643011,1.1085986041631046,0|1024|0|0
10,4,ar1_rho0.8,2,2,fixed_2,1,73.26066864198401,1195.458862701617,1.1674402956070478,1205.8185119166556,70.61354125363641,1.177557140543609,0|0|1024|0
10,4,ar1_rho0.8,3,3,fixed_3,1,23.686617250609515,1219.1454799522264,1.1905717577658461,1228.6152412019308,22.796729285275205,1.1998195714862605,0|0|0|1024
10,4,ar1_rho0.8,4,54,dyadic_w16_s1_b2,0,0.13217029343377362,1219.2776502456602,1.1907008303180275,1228.6156259708628,0.00038476893200822815,1.1998199472371707,256|256|256|256
10,4,ar1_rho0.8,5,24,dyadic_w2_s3_b0,0,0.11918043143782597,1219.396830677098,1.1908172174581035,1228.6161243963493,0.0004984254865121329,1.1998204339808098,256|256|256|256
10,4,ar1_rho0.8,6,74,dyadic_w32_s3_b2,0,0.11783988067827522,1219.5146705577763,1.1909322954665784,1228.6164972758054,0.00037287945610842144,1.1998207981209037,256|256|256|256
10,4,ar1_rho0.8,7,96,dyadic_w128_s3_b0,0,0.08623924936455296,1219.6009098071409,1.191016513483536,1228.6194496278945,0.0029523520890961663,1.1998236812772407,256|256|256|256
