method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,1,0.014285714285714285,0,0,0.21908259999690927,3.129751428527275,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.0036627000008593313,0.05232428572656188,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,8,0.11428571428571428,0,0,0.08008910000353353,1.144130000050479,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.004859399989072699,0.0694199998438957,0,0.0,7,0.1,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,16,0.22857142857142856,0,0,0.07491320001645363,1.0701885716636232,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,0,0,0.005741400003898889,0.08202000005569841,0,0.0,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,1,0.014285714285714285,0,0,0.08182899999519577,1.1689857142170825,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.004011600012745475,0.05730857161064965,0,0.0,3,0.04285714285714286,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,8,0.11428571428571428,0,0,0.07448050000675721,1.0640071429536744,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.004845999992539873,0.0692285713219982,0,0.0,8,0.11428571428571428,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,15,0.21428571428571427,0,0,0.08154299997113412,1.1648999995876304,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.005561700018006377,0.0794528574000911,0,0.0,12,0.17142857142857143,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,1,0.014285714285714285,0,0,0.08100719999856665,1.157245714265238,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.003676900021673646,0.05252714316676637,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,5,0.07142857142857142,0,0,0.08011580001038965,1.1445114287198521,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,5,0.07142857142857142,0,0,0.005019100022764178,0.07170142889663111,0,0.0,10,0.14285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
savaux,0,70,15,0.21428571428571427,0,0,0.08716499998990912,1.2452142855701303,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.0066645999904721975,0.09520857129245996,0,0.0,17,0.24285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.101391,,8
