method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.2803752000145323,4.005360000207604,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_8,8,70,23,0.32857142857142857,3,1,0.3627591999938886,5.18227428562698,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_8,8,70,23,0.32857142857142857,4,2,0.35653419997834135,5.093345713976305,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,0.5892356999902404,8.417652857003434,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,0.5825884000005317,8.322691428579024,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_16,16,70,21,0.3,5,1,0.7229178000052343,10.327397142931918,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_16,16,70,21,0.3,6,2,0.7176104000027408,10.251577142896297,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_32,32,70,18,0.2571428571428571,8,1,1.3216761000039696,18.881087142913852,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_32,32,70,20,0.2857142857142857,6,1,1.3245970999960264,18.92281571422895,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.11537239998870064,1.6481771426957235,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_8,8,70,17,0.24285714285714285,5,1,0.3728761999991548,5.326802857130782,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_8,8,70,18,0.2571428571428571,3,0,0.3665212000159954,5.236017143085649,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,0.6184039000036137,8.834341428623052,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,0.6066118999988248,8.665884285697498,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_16,16,70,15,0.21428571428571427,6,0,0.7597825000120793,10.854035714458275,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_16,16,70,18,0.2571428571428571,3,0,0.7569627000084438,10.813752857263482,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_32,32,70,18,0.2571428571428571,4,1,1.4111879999909434,20.15982857129919,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_32,32,70,18,0.2571428571428571,3,0,1.3941733999672579,19.916762856675113,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.11912010001469753,1.701715714495679,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_8,8,70,19,0.2714285714285714,4,0,0.35721259999263566,5.103037142751938,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_8,8,70,20,0.2857142857142857,3,0,0.3547267999929318,5.06752571418474,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,0.5922803000066779,8.461147142952541,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,0.5916613000263169,8.452304286090241,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_16,16,70,17,0.24285714285714285,6,0,0.7336214000206382,10.480305714580547,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_16,16,70,17,0.24285714285714285,6,0,0.7391036999833887,10.55862428547698,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_32,32,70,16,0.22857142857142856,7,0,1.3428504999865254,19.183578571236076,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_32,32,70,16,0.22857142857142856,7,0,1.3531250999985787,19.330358571408265,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
