snr_db,snr_index,trial,groundtruth,common_phase_rad,multirate_equal_sum_gt_margin_db,multirate_awgn_glrt_gt_margin_db,coherent_ml_gt_margin_db,gt_ratio_consistency_q8,gt_ratio_consistency_q4,gt_ratio_consistency_q2,gt_ratio_consistency_q1,fft_argmax_q8_bin,fft_argmax_q8_error,fft_argmax_q4_bin,fft_argmax_q4_error,fft_argmax_q2_bin,fft_argmax_q2_error,fft_argmax_q1_bin,fft_argmax_q1_error,pair_energy_q8_bin,pair_energy_q8_error,fold_profile_q8_bin,fold_profile_q8_error,multirate_equal_sum_bin,multirate_equal_sum_error,multirate_awgn_glrt_bin,multirate_awgn_glrt_error,coherent_ml_q8_bin,coherent_ml_q8_error
-22.0,0,0,112,-1.5115517660994562,-0.23098159486719022,0.12059317254954452,1.6153216911357084,0.9208028093509716,0.8479461214581848,0.5371895736730912,1.0,77,1,81,1,81,1,86,1,86,1,112,0,86,1,112,0,112,0
-22.0,0,1,89,2.8721020134819506,-10.109929693154431,-9.82247346372149,-2.966243254694343,0.9871156878585091,0.9993398609982715,0.9868225868350425,1.0,45,1,48,1,114,1,79,1,56,1,63,1,63,1,63,1,68,1
-22.0,0,2,121,1.989623394994875,-2.423225815242974,-0.2297795309819356,1.4148067720645945,0.8713420831760919,0.8179494160406584,0.8476680081031581,1.0,99,1,78,1,105,1,9,1,99,1,9,1,9,1,9,1,121,0
-22.0,0,3,60,-0.4528352733071257,-6.308532710218112,-1.8075807130703074,0.255471643341863,0.9987366458886245,0.9911647786342974,0.9384024423675984,1.0,6,1,75,1,75,1,75,1,6,1,99,1,75,1,99,1,60,0
-22.0,0,4,116,-0.6745448220077583,0.07784049438156773,2.5445588903267864,2.584564905915933,0.9845565239638823,0.9880417315962206,0.9256799091778886,1.0,116,0,125,1,8,1,98,1,116,0,116,0,116,0,116,0,116,0
-22.0,0,5,33,1.6093037933024492,0.7270695368404735,2.936374963573522,3.5891668321914234,0.9918139923385206,0.9798566266187212,0.9767775657635925,1.0,33,0,104,1,35,1,90,1,33,0,33,0,33,0,33,0,33,0
-22.0,0,6,106,0.8895608349156401,-1.3713028183117943,0.038079756083400564,2.0771982069388137,0.9992626900560814,0.8728631660485496,0.8955020192051584,1.0,88,1,54,1,115,1,100,1,88,1,106,0,54,1,106,0,106,0
-22.0,0,7,127,-2.907345154913443,-1.9718319514668017,1.6545768496279798,1.4853670363678808,0.9973226976684183,0.8137613216128762,0.25690801246503586,1.0,115,1,115,1,45,1,20,1,115,1,127,0,20,1,127,0,127,0
-22.0,0,8,51,2.8354703598526996,-3.24435903910223,-1.4456413912372013,3.1100718519527644,0.9722944908462989,0.9793949465607179,0.9609736071721411,1.0,30,1,30,1,89,1,24,1,81,1,81,1,24,1,81,1,51,0
-22.0,0,9,56,2.7127829700898456,-1.6156532813711668,0.09766211788323262,-3.1374054824232536,0.9268627669003766,0.9760978650126093,0.9843592597463942,1.0,120,1,78,1,79,1,68,1,120,1,56,0,19,1,56,0,78,1
