snr_db,method,trials,errors,ser,fixes_vs_source_fft,breaks_vs_source_fft,net_fixes_vs_source_fft
-22.0,fft_argmax_q8,50,40,0.8,0,0,0
-22.0,fft_argmax_q4,50,46,0.92,1,7,-6
-22.0,fft_argmax_q2,50,49,0.98,1,10,-9
-22.0,fft_argmax_q1,50,49,0.98,1,10,-9
-22.0,pair_energy_q8,50,42,0.84,2,4,-2
-22.0,fold_profile_q8,50,31,0.62,10,1,9
-22.0,multirate_equal_sum,50,38,0.76,5,3,2
-22.0,multirate_awgn_glrt,50,31,0.62,10,1,9
-22.0,coherent_ml_q8,50,17,0.34,25,2,23
