phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
0,0,13,1419,1419,0.21754891089769332,0.07348393612186499,2.960496162547859,False
1,4096,13,1419,1419,0.23541415092743895,0.07335264847835159,3.209347662435341,False
2,8192,13,441,441,0.23686621335558156,0.07347550694268382,3.2237438462364643,False
3,12288,13,2851,2851,0.22723688941011128,0.07333517210636009,3.0986071605660532,False
4,16384,13,2043,2043,0.2201390511665911,0.0727123740369783,3.027532164671698,False
5,20480,13,1594,1594,0.21462122375357962,0.0729798744937806,2.940827525975943,False
6,24576,13,1081,1081,0.23877451255760382,0.0733114588900276,3.2569876002028897,False
7,28672,13,1838,1838,0.24250950822709116,0.07346055947677052,3.301220545478922,False
8,32768,13,1838,1838,0.23379020032952172,0.07314098801306122,3.1964320783822666,False
9,36864,13,31961,-807,0.21707014435077138,0.07340280198021441,2.9572460246038323,False
10,40960,13,29451,-3317,0.20959315337182027,0.07371347293607233,2.8433493230415148,False
11,45056,13,1061,1061,0.20779039161995377,0.0735201025178131,2.8263071527900614,False
12,49152,13,32250,-518,0.22169443374752582,0.072718128285473,3.048681793310321,False
13,53248,13,28864,-3904,0.2900952814275021,0.07183702071188963,4.03824210069849,False
14,57344,13,28864,-3904,0.22859830855317687,0.07098608568698382,3.2203255939648634,False
15,61440,13,2896,2896,0.20309827252784637,0.07113499781494592,2.8551104065005553,False
16,65536,13,207,207,0.23910212130394662,0.07139372970269262,3.349063318300471,False
17,69632,13,207,207,0.21816166229462566,0.07091260224426373,3.0764864832227086,False
18,73728,13,2975,2975,0.25268162483351087,0.07053867629122684,3.582171343707761,False
19,77824,13,2975,2975,0.24542454711768183,0.07088762911814313,3.4621632881620434,False
20,81920,13,2617,2617,0.2292550704346104,0.07139990164672358,3.210859751165085,False
21,86016,13,2617,2617,0.22797854347482152,0.07222194754760342,3.1566379918591196,False
22,90112,13,31462,-1306,0.230356461476561,0.07368090299563107,3.126406600774424,False
23,94208,13,31462,-1306,0.2330210581195777,0.0744825069953065,3.1285340346326085,False
24,98304,13,31726,-1042,0.22755910200132096,0.0752139007070441,3.0254926265246747,False
25,102400,13,31832,-936,0.23727017609988219,0.07623709966262135,3.112266562472792,False
26,106496,13,31832,-936,0.2533743220805149,0.07623121002766048,3.3237609896075124,False
27,110592,13,1967,1967,0.22583246873638138,0.07612851297376157,2.9664636798332937,False
28,114688,13,32278,-490,0.23024335925214895,0.07592585050093459,3.0324765245707037,False
29,118784,13,4565,4565,0.21852381482003191,0.07557946438743221,2.8913120328538517,False
30,122880,13,32702,-66,0.22522138788192206,0.07412265495269517,3.038495963557398,False
31,126976,13,2671,2671,0.235185702639025,0.07353230244906528,3.198399816215936,False
32,131072,13,2671,2671,0.23506804781357762,0.07235226761400113,3.2489382235766833,False
33,135168,13,32524,-244,0.2451485215772579,0.07169812151826119,3.4191763519887988,False
34,139264,13,785,785,0.22136281793405915,0.07173992649108601,3.0856292829009857,False
35,143360,13,32524,-244,0.25266177844279764,0.0718884968601169,3.514634322295479,False
36,147456,13,4698,4698,0.22044064107418113,0.07211445303324635,3.056816377329426,False
37,151552,13,2279,2279,0.21130223325163727,0.07239648969939641,2.918680645000927,False
38,155648,13,2199,2199,0.20835858337005378,0.07258284162885384,2.8706313874493588,False
39,159744,13,30087,-2681,0.2295548579917731,0.07288705904093157,3.1494597396618897,False
40,163840,13,30312,-2456,0.22468831749458942,0.0737215257073497,3.0477979848996672,False
41,167936,13,24339,-8429,0.25303876208762166,0.07463206693285956,3.3904831058110743,False
42,172032,13,31238,-1530,0.23090947317012192,0.07478876643898615,3.0874887254424968,False
43,176128,13,31238,-1530,0.264856248417491,0.07533155555815348,3.515873878550546,False
44,180224,13,31238,-1530,0.22497588814409084,0.07554092272004438,2.9781988363824246,False
45,184320,13,6559,6559,0.20852696970466023,0.07542962625244784,2.7645234381350674,False
46,188416,13,504,504,0.22551754766496965,0.07519929532772611,2.998931661289397,False
47,192512,13,1991,1991,0.2167959583985991,0.07484836508681425,2.896468856028376,False
48,196608,13,1991,1991,0.22992857027525124,0.0739764788049232,3.1081307733174954,False
49,200704,13,551,551,0.23123602597068796,0.07294348013032442,3.1700712052338367,False
50,204800,13,551,551,0.2617130481014564,0.07287074440277,3.5914693920912937,False
51,208896,13,2300,2300,0.23911161107582177,0.07239243466705364,3.3029917031460654,False
52,212992,13,2300,2300,0.21215785907047213,0.07258314918107545,2.9229629943610647,False
53,217088,13,30547,-2221,0.2228543448971833,0.0730042891963116,3.0526198850853627,False
54,221184,13,952,952,0.21936111472525002,0.07313787556198564,2.9992820141369516,False
55,225280,13,29011,-3757,0.22821199531553238,0.07334038453697525,3.111682557383881,False
56,229376,13,29732,-3036,0.24320118353125716,0.07356338252694447,3.3060087121765847,False
57,233472,13,1460,1460,0.2292186369835439,0.07369478746457511,3.1103778824754555,False
58,237568,13,3624,3624,0.23152212864799016,0.0735402400833102,3.148237324024369,False
59,241664,13,30058,-2710,0.23563767263018173,0.07433261846497413,3.170044019654915,False
60,245760,13,31009,-1759,0.2535514207961135,0.07413524460449175,3.420119838395342,False
61,249856,13,29985,-2783,0.22231585105597057,0.07385490091382381,3.010170595386427,False
62,253952,13,29985,-2783,0.22200588042920033,0.07331219341864671,3.0282258663500015,False
63,258048,13,32008,-760,0.22115687546327537,0.07254937596411792,3.0483635803105593,False
64,262144,13,2157,2157,0.23122872748390855,0.07222284542995279,3.2016009076819296,False
65,266240,13,2157,2157,0.22978634812685722,0.071956557416237,3.1934038589095417,False
66,270336,13,831,831,0.2391499356705411,0.07174924205980499,3.333135358715051,False
67,274432,13,2788,2788,0.2169998940592981,0.07099356107437382,3.056613737574962,False
68,278528,13,2441,2441,0.22269272388899722,0.07070863741185562,3.1494415963905795,False
69,282624,13,2550,2550,0.2346586035440845,0.07060389377616216,3.3235929492505094,False
70,286720,13,1543,1543,0.21022694006039114,0.07060071551959794,2.977688519347011,False
71,290816,13,28858,-3910,0.21824431041895592,0.07163465517367074,3.046630292137868,False
72,294912,13,30020,-2748,0.21309124297778861,0.07184361335451857,2.9660429511844195,False
73,299008,13,30020,-2748,0.2037277102568697,0.07172904059578383,2.840240278758791,False
74,303104,13,1330,1330,0.21647625243321555,0.07181180056696454,3.014494146144565,False
75,307200,13,2100,2100,0.21866035629701056,0.07224927572917103,3.0264712564962815,False
76,311296,13,31400,-1368,0.21772858745479437,0.07208755842452921,3.020335162034118,False
77,315392,13,3491,3491,0.22725573495950518,0.072851451032247,3.1194400624760736,False
78,319488,13,31078,-1690,0.2448290371595541,0.07324045645213516,3.342811459941641,False
79,323584,13,32095,-673,0.22219779498433437,0.07316802321759906,3.036815608965219,False
80,327680,13,31078,-1690,0.2384184875021062,0.07375887386580321,3.2324041163627912,False
81,331776,13,2474,2474,0.22995505493939397,0.07418966010471423,3.0995566580952962,False
82,335872,13,28712,-4056,0.21738347106309683,0.0741823717188145,2.9303925720665918,False
83,339968,13,31990,-778,0.2250440227016296,0.07379193321294339,3.049710353192861,False
84,344064,13,649,649,0.22243668804920086,0.07441484915350464,2.9891438413098625,False
85,348160,13,1241,1241,0.232542686401537,0.07451061520351801,3.120933651753791,False
86,352256,13,30083,-2685,0.2140374076044999,0.07433265245665033,2.879453383280292,False
87,356352,13,2371,2371,0.22281654019978367,0.0733312277141398,3.038494610623026,False
88,360448,13,3341,3341,0.22947199305049554,0.07224255275216135,3.1764103607707885,False
89,364544,13,29965,-2803,0.2136753970910962,0.07192148887476618,2.9709534721001125,False
90,368640,13,31642,-1126,0.21333192466790935,0.07185781592534461,2.9688061336229135,False
91,372736,13,29731,-3037,0.21162446203231294,0.0717986770455204,2.9474702145019043,False
92,376832,13,1205,1205,0.220896049849298,0.07087504419301338,3.116697172671014,False
93,380928,13,1205,1205,0.22418849190823556,0.07089829813199541,3.1621138703618956,False
94,385024,13,1702,1702,0.23525100550878716,0.0708397774006296,3.320888547945893,False
95,389120,13,28958,-3810,0.23604803169391494,0.07143147471303482,3.304538127515949,False
96,393216,13,24744,-8024,0.21850331270430037,0.07216512948215456,3.0278240234895333,False
97,397312,13,250,250,0.21699739421285585,0.07231257458238287,3.0008251741284537,False
98,401408,13,28680,-4088,0.2046406377535706,0.072312678123779,2.8299413472597887,False
99,405504,13,32609,-159,0.23732651620361184,0.07226372092834774,3.284172377989368,False
100,409600,13,32053,-715,0.2379963905535256,0.07260723474378711,3.277860551959536,False
101,413696,13,2338,2338,0.23237977160022028,0.07195225520723289,3.2296384724972547,False
102,417792,13,29496,-3272,0.20439820668052686,0.07198979673404932,2.8392663398624625,False
103,421888,13,1374,1374,0.2203389345838712,0.07135561670403553,3.0878989596261155,False
104,425984,13,31757,-1011,0.20798446742821883,0.07128168990946376,2.917782500560577,False
105,430080,13,31409,-1359,0.2303806011239013,0.07100345514137463,3.244639301921176,False
106,434176,13,31679,-1089,0.2262376168005754,0.07095021224459624,3.1886813251613106,False
107,438272,13,31409,-1359,0.2610247990227449,0.07071293038792001,3.6913305330553254,False
108,442368,13,31409,-1359,0.23018371260600687,0.0708585113490851,3.2484977206479084,False
109,446464,13,1589,1589,0.2200038052717613,0.07165752699676418,3.070212083675396,False
110,450560,13,1589,1589,0.25996383991352584,0.07207204088870836,3.6069998394378033,False
111,454656,13,30535,-2233,0.21536747203239695,0.07233425476445557,2.9773925608787315,False
112,458752,13,32448,-320,0.22133874465299952,0.07232691894251131,3.060254022833871,False
113,462848,13,30184,-2584,0.23873053801343036,0.07263750231561955,3.2866016920035963,False
114,466944,13,956,956,0.23333025011585834,0.07316021961012059,3.1893049441254093,False
115,471040,13,30233,-2535,0.26280982310411544,0.07318694760237994,3.5909384352513865,False
116,475136,13,30233,-2535,0.2429143700791803,0.07309269050239967,3.323374312937698,False
117,479232,13,30233,-2535,0.22703815608842579,0.07223398618613963,3.143093273343265,False
118,483328,13,4515,4515,0.21487793437809538,0.0720438273492516,2.9826002071824624,False
119,487424,13,3275,3275,0.233771164164533,0.07199712028500699,3.24695158971816,False
120,491520,13,4515,4515,0.2547183513557385,0.07226323329210196,3.52486789964293,False
121,495616,13,29360,-3408,0.22864856282361135,0.07214607319378127,3.1692447378178303,False
122,499712,13,29360,-3408,0.27837074715820415,0.07198921687324586,3.8668394969255195,False
123,503808,13,29360,-3408,0.23368460923879714,0.07204645550238215,3.2435267996087687,False
124,507904,13,28838,-3930,0.20557729724987173,0.07225867506195771,2.845018913972625,False
125,512000,13,32425,-343,0.22619144204883718,0.07226662081114216,3.129957364963199,False
126,516096,13,30412,-2356,0.2261548409476522,0.0721271768479671,3.1355010806031065,False
127,520192,13,3247,3247,0.22619632004200366,0.07186236228541146,3.14763268070194,False
128,524288,13,31488,-1280,0.21218773303328128,0.07148893576348046,2.968119902292288,False
129,528384,13,32259,-509,0.2067854867262296,0.07121893924640905,2.9035182061723277,False
