method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,training_dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,1,0.014285714285714285,0,0,0.21814380001524114,3.1163400002177304,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.003930600007151952,0.05615142867359931,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,8,0.11428571428571428,0,0,0.0855307999845536,1.2218685712079085,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.0050678000079642516,0.07239714297091789,0,0.0,7,0.1,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,16,0.22857142857142856,0,0,0.08644320000894368,1.234902857270624,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,16,0.22857142857142856,0,0,0.006231199989997549,0.0890171427142507,0,0.0,15,0.21428571428571427,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,1,0.014285714285714285,0,0,0.07826199998817174,1.1180285712595963,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.003857700008666143,0.05511000012380204,0,0.0,3,0.04285714285714286,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,8,0.11428571428571428,0,0,0.07837090000975877,1.1195842858536966,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,8,0.11428571428571428,0,0,0.004754499994305661,0.06792142849008087,0,0.0,8,0.11428571428571428,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,15,0.21428571428571427,0,0,0.07598139999390696,1.085448571341528,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.005285100000037346,0.07550142857196208,0,0.0,12,0.17142857142857143,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,1,0.014285714285714285,0,0,0.08673770002133097,1.2391100003047282,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,1,0.014285714285714285,0,0,0.004231899976730347,0.06045571395329067,0,0.0,1,0.014285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,5,0.07142857142857142,0,0,0.07674149999365909,1.0963071427665585,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,5,0.07142857142857142,0,0,0.0052048999968974385,0.07435571424139198,0,0.0,10,0.14285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
savaux,0,70,15,0.21428571428571427,0,0,0.08748350000314531,1.2497642857592186,0,0.0,0,0.0,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
information_8_conditional_lora,8,70,15,0.21428571428571427,0,0,0.006445300023187883,0.09207571461696976,0,0.0,17,0.24285714285714285,0,0,0_0_0_10_14_16,0_0_0_10_14_16,-25.0,44,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.107121,,8
