method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,screened_symbols,screen_rate,accepted_proposals,rejected_proposals,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db,branch_color_threshold,lora_guard_margin_db,lora_guard_segments
savaux,0,70,25,0.35714285714285715,0,0,0.2584619000008388,3.69231285715484,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,21,0.3,4,0,0.4299915000119654,6.142735714456649,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,20,0.2857142857142857,5,0,0.4338005000136036,6.197150000194337,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,20,0.2857142857142857,5,0,0.475852500036126,6.797892857658943,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_gated,8,70,22,0.3142857142857143,3,0,0.10444270001971745,1.4920385717102493,15,0.21428571428571427,0,0.0,0,0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap_color_gated,8,70,22,0.3142857142857143,3,0,0.09220240001741331,1.3171771431059045,13,0.18571428571428572,15,0.21428571428571427,11,1,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
savaux,0,70,25,0.35714285714285715,0,0,0.10694430000512511,1.5277757143589301,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
hamming_8,8,70,23,0.32857142857142857,4,2,0.44091530002333457,6.298790000333351,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8,8,70,23,0.32857142857142857,3,1,0.42567600000620587,6.081085714374369,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
information_8_wrap,8,70,23,0.32857142857142857,3,1,0.4672197999971104,6.674568571387291,0,0.0,0,0.0,0,0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,0.5,0.12,,8
