dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,effective_min_consistency_gain,fold_override_active,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,branch_steering_rank_one_fraction,branch_steering_observations,branch_steering_active,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db,gls_candidate_matched_power,gls_candidate_primary_power,gls_candidate_secondary_power,gls_candidate_phase_residual_rad
0_0_0_10_14_32,,42,0,18,26,889,889,889,889,889,889,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.6002989123154536,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9923313625488418,-0.5592846186973758,889|886|888|883|878|881|900|884,0.99233136|0.13630967|0.26429455|0.39501628|0.78885111|0.83571128|0.90225998|0.38060382,0|-17.748833|-17.764122|-19.895916|-20.706639|-22.201645|-22.412468|-22.437506,337.29358|1.0419588|2.9090884|1.9174016|1.2487902|0.21114734|1.4634189|1.3472945,0.00047306633|0.00034457533|0.00038492212|0.00018935761|2.0377292e-05|1.9743051e-06|3.0570205e-06|9.5083154e-05,0.023289029|0.00025209975|0.000467344|4.6026889e-05|0.00012183336|2.0057397e-05|0.00010719316|0.0001765468,-0.55928462|2.0706678|2.3131041|-1.053807|1.3462588|1.5631394|-2.62312|2.4529348
0_0_0_10_14_32,,42,0,19,27,510,510,510,510,510,510,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.6203857462391646,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9410843130644756,-0.510593520985674,510|509|511|508|507|506|503|505,0.94108431|0.024212144|0.01544466|0.81002928|0.11261997|0.90434416|0.56335926|0.2001855,0|-13.114628|-17.04723|-19.868497|-20.044489|-21.692707|-21.957348|-22.380959,248.06453|2.7013733|1.2852674|1.0369835|1.1484339|1.2327147|0.80554901|0.65387079,0.0064215844|0.0039343176|0.0027221967|6.5663036e-05|0.00045135814|6.5753334e-05|3.5975352e-05|0.00015385648,0.0086259886|0.0043087548|0.0031748683|5.3545378e-06|0.00031974069|1.4572067e-05|9.3291183e-05|0.00010517021,-0.51059352|2.448247|2.6073112|-0.026263764|2.1964652|0.0918707|1.1495235|1.9453958
0_0_0_10_14_32,,42,0,20,28,860,860,860,860,860,860,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.6404725801628759,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9802895208135805,-0.7703291442804061,860|859|858|854|857|848|216|862,0.98028952|0.51371646|0.38266653|0.6651673|0.10513228|0.33400471|0.63818145|0.39062975,0|-15.721131|-17.921267|-20.003367|-21.403642|-21.737362|-22.199612|-22.262155,334.88029|7.2724634|8.2463356|1.1786433|0.63672399|0.57694942|1.4279798|5.1029472,0.00051693475|0.00024754562|0.00051299486|3.3863687e-05|0.00027386739|8.4113014e-05|4.6066602e-05|0.00031289562,0.022896804|0.00086610203|0.0010220947|5.4493793e-05|0.00018810494|1.4559301e-05|9.9586218e-05|0.0006543364,-0.77032914|2.4567826|2.7195444|-1.5736874|2.1429736|-0.0026071124|-0.15374782|2.5993027
0_0_0_10_14_32,,42,0,21,29,553,553,553,553,553,553,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.6605594140865869,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9471206087829972,-0.5014451155760908,553|552|554|551|550|548|549|13,0.94712061|0.0090708207|0.0059834254|0.45099606|0.046770809|0.38880009|0.45893334|0.94109192,0|-12.050861|-18.756712|-18.93202|-20.38497|-21.646198|-22.025375|-23.944928,254.13607|0.8425953|0.50203487|2.2762024|0.2753289|1.2087565|1.3278611|1.8907572,0.0063154688|0.003259235|0.0028235115|0.00027981778|0.0002046641|0.00013476285|0.00013039652|0.00010861724,0.0091231544|0.0036868468|0.0030127518|3.6248264e-06|0.00027014158|0.00013560728|1.1264401e-05|1.0232628e-05,-0.50144512|2.4161803|2.6442543|2.1852332|2.1836679|1.4891129|-2.2181015|0.40423717
0_0_0_10_14_32,,42,0,22,30,629,629,629,629,629,629,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.6806462480102979,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9588312327332662,-0.4582542849615948,629|628|627|630|621|619|622|637,0.95883123|0.001407672|0.14031076|0.0042884745|0.91246936|0.43558429|0.029573227|0.72878068,0|-13.214052|-18.804519|-20.090458|-20.969351|-23.010097|-23.138095|-23.23765,238.43991|0.13883756|2.3160027|0.35973351|0.61741294|0.84893722|0.12383045|1.2780781,0.0044149423|0.0037502107|0.00058809739|0.003127744|2.0813851e-05|7.7053309e-05|0.00012121994|4.0138441e-05,0.010651503|0.0033044952|0.00031083746|0.0025498234|1.7653912e-05|1.4976693e-05|0.00018813775|4.7019907e-05,-0.45825428|2.4917491|-2.9333905|2.6571723|-0.39417134|-1.918038|2.5421459|-1.2429464
0_0_0_10_14_32,,42,0,23,31,759,759,759,759,759,759,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.7007330819340092,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9782411326285563,-0.4575942145675817,759|758|755|760|291|751|750|756,0.97824113|0.15081184|0.91007369|0.057680908|0.96789056|0.83331814|0.88117993|0.057248829,0|-14.649034|-19.358208|-21.777821|-22.348411|-22.658284|-22.855102|-23.011503,249.44681|7.394248|1.50968|1.951741|1.8392673|0.3530492|0.64328375|0.35172305,0.0015059508|0.0015153267|1.3787961e-06|0.0013380026|7.7045825e-05|1.5152777e-06|6.9427134e-06|0.00023833359,0.015537482|0.0021550822|0.00012595879|0.00084678081|3.1715303e-05|2.4814263e-05|5.5646024e-05|0.00018582682,-0.45759421|2.4760196|0.66789173|2.7437818|-0.19129972|-1.562804|0.93604873|2.5748973
0_0_0_10_14_32,,42,0,24,32,874,874,874,874,874,874,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.7208199158577202,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9893627341029149,-0.592020045495084,874|873|872|871|868|875|860|876,0.98936273|0.4059594|0.47972721|0.24084687|0.65629795|0.017795769|0.80057147|0.23968896,0|-15.224077|-17.234175|-19.439819|-20.627756|-20.640666|-21.299128|-21.597368,321.47863|7.409159|9.1306393|1.2219435|1.1703156|0.086429182|0.71988876|2.2890081,0.00038645212|0.0004506199|0.00037096609|0.00017713049|4.345427e-05|0.00026386603|1.6836351e-05|0.00033557293,0.022361379|0.00097385047|0.0010128959|0.00020880314|4.6684445e-05|2.748884e-05|6.0673759e-05|0.0003802152,-0.59202005|2.4222968|2.7110336|2.3681278|-1.0539948|2.431191|0.83529022|2.4082715
0_0_0_10_14_32,,42,0,25,33,720,720,720,720,720,720,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.7409067497814315,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9689532037976383,-0.485101357925442,720|719|721|718|716|714|722|724,0.9689532|0.046663106|0.00055758548|0.036244311|0.47196904|0.22062138|0.24440944|0.65281605,0|-15.140548|-16.791772|-17.546474|-19.834883|-22.458478|-22.877793|-23.109614,445.6134|4.9106423|0.038435219|1.3289272|3.6741068|0.60844398|13.96602|2.3344896,0.0038884556|0.0038423362|0.0033398701|0.0015660463|7.8942559e-05|0.00013550212|0.0011239474|4.8776627e-05,0.02595094|0.0035546003|0.0013447987|0.0012009593|0.00040023489|4.7530513e-06|0.0027592808|0.00027385904,-0.48510136|2.5672328|2.3814353|2.2409663|-2.7280673|-2.4800773|2.9256235|1.4817574
0_0_0_10_14_32,,42,0,26,34,314,314,314,314,314,314,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.7609935837051425,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9864773559989498,-0.36910652733217614,314|313|311|315|312|301|118|309,0.98647736|0.45049579|0.9716589|0.32795692|0.056354666|0.90512278|0.99492675|0.42130922,0|-11.978137|-19.266779|-19.452623|-21.016461|-22.04291|-22.267373|-23.436756,363.73218|55.99146|2.3260197|24.86453|0.55250629|4.0827112|3.0906456|0.35616987,0.017090098|0.0056969227|0.00012623299|0.0030680935|0.00014997104|0.00016839731|0.00016011684|1.9736901e-05,0.0025750329|0.0022427784|5.986878e-06|0.0020326893|0.00055757016|5.2340501e-05|7.2724233e-06|5.5208126e-05,-0.36910653|2.6301616|0.037587195|2.6125793|2.7895645|-0.97569676|-0.19387997|0.9987962
0_0_0_10_14_32,,42,0,27,35,602,602,602,602,602,602,1,1,8,0.027208701282945624,0.998446917506546,0.2995340752519638,0.12,1,0.7810804176288535,-0.03560286711817475,0.023690773067331694,0.023690773067331694,0.0,0.998446917506546,0.17866451557100982,0.062058274162183694,0.9990209510485432,40,1,0.9622473572483443,-0.427515643408247,602|601|600|599|603|590|594|161,0.96224736|0.0016021165|0.29993228|0.22193671|0.015106876|0.74578314|0.84153025|0.81458083,0|-12.686754|-17.993108|-20.096957|-20.127771|-21.399007|-22.482552|-23.290312,226.92252|0.13376899|3.3269352|0.78907441|0.83260625|0.52333612|0.52589441|1.2771283,0.0045660213|0.0032085993|0.00053852944|0.0001221696|0.0021116923|3.2286258e-05|1.242744e-05|8.345792e-05,0.0096828429|0.0026946387|3.4891254e-05|0.00019211242|0.001487643|5.0931831e-06|4.0372928e-05|3.1775394e-05,-0.42751564|2.5164551|-2.7965287|1.7791651|2.7361764|-0.38110925|0.73844838|0.95506885
