rank,preamble_start_sample,sfd_start_sample,data_start_sample,score,preamble_score,sfd_score,sync_word_bonus,preamble_ref_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,coarse_cfo_bins,hard_grlora_pattern_valid
1,37972,177236,186452,28.333057616223154,11.494619669062207,16.838437930169608,1.6991339097475356e-08,3827,2,2945,4015,906,156,143,147,4,0.6433340193042396,1.4295934298474438,-62.0,False
2,20760,160024,169240,23.67980949329123,16.487618614851662,3.298186963082542,3.8940039153570245,239,4,265,3566,2,801,525,3682,939,0.48672428216369323,0.806935651090323,147.25,False
3,33868,173132,182348,21.40242097541837,11.636313861366228,9.766107112022816,2.0293260632378466e-09,3825,2,4022,2943,173,914,168,145,23,0.6610445587974231,2.3939835786117314,-57.25,False
4,74008,213272,222488,21.127484209655062,13.78381477206568,7.343245346413149,0.0004240911762323458,236,3,2770,343,1586,75,394,106,288,0.5393531413885232,1.812185177207965,243.0,False
5,16900,156164,165380,20.576273441416394,11.890933734837143,2.572586170029436,6.112753536549813,295,2,314,324,5,3,3383,1191,1904,0.6930624645809007,0.6276936977797831,267.0,False
