copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,0,29444739,6,-91.52996470029873,0.7788729673589455,10.376254113769818,-95.97612426558044,0,0
1,1,29740190,-4090,-4.792991487534426,0.14618624372247083,45.599777603549406,-5.025815842032898,1,0
2,2,30020888,-8184,81.99618903294494,0.24872385373791261,8.83732803009411,85.97923591140928,0,0
3,3,30401638,-4104,-0.9006920716481126,1.9984611873135174,73.04612439369735,-0.9444440897204913,1,0
4,4,30650073,4096,-12.1704531547695,-1.6121294241104156,255.61290613731478,-12.761645087215584,1,0
5,5,31302165,-8184,2.724729936567684,1.0309680410349455,59.57220046090797,2.8570864179663955,1,0
6,6,31714791,-4100,-88.69346740753015,-2.6760796293236004,12.016465711603196,-93.00184128031833,0,0
7,7,32108633,0,0.0,0.0,inf,0.0,1,1
8,8,32476298,-8192,-50.58493652992935,-2.5066379862308295,6.51238942681695,-53.042150406807195,0,0
9,9,32702178,-8188,-0.03929628752472149,-0.7672288240283702,303.17406636386085,-0.04120514398752236,1,0
10,10,33012420,-8185,-1.934424236460508,-0.09484130138057548,13.779892184322225,-2.0283908281708136,0,0
11,11,33363167,-4105,-1.1573087524419101,-3.010939678271544,534.1325233262489,-1.2135261824005283,1,0
12,12,33790084,4095,-1.8673179895678516,-1.7097909362344266,342.227845345892,-1.9580248282290995,1,0
