packet_index,event_index,anchor_symbol_index,absolute_symbol_index,anchor_grid,anchor_start_sample,anchor_cfo_common_phase_rad,anchor_bin_mode,anchor_bin,anchor_signed_bin,argmax_bin,argmax_signed_bin,is_anchor_bin_argmax,anchor_real,anchor_imag,anchor_amp,anchor_power,anchor_phase,anchor_energy_ratio,peak_margin_db,total_fft_energy,anchor_phase_unwrap,phase_line_fit,phase_line_residual,file_name,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,anchor_line_slope_pi_per_symbol,anchor_line_r2
1,1,0,0.0,payload_backtrack,2435248,3108.232061326145,bin0,0,0,0,0,1,-10.891139030456543,1.1873297691345215,10.955668001605694,120.02667236328125,3.0330035285591674,0.0075932121525340264,0.3461277203459812,15807.101125605404,3.0330035285591674,2.9542907143183226,0.07871281424084486,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,1,1.0,payload_backtrack,2439344,2954.7391200260886,bin0,0,0,859,-165,0,-4.486781120300293,0.5725254416465759,4.523161527384995,20.4589900970459,3.0146758144592876,0.0013514101623261282,0.026809152100634327,15138.993820965989,3.0146758144592876,2.9457438266536085,0.0689319878056791,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,2,2.0,payload_backtrack,2443440,2801.2461787260318,bin0,0,0,0,0,1,-11.912969589233398,1.7134530544281006,12.035562546209826,144.85476684570312,2.9987414541985937,0.0095878902530441,1.8659430865785716,15108.096048524603,2.9987414541985937,2.937196938988895,0.061544515209698954,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,3,3.0,payload_backtrack,2447536,2647.7532374259754,bin0,0,0,895,-129,0,-7.870232105255127,-3.2965495586395264,8.532748231557932,72.80779266357422,-2.744931505142964,0.004659134674016238,1.636163338888192,15626.89163496811,3.538253802036622,2.9286500513241807,0.6096037507124414,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,4,4.0,payload_backtrack,2451632,2494.260296125919,bin0,0,0,640,-384,0,-3.4728996753692627,1.3876887559890747,3.73988131344812,13.986711502075195,2.7614515006976124,0.000865931227808699,0.5457484666636394,16152.219775546808,2.7614515006976115,2.9201031636594665,-0.15865166296185507,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,5,5.0,payload_backtrack,2455728,2340.767354825862,bin0,0,0,0,0,1,-11.323620796203613,4.88995885848999,12.334345770000924,152.13609313964844,2.733945255940678,0.009734858137971428,1.9940183539085818,15627.97228099627,2.733945255940677,2.911556275994753,-0.17761102005407592,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,6,6.0,payload_backtrack,2459824,2187.274413525806,bin0,0,0,660,-364,0,-6.577652931213379,5.473185062408447,8.556942959426042,73.22127532958984,2.4475898691979014,0.004784312726840895,0.7344382192733738,15304.450087220408,2.4475898691979006,2.9030093883300387,-0.4554195191321382,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,7,7.0,payload_backtrack,2463920,2033.7814722257492,bin0,0,0,577,-447,0,-4.914675712585449,2.6279096603393555,5.57314512127418,31.05994987487793,2.650566765810793,0.002064461340890402,0.43300421757625907,15045.062486605719,2.650566765810792,2.8944625006653246,-0.24389573485453256,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,8,8.0,payload_backtrack,2468016,1880.2885309256926,bin0,0,0,46,46,0,-3.811863422393799,2.3318517208099365,4.4685383738788715,19.96783447265625,2.592588853214786,0.0012592484659580865,0.43722099977695683,15856.94564056024,2.592588853214785,2.885915613000611,-0.2933267597858258,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,9,9.0,payload_backtrack,2472112,1726.795589625636,bin0,0,0,664,-360,0,-9.514780044555664,1.4166383743286133,9.619662342301579,92.53790283203125,2.993790228160299,0.006538503740946424,0.015352901854073753,14152.764378266875,2.993790228160298,2.877368725335897,0.11642150282440111,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,10,10.0,payload_backtrack,2476208,1573.3026483255796,bin0,0,0,874,-150,0,-10.252363204956055,-4.299837112426758,11.117533471042004,123.59955596923828,-2.744475135001541,0.007886522040628584,0.14449365979322623,15672.251384386793,3.5387101721780443,2.8688218376711827,0.6698883345068616,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,11,11.0,payload_backtrack,2480304,1419.809707025523,bin0,0,0,141,141,0,-6.850098133087158,3.0299220085144043,7.490278486852417,56.10427474975586,2.7251453784041324,0.003646517646590441,1.0948839095554999,15385.713216612116,2.7251453784041306,2.860274950006469,-0.1351295716023384,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,12,12.0,payload_backtrack,2484400,1266.3167657254664,bin0,0,0,241,241,0,-2.242219924926758,3.2759485244750977,3.969809683945708,15.759387969970703,2.171009002716743,0.0010483431917724657,0.7548911893306958,15032.66114918515,2.1710090027167412,2.851728062341755,-0.6807190596250138,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,13,13.0,payload_backtrack,2488496,1112.8238244254098,bin0,0,0,877,-147,0,-8.097535133361816,5.477476596832275,9.77613548928585,95.57282257080078,2.5468560819196715,0.0062153113394634455,0.07107717333487054,15376.996798852459,2.5468560819196697,2.843181174677041,-0.296325092757371,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,14,14.0,payload_backtrack,2492592,959.3308831253534,bin0,0,0,371,371,0,-7.426111221313477,-1.3808088302612305,7.553393998531079,57.05376434326172,-2.9577524453689414,0.0037622574150277858,1.156582955055199,15164.768927125726,3.325432861810643,2.834634287012327,0.49079857479831596,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
1,1,15,15.0,payload_backtrack,2496688,805.8379418252969,bin0,0,0,577,-447,0,-8.925054550170898,-0.2648991644382477,8.928984841002158,79.72676849365234,-3.1119209671570656,0.005154087319736539,0.08228908591016929,15468.649160900852,3.171264340022519,2.826087399347613,0.3451769406749059,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16_extreme_snr\0_0_0_10_14_16_snr_m23dB.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.0027205588397807485,0.011225050008727644
