method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,8,0.11428571428571428,0,0,0.5046953999953985,7.20993428564855,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,8,0.11428571428571428,0,0,1.309244000018225,18.703485714546073,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
information_12,12,70,8,0.11428571428571428,2,2,1.3192269999963173,18.84609999994739,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,22,0.3142857142857143,1,15,1.3495158999903651,19.27879857129093,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,100.0,100.0
savaux,0,70,8,0.11428571428571428,0,0,0.1933057000132976,2.7615100001899657,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,10,0.14285714285714285,0,2,1.3463368000120681,19.23338285731526,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
information_12,12,70,8,0.11428571428571428,1,1,1.355689700001676,19.36699571430966,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,21,0.3,2,15,1.3750368999935745,19.643384285622492,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,100.0,100.0
savaux,0,70,5,0.07142857142857142,0,0,0.1872324999931152,2.6747499999016457,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
hamming_12,12,70,6,0.08571428571428572,0,1,1.2160543999889342,17.37220571412763,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
information_12,12,70,7,0.1,0,2,1.2018472000054317,17.16924571436331,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
lora_information_12,12,70,26,0.37142857142857144,0,21,1.189019899989944,16.985998571284913,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,100.0,100.0
