dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_gain_vs_current,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,current_locked_ratio,current_false_lock_rate,current_uncertain_candidate_recall,current_mean_selected_offset_coherence,winner_by_symbol_ser
0_0_0_10_14_8,-12.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9955366141653422,traditional_fft
0_0_0_10_14_8,-12.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9963887228595242,traditional_fft
0_0_0_10_14_8,-12.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9951332258805875,traditional_fft
0_0_0_10_14_8,-12.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9972165762792423,traditional_fft
0_0_0_10_14_8,-12.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9959488503772499,traditional_fft
0_0_0_10_14_8,-12.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7142857142857143,0.0,1.0,0.9927872585932044,traditional_fft
0_0_0_10_14_8,-12.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6571428571428571,0.0,1.0,0.992775485539418,traditional_fft
0_0_0_10_14_8,-12.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7428571428571429,0.0,1.0,0.9905065837842567,traditional_fft
0_0_0_10_14_8,-12.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6857142857142857,0.0,1.0,0.9918431753787282,traditional_fft
0_0_0_10_14_8,-12.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.9933641998930832,traditional_fft
0_0_0_10_14_8,-13.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9945086196900752,traditional_fft
0_0_0_10_14_8,-13.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9956142796145081,traditional_fft
0_0_0_10_14_8,-13.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9940296108571165,traditional_fft
0_0_0_10_14_8,-13.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9966174330056699,traditional_fft
0_0_0_10_14_8,-13.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9949868703465495,traditional_fft
0_0_0_10_14_8,-13.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6857142857142857,0.0,1.0,0.9910498668297826,traditional_fft
0_0_0_10_14_8,-13.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6571428571428571,0.0,1.0,0.9910107006495649,traditional_fft
0_0_0_10_14_8,-13.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7428571428571429,0.0,1.0,0.9882064371202715,traditional_fft
0_0_0_10_14_8,-13.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5714285714285714,0.0,1.0,0.9898108880529447,traditional_fft
0_0_0_10_14_8,-13.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.9918839544970045,traditional_fft
0_0_0_10_14_8,-14.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9932127901534451,traditional_fft
0_0_0_10_14_8,-14.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9946389388415924,traditional_fft
0_0_0_10_14_8,-14.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.992648237987812,traditional_fft
0_0_0_10_14_8,-14.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9958649381117978,traditional_fft
0_0_0_10_14_8,-14.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.993775632138827,traditional_fft
0_0_0_10_14_8,-14.0,5,5,5,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6857142857142857,0.0,1.0,0.9888470684759842,traditional_fft
0_0_0_10_14_8,-14.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6571428571428571,0.0,1.0,0.9887926035998035,traditional_fft
0_0_0_10_14_8,-14.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7428571428571429,0.0,1.0,0.9853168687344773,traditional_fft
0_0_0_10_14_8,-14.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5714285714285714,0.0,1.0,0.9871915162031323,traditional_fft
0_0_0_10_14_8,-14.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.9900327456691821,traditional_fft
0_0_0_10_14_8,-15.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9915785941538473,traditional_fft
0_0_0_10_14_8,-15.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9934076750565249,traditional_fft
0_0_0_10_14_8,-15.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9909194702258776,traditional_fft
0_0_0_10_14_8,-15.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9949199686442849,traditional_fft
0_0_0_10_14_8,-15.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9922515396229765,traditional_fft
0_0_0_10_14_8,-15.0,5,5,5,33,35,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0,1,1,1,0.6857142857142857,0.0,1.0,0.9860511928853947,multi_offset_argmax
0_0_0_10_14_8,-15.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5714285714285714,0.0,1.0,0.9860105019990948,traditional_fft
0_0_0_10_14_8,-15.0,7,7,7,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.7428571428571429,0.0,1.0,0.981685140083459,traditional_fft
0_0_0_10_14_8,-15.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.5714285714285714,0.0,1.0,0.9837887561231236,traditional_fft
0_0_0_10_14_8,-15.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.9877152458219167,traditional_fft
0_0_0_10_14_8,-16.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.989516690428194,traditional_fft
0_0_0_10_14_8,-16.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9918481293224632,traditional_fft
0_0_0_10_14_8,-16.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9887563950113508,traditional_fft
0_0_0_10_14_8,-16.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9937331407188364,traditional_fft
0_0_0_10_14_8,-16.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9903346675833203,traditional_fft
0_0_0_10_14_8,-16.0,5,5,5,33,35,0.11428571428571428,0.0,0.0,0.0,0.11428571428571428,0.11428571428571428,0.0,0,1,1,1,0.6857142857142857,0.0,1.0,0.9824976597080122,multi_offset_argmax
0_0_0_10_14_8,-16.0,6,6,6,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.982529145156824,traditional_fft
0_0_0_10_14_8,-16.0,7,7,7,33,35,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0,1,1,1,0.6,0.0,1.0,0.9771147967169986,multi_offset_argmax
0_0_0_10_14_8,-16.0,8,8,8,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6285714285714286,0.0,1.0,0.9793392021790989,traditional_fft
0_0_0_10_14_8,-16.0,9,9,9,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.6,0.0,1.0,0.9848106619210423,traditional_fft
0_0_0_10_14_8,-17.0,0,0,0,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9869137046882701,traditional_fft
0_0_0_10_14_8,-17.0,1,1,1,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.989863062011987,traditional_fft
0_0_0_10_14_8,-17.0,2,2,2,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9860509636123973,traditional_fft
0_0_0_10_14_8,-17.0,3,3,3,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9922418761389348,traditional_fft
0_0_0_10_14_8,-17.0,4,4,4,33,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1.0,0.0,0.0,0.9879242310097371,traditional_fft
0_0_0_10_14_8,-17.0,5,5,5,33,35,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0,1,1,1,0.5714285714285714,0.0,1.0,0.977972466527692,multi_offset_argmax
