dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_gain_vs_current,current_crc_gain_vs_traditional_fft,savaux_crc_gain_vs_traditional_fft,savaux_crc_gain_vs_current,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence
0_0_0_10_14_8,-12.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400000000000001,0.0,0.5,0.9941500692750637
0_0_0_10_14_8,-13.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8257142857142856,0.0,0.5,0.9927718660663487
0_0_0_10_14_8,-14.0,10,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8257142857142856,0.0,0.5,0.9910321339916054
0_0_0_10_14_8,-15.0,10,0.002857142857142857,0.9971428571428571,0.9,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.002857142857142857,0.002857142857142857,0.0,0.09999999999999998,0.09999999999999998,0.0,0.8171428571428571,0.0,0.5,0.98883280846165
0_0_0_10_14_8,-16.0,10,0.014285714285714285,0.9857142857142858,0.8,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.014285714285714285,0.014285714285714285,0.0,0.19999999999999996,0.19999999999999996,0.0,0.8114285714285714,0.0,0.5,0.9860480488746142
0_0_0_10_14_8,-17.0,10,0.037142857142857144,0.9628571428571429,0.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.037142857142857144,0.037142857142857144,0.0,0.4,0.4,0.0,0.8028571428571428,0.0,0.5,0.9825187006002484
0_0_0_10_14_8,-18.0,10,0.10285714285714287,0.8971428571428571,0.3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.10285714285714287,0.10285714285714287,0.0,0.7,0.7,0.0,0.797142857142857,0.0,0.5,0.9780469844529547
0_0_0_10_14_8,-19.0,10,0.20857142857142855,0.7914285714285715,0.2,0.005714285714285714,0.9942857142857143,0.9,0.0,1.0,1.0,0.0,1.0,1.0,0.20857142857142855,0.20857142857142855,0.0,0.8,0.8,0.0,0.7885714285714285,0.0,0.5,0.9723810558155181
0_0_0_10_14_8,-20.0,10,0.33714285714285713,0.6628571428571428,0.0,0.04285714285714286,0.9571428571428572,0.6,0.005714285714285714,0.9942857142857143,1.0,0.0,1.0,1.0,0.3314285714285714,0.33714285714285713,0.005714285714285714,1.0,1.0,0.0,0.7142857142857142,0.0,0.8,0.964969531827337
0_0_0_10_14_8,-21.0,10,0.5085714285714286,0.49142857142857144,0.0,0.10571428571428572,0.8942857142857142,0.5,0.037142857142857144,0.9628571428571429,0.5,0.002857142857142857,0.9971428571428571,0.9,0.4714285714285714,0.5057142857142857,0.03428571428571429,0.5,0.9,0.4,0.6085714285714287,0.0,0.991551724137931,0.9568111845408481
0_0_0_10_14_8,-22.0,10,0.6228571428571428,0.3771428571428572,0.0,0.21142857142857144,0.7885714285714286,0.2,0.08285714285714287,0.9171428571428571,0.4,0.019999999999999997,0.98,0.6,0.5399999999999999,0.6028571428571428,0.06285714285714286,0.4,0.6,0.19999999999999996,0.49428571428571433,0.022619047619047615,0.9672604688439191,0.9431135512547251
0_0_0_10_14_8,-23.0,10,0.7485714285714286,0.25142857142857145,0.0,0.33999999999999997,0.66,0.0,0.15999999999999998,0.8400000000000001,0.3,0.05142857142857142,0.9485714285714286,0.5,0.5885714285714285,0.6971428571428572,0.10857142857142855,0.3,0.5,0.2,0.3514285714285714,0.1304978354978355,0.9112884024577573,0.9255824370614985
0_0_0_10_14_8,-24.0,10,0.8200000000000001,0.17999999999999994,0.0,0.48285714285714293,0.5171428571428571,0.0,0.2942857142857143,0.7057142857142857,0.0,0.13999999999999999,0.86,0.3,0.5257142857142858,0.68,0.15428571428571433,0.0,0.3,0.3,0.21714285714285714,0.185,0.8134159836579192,0.9137662457397429
0_0_0_10_14_8,-25.0,10,0.8885714285714286,0.11142857142857143,0.0,0.6199999999999999,0.3800000000000001,0.0,0.4428571428571429,0.5571428571428572,0.0,0.2828571428571428,0.7171428571428572,0.1,0.4457142857142857,0.6057142857142858,0.1600000000000001,0.0,0.1,0.1,0.11428571428571428,0.2944444444444444,0.7048390038171822,0.9028590765362358
0_0_0_10_14_8,-26.0,10,0.917142857142857,0.08285714285714296,0.0,0.7371428571428571,0.2628571428571429,0.0,0.5771428571428572,0.4228571428571428,0.0,0.3857142857142857,0.6142857142857143,0.0,0.33999999999999986,0.5314285714285714,0.1914285714285715,0.0,0.0,0.0,0.05142857142857142,0.425,0.5695620887651248,0.8957841890261097
0_0_0_10_14_8,-27.0,10,0.9571428571428571,0.04285714285714293,0.0,0.8371428571428572,0.1628571428571428,0.0,0.6685714285714285,0.3314285714285715,0.0,0.5314285714285715,0.4685714285714285,0.0,0.2885714285714286,0.4257142857142856,0.137142857142857,0.0,0.0,0.0,0.02857142857142857,0.4333333333333334,0.5201785714285714,0.8907372824824863
0_0_0_10_14_16,-12.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922077922077922,0.0,0.18181818181818182,0.994204018442455
0_0_0_10_14_16,-13.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922077922077922,0.0,0.18181818181818182,0.9929003728389003
0_0_0_10_14_16,-14.0,11,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922077922077922,0.0,0.18181818181818182,0.9912554269352224
0_0_0_10_14_16,-15.0,11,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0025974025974025974,0.0025974025974025974,0.0,0.09090909090909094,0.09090909090909094,0.0,0.922077922077922,0.0,0.18181818181818182,0.9891809326595585
0_0_0_10_14_16,-16.0,11,0.01038961038961039,0.9896103896103896,0.6363636363636364,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.01038961038961039,0.01038961038961039,0.0,0.36363636363636365,0.36363636363636365,0.0,0.9194805194805195,0.0,0.2727272727272727,0.986566629959984
0_0_0_10_14_16,-17.0,11,0.05714285714285714,0.9428571428571428,0.36363636363636365,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.05714285714285714,0.05714285714285714,0.0,0.6363636363636364,0.6363636363636364,0.0,0.9194805194805195,0.0,0.2727272727272727,0.9832749295621813
0_0_0_10_14_16,-18.0,11,0.09610389610389611,0.9038961038961039,0.2727272727272727,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.09610389610389611,0.09610389610389611,0.0,0.7272727272727273,0.7272727272727273,0.0,0.9168831168831169,0.0,0.45454545454545453,0.979115635332425
0_0_0_10_14_16,-19.0,11,0.19740259740259739,0.8025974025974026,0.09090909090909091,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.19740259740259739,0.19740259740259739,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8805194805194805,0.0,0.8181818181818182,0.973846693770535
0_0_0_10_14_16,-20.0,11,0.3506493506493507,0.6493506493506493,0.0,0.012987012987012986,0.987012987012987,0.7272727272727273,0.0025974025974025974,0.9974025974025974,0.9090909090909091,0.0,1.0,1.0,0.3480519480519481,0.3506493506493507,0.0025974025974025974,0.9090909090909091,1.0,0.09090909090909094,0.7870129870129872,0.0,0.9090909090909091,0.9679066052366092
0_0_0_10_14_16,-21.0,11,0.5376623376623376,0.4623376623376624,0.0,0.07532467532467532,0.9246753246753247,0.36363636363636365,0.02077922077922078,0.9792207792207792,0.5454545454545454,0.0025974025974025974,0.9974025974025974,1.0,0.5168831168831168,0.535064935064935,0.01818181818181818,0.5454545454545454,1.0,0.4545454545454546,0.6233766233766235,0.004132231404958678,0.9956709956709957,0.9587344086527899
0_0_0_10_14_16,-22.0,11,0.6805194805194805,0.3194805194805195,0.0,0.1688311688311688,0.8311688311688312,0.18181818181818182,0.051948051948051945,0.948051948051948,0.36363636363636365,0.025974025974025972,0.974025974025974,0.6363636363636364,0.6285714285714286,0.6545454545454545,0.025974025974025972,0.36363636363636365,0.6363636363636364,0.2727272727272727,0.41558441558441556,0.007575757575757575,0.9635886456538629,0.9486982125913079
0_0_0_10_14_16,-23.0,11,0.8181818181818182,0.18181818181818177,0.0,0.3376623376623376,0.6623376623376624,0.0,0.14025974025974025,0.8597402597402597,0.18181818181818182,0.05974025974025974,0.9402597402597402,0.18181818181818182,0.677922077922078,0.7584415584415585,0.08051948051948052,0.18181818181818182,0.18181818181818182,0.0,0.2571428571428571,0.026515151515151512,0.9276566345531863,0.9384525876175869
0_0_0_10_14_16,-24.0,11,0.890909090909091,0.10909090909090902,0.0,0.509090909090909,0.49090909090909096,0.0,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.11688311688311687,0.8831168831168832,0.18181818181818182,0.6181818181818183,0.7740259740259741,0.15584415584415584,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.14285714285714285,0.0787878787878788,0.8314100313990345,0.9224238926635163
0_0_0_10_14_16,-25.0,11,0.9142857142857145,0.08571428571428552,0.0,0.6493506493506493,0.35064935064935066,0.0,0.4597402597402597,0.5402597402597402,0.0,0.24935064935064932,0.7506493506493507,0.0,0.45454545454545475,0.6649350649350652,0.2103896103896104,0.0,0.0,0.0,0.08571428571428572,0.11363636363636363,0.7123569450384598,0.9141054352113261
0_0_0_10_14_16,-26.0,11,0.9454545454545454,0.054545454545454564,0.0,0.7610389610389611,0.23896103896103893,0.0,0.5922077922077922,0.4077922077922078,0.0,0.4,0.6,0.0,0.35324675324675325,0.5454545454545454,0.19220779220779216,0.0,0.0,0.0,0.05454545454545454,0.1515151515151515,0.5892177118781396,0.9039962641758813
0_0_0_10_14_16,-27.0,11,0.9714285714285714,0.02857142857142858,0.0,0.8701298701298701,0.1298701298701299,0.0,0.7116883116883117,0.2883116883116883,0.0,0.5532467532467533,0.4467532467532467,0.0,0.2597402597402597,0.4181818181818181,0.15844155844155838,0.0,0.0,0.0,0.02077922077922078,0.3333333333333333,0.4616849839109198,0.8959333868161995
0_0_0_10_14_32,-12.0,7,0.061224489795918366,0.9387755102040817,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.008163265306122448,0.9918367346938776,0.8571428571428571,0.0,1.0,1.0,0.053061224489795916,0.061224489795918366,0.008163265306122448,0.0,0.1428571428571429,0.1428571428571429,0.8040816326530612,0.0,0.5604395604395604,0.9894071276171904
0_0_0_10_14_32,-13.0,7,0.09795918367346938,0.9020408163265307,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.0,0.7959183673469388,0.0,0.5523809523809524,0.9867565025254924
0_0_0_10_14_32,-14.0,7,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.04081632653061224,0.9591836734693877,0.8571428571428571,0.02040816326530612,0.9795918367346939,0.8571428571428571,0.012244897959183673,0.9877551020408163,0.8571428571428571,0.08571428571428573,0.09387755102040818,0.008163265306122448,0.0,0.0,0.0,0.746938775510204,0.0,0.5555555555555556,0.9843332372807974
0_0_0_10_14_32,-15.0,7,0.12244897959183675,0.8775510204081632,0.7142857142857143,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.044897959183673466,0.9551020408163265,0.8571428571428571,0.028571428571428574,0.9714285714285714,0.8571428571428571,0.07755102040816328,0.09387755102040818,0.016326530612244892,0.1428571428571428,0.1428571428571428,0.0,0.7346938775510203,0.0,0.5380952380952381,0.9803496785858539
0_0_0_10_14_32,-16.0,7,0.12244897959183675,0.8775510204081632,0.7142857142857143,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.044897959183673466,0.9551020408163265,0.8571428571428571,0.05306122448979593,0.07755102040816328,0.02448979591836735,0.1428571428571428,0.1428571428571428,0.0,0.6979591836734693,0.0,0.6635944700460829,0.9774235007535738
0_0_0_10_14_32,-17.0,7,0.14285714285714285,0.8571428571428572,0.2857142857142857,0.11836734693877551,0.8816326530612245,0.8571428571428571,0.08163265306122448,0.9183673469387755,0.8571428571428571,0.05714285714285715,0.9428571428571428,0.8571428571428571,0.061224489795918366,0.0857142857142857,0.024489795918367335,0.5714285714285714,0.5714285714285714,0.0,0.6897959183673469,0.0,0.6580086580086579,0.9742687057647045
0_0_0_10_14_32,-18.0,7,0.19591836734693877,0.8040816326530612,0.0,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.06938775510204082,0.9306122448979592,0.8571428571428571,0.09387755102040815,0.12653061224489795,0.0326530612244898,0.8571428571428571,0.8571428571428571,0.0,0.6693877551020408,0.0,0.7647058823529412,0.9677045998977201
0_0_0_10_14_32,-19.0,7,0.2653061224489796,0.7346938775510203,0.0,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.10612244897959185,0.8938775510204081,0.8571428571428571,0.10204081632653061,0.8979591836734694,0.8571428571428571,0.15918367346938778,0.163265306122449,0.004081632653061232,0.8571428571428571,0.8571428571428571,0.0,0.6612244897959184,0.0,0.7521008403361344,0.9618948416504468
