dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,savaux_gain_vs_current,current_crc_gain_vs_traditional_fft,savaux_crc_gain_vs_traditional_fft,savaux_crc_gain_vs_current,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_selected_offset_coherence
0_0_0_10_14_32,-20.0,7,0.39183673469387753,0.6081632653061224,0.0,0.14285714285714285,0.8571428571428572,0.5714285714285714,0.12244897959183673,0.8775510204081632,0.8571428571428571,0.1142857142857143,0.8857142857142857,0.8571428571428571,0.2693877551020408,0.27755102040816326,0.008163265306122436,0.8571428571428571,0.8571428571428571,0.0,0.6040816326530613,0.0,0.8865546218487396,0.9561235772817606
0_0_0_10_14_32,-21.0,7,0.5387755102040817,0.46122448979591835,0.0,0.1714285714285714,0.8285714285714286,0.2857142857142857,0.13061224489795917,0.8693877551020408,0.8571428571428571,0.11836734693877551,0.8816326530612245,0.8571428571428571,0.40816326530612246,0.42040816326530617,0.012244897959183654,0.8571428571428571,0.8571428571428571,0.0,0.5346938775510204,0.0,0.889795918367347,0.9496726108492765
0_0_0_10_14_32,-22.0,7,0.6367346938775509,0.3632653061224491,0.0,0.22040816326530607,0.7795918367346939,0.0,0.17551020408163262,0.8244897959183674,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.7142857142857143,0.46122448979591824,0.49387755102040803,0.03265306122448977,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.33469387755102037,0.0,0.8484044526901668,0.9390017209044659
0_0_0_10_14_32,-23.0,7,0.7714285714285714,0.22857142857142865,0.0,0.3755102040816326,0.6244897959183674,0.0,0.24081632653061222,0.7591836734693878,0.0,0.17959183673469387,0.8204081632653062,0.42857142857142855,0.5306122448979591,0.5918367346938775,0.06122448979591835,0.0,0.42857142857142855,0.42857142857142855,0.2612244897959184,0.0,0.8264621047229743,0.9306357110094805
0_0_0_10_14_32,-24.0,7,0.8693877551020408,0.1306122448979592,0.0,0.5306122448979591,0.4693877551020409,0.0,0.3836734693877551,0.616326530612245,0.0,0.21632653061224486,0.7836734693877552,0.2857142857142857,0.4857142857142857,0.653061224489796,0.16734693877551024,0.0,0.2857142857142857,0.2857142857142857,0.1510204081632653,0.0,0.7623542485611451,0.9194659881238992
0_0_0_10_14_32,-25.0,7,0.9061224489795917,0.09387755102040829,0.0,0.6734693877551019,0.3265306122448981,0.0,0.5061224489795918,0.4938775510204082,0.0,0.2979591836734694,0.7020408163265306,0.0,0.3999999999999999,0.6081632653061223,0.2081632653061224,0.0,0.0,0.0,0.061224489795918366,0.0,0.6424956272831713,0.9082684088346967
0_0_0_10_14_32,-26.0,7,0.9428571428571428,0.05714285714285716,0.0,0.7510204081632653,0.24897959183673468,0.0,0.6408163265306122,0.35918367346938784,0.0,0.4448979591836735,0.5551020408163265,0.0,0.3020408163265307,0.49795918367346936,0.19591836734693868,0.0,0.0,0.0,0.03265306122448979,0.0,0.5139537633235112,0.9041033425054349
0_0_0_10_14_32,-27.0,7,0.9632653061224491,0.036734693877550906,0.0,0.8408163265306123,0.15918367346938767,0.0,0.7387755102040817,0.2612244897959183,0.0,0.5795918367346938,0.42040816326530617,0.0,0.22448979591836737,0.38367346938775526,0.1591836734693879,0.0,0.0,0.0,0.016326530612244896,0.0,0.4207573938666376,0.898829596819461
mean_of_datasets,-12.0,28,0.02040816326530612,0.979591836734694,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.0027210884353741495,0.9972789115646258,0.9523809523809524,0.0,1.0,1.0,0.01768707482993197,0.02040816326530612,0.0027210884353741495,0.0,0.04761904761904764,0.04761904761904764,0.8553865182436611,0.0,0.4140859140859141,0.9925870717782365
mean_of_datasets,-13.0,28,0.03265306122448979,0.9673469387755103,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.8479035250463821,0.0,0.41139971139971143,0.9908095804769138
mean_of_datasets,-14.0,28,0.03537414965986395,0.964625850340136,0.9523809523809524,0.013605442176870748,0.9863945578231292,0.9523809523809524,0.006802721088435374,0.9931972789115647,0.9523809523809524,0.004081632653061224,0.9959183673469387,0.9523809523809524,0.028571428571428577,0.031292517006802724,0.0027210884353741495,0.0,0.0,0.0,0.8315769944341372,0.0,0.41245791245791247,0.9888735994025417
mean_of_datasets,-15.0,28,0.042634508348794065,0.9573654916512059,0.8411255411255412,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.014965986394557823,0.9850340136054422,0.9523809523809524,0.009523809523809525,0.9904761904761905,0.9523809523809524,0.027668521954236247,0.03311069882498455,0.005442176870748297,0.11125541125541123,0.11125541125541123,0.0,0.8246382189239331,0.0,0.4066378066378067,0.9861211399023541
mean_of_datasets,-16.0,28,0.049041434755720474,0.9509585652442795,0.716883116883117,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.014965986394557823,0.9850340136054422,0.9523809523809524,0.0259121830550402,0.03407544836116266,0.00816326530612245,0.23549783549783546,0.23549783549783546,0.0,0.8096227581941867,0.0,0.4787739142577852,0.983346059862724
mean_of_datasets,-17.0,28,0.07904761904761905,0.920952380952381,0.41645021645021646,0.039455782312925174,0.9605442176870748,0.9523809523809524,0.027210884353741496,0.9727891156462585,0.9523809523809524,0.01904761904761905,0.980952380952381,0.9523809523809524,0.05183673469387754,0.06,0.008163265306122445,0.5359307359307359,0.5359307359307359,0.0,0.8040445269016697,0.0,0.4769119769119769,0.9800207786423781
mean_of_datasets,-18.0,28,0.1316264687693259,0.8683735312306741,0.19090909090909092,0.04081632653061224,0.9591836734693877,0.9523809523809524,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.02312925170068027,0.9768707482993197,0.9523809523809524,0.09761286332714904,0.10849721706864564,0.0108843537414966,0.7614718614718615,0.7614718614718615,0.0,0.7944712430426716,0.0,0.5730837789661319,0.9749557398943667
mean_of_datasets,-19.0,28,0.22376004947433517,0.7762399505256647,0.09696969696969697,0.04272108843537415,0.9572789115646257,0.919047619047619,0.03537414965986395,0.964625850340136,0.9523809523809524,0.034013605442176874,0.9659863945578232,0.9523809523809524,0.18838589981447126,0.18974644403215832,0.0013605442176870773,0.8554112554112554,0.8554112554112554,0.0,0.7767717996289424,0.0,0.6900942195059843,0.9693741970788333
mean_of_datasets,-20.0,28,0.3598763141620285,0.6401236858379715,0.0,0.06623376623376623,0.9337662337662338,0.6329004329004329,0.04358688930117501,0.9564131106988251,0.9220779220779222,0.0380952380952381,0.9619047619047619,0.9523809523809524,0.3162894248608535,0.32178107606679035,0.005491651205936916,0.9220779220779222,0.9523809523809524,0.030303030303030314,0.7017934446505875,0.0,0.8652151769798828,0.9629999047819022
mean_of_datasets,-21.0,28,0.5283364254792826,0.4716635745207174,0.0,0.11748917748917749,0.8825108225108225,0.38311688311688313,0.0628447742733457,0.9371552257266543,0.6341991341991342,0.04127396413110699,0.958726035868893,0.919047619047619,0.4654916512059369,0.4870624613481757,0.021570810142238706,0.6341991341991342,0.919047619047619,0.28484848484848485,0.5888806431663575,0.0013774104683195593,0.9590062127254245,0.9550727346809715
mean_of_datasets,-22.0,28,0.6467037724180581,0.35329622758194196,0.0,0.20022263450834876,0.7997773654916512,0.1272727272727273,0.10343846629560915,0.896561533704391,0.34978354978354975,0.06294372294372294,0.937056277056277,0.6502164502164502,0.5432653061224489,0.5837600494743351,0.0404947433518862,0.34978354978354975,0.6502164502164502,0.30043290043290044,0.41485466914038344,0.010064935064935063,0.9264178557293162,0.943604494916833
mean_of_datasets,-23.0,28,0.7793939393939393,0.2206060606060606,0.0,0.3510575139146567,0.6489424860853433,0.0,0.1803586889301175,0.8196413110698826,0.1606060606060606,0.09692022263450835,0.9030797773654916,0.37012987012987014,0.5990352504638219,0.6824737167594311,0.08343846629560914,0.1606060606060606,0.37012987012987014,0.20952380952380953,0.28993197278911564,0.05233766233766234,0.8884690472446394,0.9315569118961887
mean_of_datasets,-24.0,28,0.8600989486703773,0.13990105132962272,0.0,0.5075200989486703,0.49247990105132966,0.0,0.316895485466914,0.683104514533086,0.030303030303030304,0.15773654916512056,0.8422634508348795,0.2558441558441558,0.5432034632034632,0.7023623995052567,0.15915893630179345,0.030303030303030304,0.2558441558441558,0.22554112554112551,0.17034013605442178,0.08792929292929293,0.802393421206033,0.9185520421757195
mean_of_datasets,-25.0,28,0.9029931972789115,0.09700680272108841,0.0,0.6476066790352504,0.3523933209647496,0.0,0.4695732838589981,0.5304267161410019,0.0,0.27672232529375385,0.7232776747062463,0.03333333333333333,0.4334199134199134,0.6262708719851577,0.19285095856524428,0.0,0.03333333333333333,0.03333333333333333,0.0870748299319728,0.13602693602693602,0.6865638587129378,0.9084109735274195
mean_of_datasets,-26.0,28,0.9351515151515152,0.06484848484848489,0.0,0.7497340754483611,0.2502659245516388,0.0,0.6033889919604205,0.3966110080395795,0.0,0.41020408163265304,0.589795918367347,0.0,0.3317625231910946,0.5249474335188621,0.19318491032776744,0.0,0.0,0.0,0.04620902906617192,0.19217171717171713,0.557577854655592,0.901294598569142
mean_of_datasets,-27.0,28,0.9639455782312925,0.03605442176870747,0.0,0.8493630179344466,0.15063698206555345,0.0,0.7063450834879407,0.2936549165120594,0.0,0.5547557204700061,0.4452442795299938,0.0,0.2576004947433519,0.4091898577612863,0.15158936301793444,0.0,0.0,0.0,0.02189239332096475,0.2555555555555556,0.4675403164020429,0.8951667553727156
