dataset,target_snr_db,top_l,symbol_count,multi_top1_correct_count,multi_top1_error_count,already_correct_count,repairable_count,unrecoverable_count,selected_error_count,selected_repair_count,selected_damage_count,selected_changed_top1_count,multi_top1_accuracy,multi_top1_SER,gt_recall@L,gt_recall_at_L,repairable_error_rate,unrecoverable_error_rate,repairable_fraction_of_multi_errors,unrecoverable_fraction_of_multi_errors,oracle_topL_SER,selected_SER,selected_accuracy,phase_repair_rate,phase_damage_rate,selected_SER_on_repairable,selected_SER_on_already_correct,selected_vs_multi_gain,selected_vs_multi_gain_on_repairable,net_selected_gain_count,net_selected_gain_rate,selected_changed_top1_rate,mean_gt_energy_rank,mean_gt_energy_drop_db,mean_selected_energy_rank,mean_top1_margin_db,mean_top1_peak_to_median_db
0_0_0_10_14_8,-20.0,8,350,334,16,334,12,4,4,12,0,14,0.9542857142857143,0.045714285714285714,0.9885714285714285,0.9885714285714285,0.03428571428571429,0.011428571428571429,0.75,0.25,0.011428571428571429,0.011428571428571429,0.9885714285714285,1.0,0.0,0.0,0.0,0.03428571428571429,1.0,12,0.03428571428571429,0.04,1.197142857142857,-0.03405473910034121,1.0942857142857143,2.7009469089117233,8.593579783750148
0_0_0_10_14_8,-20.0,16,350,334,16,334,16,0,2,14,0,15,0.9542857142857143,0.045714285714285714,1.0,1.0,0.045714285714285714,0.0,1.0,0.0,0.0,0.005714285714285714,0.9942857142857143,0.875,0.0,0.125,0.0,0.04,0.875,14,0.04,0.04285714285714286,1.197142857142857,-0.03405473910034121,1.1571428571428573,2.7009469089117233,8.593579783750148
0_0_0_10_14_8,-20.0,24,350,334,16,334,16,0,2,14,0,15,0.9542857142857143,0.045714285714285714,1.0,1.0,0.045714285714285714,0.0,1.0,0.0,0.0,0.005714285714285714,0.9942857142857143,0.875,0.0,0.125,0.0,0.04,0.875,14,0.04,0.04285714285714286,1.197142857142857,-0.03405473910034121,1.1571428571428573,2.7009469089117233,8.593579783750148
0_0_0_10_14_8,-20.0,32,350,334,16,334,16,0,2,14,0,15,0.9542857142857143,0.045714285714285714,1.0,1.0,0.045714285714285714,0.0,1.0,0.0,0.0,0.005714285714285714,0.9942857142857143,0.875,0.0,0.125,0.0,0.04,0.875,14,0.04,0.04285714285714286,1.197142857142857,-0.03405473910034121,1.1571428571428573,2.7009469089117233,8.593579783750148
0_0_0_10_14_8,-21.0,8,350,304,46,304,35,11,12,34,0,43,0.8685714285714285,0.13142857142857142,0.9685714285714285,0.9685714285714285,0.1,0.03142857142857143,0.7608695652173914,0.2391304347826087,0.03142857142857143,0.03428571428571429,0.9657142857142857,0.9714285714285714,0.0,0.02857142857142857,0.0,0.09714285714285714,0.9714285714285714,34,0.09714285714285714,0.12285714285714286,2.2485714285714287,-0.10927601629059698,1.2714285714285714,2.109922332405564,7.857124892380348
0_0_0_10_14_8,-21.0,16,350,304,46,304,37,9,11,35,0,43,0.8685714285714285,0.13142857142857142,0.9742857142857143,0.9742857142857143,0.10571428571428572,0.025714285714285714,0.8043478260869565,0.1956521739130435,0.025714285714285714,0.03142857142857143,0.9685714285714285,0.9459459459459459,0.0,0.05405405405405406,0.0,0.09999999999999999,0.9459459459459459,35,0.1,0.12285714285714286,2.2485714285714287,-0.10927601629059698,1.32,2.109922332405564,7.857124892380348
0_0_0_10_14_8,-21.0,24,350,304,46,304,41,5,11,35,0,44,0.8685714285714285,0.13142857142857142,0.9857142857142858,0.9857142857142858,0.11714285714285715,0.014285714285714285,0.8913043478260869,0.10869565217391304,0.014285714285714285,0.03142857142857143,0.9685714285714285,0.8536585365853658,0.0,0.14634146341463414,0.0,0.09999999999999999,0.8536585365853658,35,0.1,0.12571428571428572,2.2485714285714287,-0.10927601629059698,1.4742857142857142,2.109922332405564,7.857124892380348
0_0_0_10_14_8,-21.0,32,350,304,46,304,42,4,11,35,0,45,0.8685714285714285,0.13142857142857142,0.9885714285714285,0.9885714285714285,0.12,0.011428571428571429,0.9130434782608695,0.08695652173913043,0.011428571428571429,0.03142857142857143,0.9685714285714285,0.8333333333333334,0.0,0.16666666666666666,0.0,0.09999999999999999,0.8333333333333334,35,0.1,0.12857142857142856,2.2485714285714287,-0.10927601629059698,1.562857142857143,2.109922332405564,7.857124892380348
0_0_0_10_14_8,-22.0,8,350,284,66,284,35,31,36,31,1,59,0.8114285714285714,0.18857142857142858,0.9114285714285715,0.9114285714285715,0.1,0.08857142857142856,0.5303030303030303,0.4696969696969697,0.08857142857142856,0.10285714285714286,0.8971428571428571,0.8857142857142857,0.0035211267605633804,0.11428571428571428,0.0035211267605633804,0.08571428571428573,0.8857142857142857,30,0.08571428571428572,0.16857142857142857,5.668571428571428,-0.2562512669065958,1.497142857142857,1.5614405393421502,7.216917925985638
0_0_0_10_14_8,-22.0,16,350,284,66,284,45,21,33,34,1,60,0.8114285714285714,0.18857142857142858,0.94,0.94,0.12857142857142856,0.06,0.6818181818181818,0.3181818181818182,0.06,0.09428571428571429,0.9057142857142857,0.7555555555555555,0.0035211267605633804,0.24444444444444444,0.0035211267605633804,0.09428571428571429,0.7555555555555555,33,0.09428571428571429,0.17142857142857143,5.668571428571428,-0.2562512669065958,1.7742857142857142,1.5614405393421502,7.216917925985638
