packet_index,frame_index,event_index,payload_len,symbol_count,top_l_candidate_hits,top_l_candidate_total,top_l_candidate_recall,phase_line_error,phase_dp_first_beam_final_size,phase_dp_second_beam_final_size,phase_dp_second_anchor_beam_final_size,gt_first_abs_pi,gt_second_abs_pi,random_second_abs_pi_mean,random_second_abs_pi_p10,random_second_abs_pi_p50,center_raw_ser,center_symbol_ser,center_symbol_accuracy,center_gt_compared_symbols,center_first_abs_pi,center_second_abs_pi,center_crc_valid,center_payload_hex,center_decode_error,multi_raw_ser,multi_symbol_ser,multi_symbol_accuracy,multi_gt_compared_symbols,multi_first_abs_pi,multi_second_abs_pi,multi_crc_valid,multi_payload_hex,multi_decode_error,v3_raw_ser,v3_symbol_ser,v3_symbol_accuracy,v3_gt_compared_symbols,v3_first_abs_pi,v3_second_abs_pi,v3_crc_valid,v3_payload_hex,v3_decode_error,phase_line_raw_ser,phase_line_symbol_ser,phase_line_symbol_accuracy,phase_line_gt_compared_symbols,phase_line_first_abs_pi,phase_line_second_abs_pi,phase_line_crc_valid,phase_line_payload_hex,phase_line_decode_error,phase_dp_first_raw_ser,phase_dp_first_symbol_ser,phase_dp_first_symbol_accuracy,phase_dp_first_gt_compared_symbols,phase_dp_first_first_abs_pi,phase_dp_first_second_abs_pi,phase_dp_first_crc_valid,phase_dp_first_payload_hex,phase_dp_first_decode_error,phase_dp_second_raw_ser,phase_dp_second_symbol_ser,phase_dp_second_symbol_accuracy,phase_dp_second_gt_compared_symbols,phase_dp_second_first_abs_pi,phase_dp_second_second_abs_pi,phase_dp_second_crc_valid,phase_dp_second_payload_hex,phase_dp_second_decode_error,phase_dp_second_anchor_raw_ser,phase_dp_second_anchor_symbol_ser,phase_dp_second_anchor_symbol_accuracy,phase_dp_second_anchor_gt_compared_symbols,phase_dp_second_anchor_first_abs_pi,phase_dp_second_anchor_second_abs_pi,phase_dp_second_anchor_crc_valid,phase_dp_second_anchor_payload_hex,phase_dp_second_anchor_decode_error,center_ser_gain_vs_v3,multi_ser_gain_vs_v3,v3_ser_gain_vs_v3,phase_line_ser_gain_vs_v3,phase_dp_first_ser_gain_vs_v3,phase_dp_second_ser_gain_vs_v3,phase_dp_second_anchor_ser_gain_vs_v3,dataset,target_snr_db
1,0,1,33,35,33,35,0.9428571428571428,,576,576,576,0.13310681705167593,0.19407104382556553,0.49428475937972144,0.43182567829081203,0.48788956137909656,0.6857142857142857,0.6857142857142857,0.3142857142857143,35,0.42748206853629517,0.5435049127912629,0,4004734473202201580120e3e5aee089f043719cf0b464f37f901c438bf5423112,,0.2,0.2,0.8,35,0.3098588826699246,0.3926698535987426,0,4064112033002200581031323374317637b0393a3bb43db637404142c378563412,,0.05714285714285714,0.05714285714285714,0.9428571428571428,35,0.18325110856086269,0.26170566011317836,0,406433003100020058303132333435363738393a3bbc3db6374041424378563412,,0.37142857142857144,0.37142857142857144,0.6285714285714286,35,0.08830824068681331,0.11113006589856814,0,4064112033000200583031222224242677b8393a7bb43dbe3740494643385214a1,,0.08571428571428572,0.08571428571428572,0.9142857142857143,35,0.15689979434819037,0.22207843762122184,0,406411203300020058303132333435363738393a3bbc3dbe3f4049424378563412,,0.3142857142857143,0.3142857142857143,0.6857142857142857,35,0.12025638579899703,0.09937394372421043,0,40641120330042041870313633343536b738b93233342c3e3ec85140436b67349a,,0.2857142857142857,0.2857142857142857,0.7142857142857143,35,0.11152201801146344,0.1013616759552117,0,4064112033004204187031363334353677b8393a7b343d3e3fc85140436b67349a,,-0.6285714285714286,-0.14285714285714288,0.0,-0.3142857142857143,-0.028571428571428574,-0.2571428571428571,-0.22857142857142856,0_0_0_10_14_16,-22.0
2,1,2,33,35,34,35,0.9714285714285714,,576,576,576,0.14271308635526056,0.1889766196841982,0.5062154839547266,0.4447665149311983,0.5135667466945488,0.7714285714285715,0.7714285714285715,0.22857142857142854,35,0.5464539141202204,0.5258819292384614,0,40547672154593166082ef7062647023737d796e2abd04f246aac5aaca629cdf63,,0.2571428571428571,0.2571428571428571,0.7428571428571429,35,0.21430064421991776,0.2606553720691155,0,406431001102010058212132333431363338393a3b3c2c3e3e5160605158763613,,0.08571428571428572,0.08571428571428572,0.9142857142857143,35,0.1685249415643657,0.17813756711705966,0,404433221100030058303132333435363738393a3b3c3d3e3f4061604158763613,,0.17142857142857143,0.17142857142857143,0.8285714285714285,35,0.10992078733792837,0.09411712219584038,0,406411223320010058212132333435363738393a3b3c3d3e3f404142426947b59b,,0.11428571428571428,0.11428571428571428,0.8857142857142857,35,0.12853467108998706,0.16951504999251737,0,404433221100030058303132333435363738393a3b3c2c3e3e5160604158763613,,0.2,0.2,0.8,35,0.10992078733792837,0.09495394541213273,0,406411223320010058212132333435363738393a3b3c3d3e3f40e16049d876be9b,,0.2,0.2,0.8,35,0.10992078733792837,0.09495394541213273,0,406411223320010058212132333435363738393a3b3c3d3e3f40e16049d876be9b,,-0.6857142857142857,-0.1714285714285714,0.0,-0.08571428571428572,-0.028571428571428567,-0.1142857142857143,-0.1142857142857143,0_0_0_10_14_16,-22.0
3,2,3,33,35,33,35,0.9428571428571428,,576,576,576,0.19045692874126974,0.28996817894726534,0.50789729042562,0.4405258265919741,0.5123512457043606,0.6571428571428571,0.6571428571428571,0.34285714285714286,35,0.540401586024033,0.4052586958835159,0,40e4f6505894084458616cffd17abfd63338393b3a5d5d0a2f342471011f731455,,0.22857142857142856,0.22857142857142856,0.7714285714285715,35,0.3672591695717674,0.41286945024915334,0,4024125047330200583031b29334bdbe3f38393a3b3c797e7f4441424378562402,,0.11428571428571428,0.11428571428571428,0.8857142857142857,35,0.2083960498649995,0.30434385668625497,0,406413001326060058303132133435343538393a3b3c3d3e3f4041424378563412,,0.45714285714285713,0.45714285714285713,0.5428571428571429,35,0.11430701540620448,0.13479595490224894,0,4054001198918f08d830315a54747160171b09192b3e7c7b3b15c14243f8deac8b,,0.17142857142857143,0.17142857142857143,0.8285714285714285,35,0.1924653665135257,0.2931239999730455,0,4004325067310000583031929134bdbc3f38393a3b3c3d3e3f4041424378563412,,0.3142857142857143,0.3142857142857143,0.6857142857142857,35,0.1271556296695279,0.1101717036487763,0,400417601504020058303152557471703738393a3b7c3d0a6d164646073852b49a,,0.4,0.4,0.6,35,0.12582644412868177,0.09765150174208058,0,400417601504020058303152557471703738393a3b7c3d0a6d1646e2eb7af62621,,-0.5428571428571428,-0.11428571428571428,0.0,-0.34285714285714286,-0.05714285714285715,-0.2,-0.28571428571428575,0_0_0_10_14_16,-22.0
5,3,5,33,35,32,35,0.9142857142857143,,576,576,576,0.15751690907419535,0.2167705729695047,0.5005556466152823,0.4413011306342585,0.49630805146875956,0.5714285714285714,0.5714285714285714,0.4285714285714286,35,0.3851133598227691,0.4570273805144744,0,40d4ae2e090d2f205830112022253436d737292e71203526af40016853f3b73496,,0.2,0.2,0.8,35,0.2507604427196992,0.31405409648276805,0,40543333000107005830313233343536773c393e7b283c2eaf584046077c56b412,,0.14285714285714285,0.14285714285714285,0.8571428571428572,35,0.2610066963169388,0.31314237797858524,0,4044323310110600583031323334353677387d7a7f3c3d3637404146077c563412,,0.5714285714285714,0.5714285714285714,0.4285714285714286,35,0.15986011726746227,0.19297479610156396,0,40d407ae80c91f136830133333703572773c797a7bacb426afd0484c61dc98fa83,,0.2,0.2,0.8,35,0.15800180418860102,0.20927319430334038,0,40543333000107005830313233343536773c797a7b2c3426af504046077c56b412,,0.2571428571428571,0.2571428571428571,0.7428571428571429,35,0.11806265351364503,0.11263040757337825,0,40543333000107027830133213141514773c797a7b2c342ea7d050034639163512,,0.2571428571428571,0.2571428571428571,0.7428571428571429,35,0.12272369067183586,0.11794104523340666,0,40543333000107027830132222253436773c797a7b2c342ea7d050034639163512,,-0.42857142857142855,-0.05714285714285716,0.0,-0.42857142857142855,-0.05714285714285716,-0.11428571428571427,-0.11428571428571427,0_0_0_10_14_16,-22.0
6,4,6,33,35,34,35,0.9714285714285714,,576,576,576,0.1902521367631501,0.2151330503634091,0.4994829943217914,0.4254676484251884,0.4947388196887782,0.6571428571428571,0.6571428571428571,0.34285714285714286,35,0.5434189294393664,0.5833231735037848,0,40c4318a39a89fa26b3030aaa3a5ad3faf29b0bba335ccf766770e1bca7c460470,,0.22857142857142856,0.22857142857142856,0.7714285714285715,35,0.25377185899755045,0.3263617957459073,0,40443322110027225a301332373031763339393a3b3cb5b63f4041424378563434,,0.05714285714285714,0.05714285714285714,0.9428571428571428,35,0.1933875379289065,0.2106824662908412,0,40443322110027225a301332333435363738393a3b3c3d3e3f4041424378563412,,0.3142857142857143,0.3142857142857143,0.6857142857142857,35,0.1483288270528863,0.12276285014985236,0,404413230231060078301320373131663338393a3bbcb5be37c80902473c527412,,0.17142857142857143,0.17142857142857143,0.8285714285714285,35,0.158317871927123,0.1670781143298495,0,40443300112027225a301332373031763338393a3b3c3d3e3f4041424378561414,,0.2571428571428571,0.2571428571428571,0.7428571428571429,35,0.13408161092189938,0.10673347133785865,0,40441322132067625a345736373031763338393a3b3c3d3eb7c041420338164436,,0.2571428571428571,0.2571428571428571,0.7428571428571429,35,0.13408161092189938,0.10673347133785865,0,40441322132067625a345736373031763338393a3b3c3d3eb7c041420338164436,,-0.6,-0.17142857142857143,0.0,-0.2571428571428571,-0.1142857142857143,-0.19999999999999998,-0.19999999999999998,0_0_0_10_14_16,-22.0
8,5,8,33,35,34,35,0.9714285714285714,,576,576,576,0.1238446028377137,0.17505197058364508,0.4957726511787301,0.43362978291035786,0.4854519160186388,0.6571428571428571,0.6571428571428571,0.34285714285714286,35,0.45544455481173685,0.4523581731632369,0,404433221100894810607126777131267671a523ee04e13e84de02725d92d6705a,,0.17142857142857143,0.17142857142857143,0.8285714285714285,35,0.21682709575950906,0.2913347088751876,0,404433221100090058303132337035723338393a3b1c0e2d2f514200457e703612,,0.02857142857142857,0.02857142857142857,0.9714285714285714,35,0.1665293611396526,0.21862130176532946,0,404433221100090058303132773035723738393a3b3c3d3e3f4041424378563412,,0.2,0.2,0.8,35,0.1721137104125272,0.24046665268135348,0,404433221100090058303132773471363338393a3b1c1f3c3f404300457e701630,,0.08571428571428572,0.08571428571428572,0.9142857142857143,35,0.1386952978867714,0.22074203119459582,0,404433221100090058303132337035723338393a3b1c0e2d2f5142424378563412,,0.22857142857142856,0.22857142857142856,0.7714285714285715,35,0.12403662936526147,0.1007764395614361,0,4044333311010800583031b23bb039be3b38393a3b0c0f3c2e50424a4bf8562c13,,0.22857142857142856,0.22857142857142856,0.7714285714285715,35,0.12403662936526147,0.1007764395614361,0,4044333311010800583031b23bb039be3b38393a3b0c0f3c2e50424a4bf8562c13,,-0.6285714285714286,-0.14285714285714285,0.0,-0.17142857142857143,-0.05714285714285715,-0.19999999999999998,-0.19999999999999998,0_0_0_10_14_16,-22.0
9,6,9,33,35,34,35,0.9714285714285714,,576,576,576,0.15888618562007076,0.2622680524704006,0.5002769636307505,0.43141195844264796,0.49654286342797826,0.7142857142857143,0.7142857142857143,0.2857142857142857,35,0.4672869649142428,0.48124924580969813,0,40047a2b40c923025800037072fffcb738a82d7efa3db1f26ec5e05bd9535dff1c,,0.34285714285714286,0.34285714285714286,0.6571428571428571,35,0.4131745986274772,0.5095119158609762,0,40443b2299000200583031322334353637b9312a333c283f3a45c148cb705e741a,,0.11428571428571428,0.11428571428571428,0.8857142857142857,35,0.1982367912638328,0.27606461349459865,0,40443b229900020058303132333435363738393a3b3c3d3e3f40c14acb705e7c12,,0.3142857142857143,0.3142857142857143,0.6857142857142857,35,0.12910495338216574,0.1299355881580994,0,4044b3aa99880a0058202112003724163438393a3b2c386f3e1041624158763656,,0.22857142857142856,0.22857142857142856,0.7714285714285715,35,0.18689561246276973,0.29047166305309824,0,40443b22990002005830313233343536b730b93a3b34283f3a45c16ac9507e7e56,,0.2857142857142857,0.2857142857142857,0.7142857142857143,35,0.11754530462951197,0.08556067265245795,0,4044b3aa99880a005820a112111437163738393a3b2c2d2f3f51c16261f0f43e56,,0.2857142857142857,0.2857142857142857,0.7142857142857143,35,0.11754530462951197,0.08556067265245795,0,4044b3aa99880a005820a112111437163738393a3b2c2d2f3f51c16261f0f43e56,,-0.6,-0.2285714285714286,0.0,-0.2,-0.11428571428571428,-0.17142857142857143,-0.17142857142857143,0_0_0_10_14_16,-22.0
10,7,10,33,35,35,35,1.0,,576,576,576,0.15301714775694147,0.18902117093446544,0.4885040708299415,0.4329129658936573,0.4867082345413848,0.6571428571428571,0.6571428571428571,0.34285714285714286,35,0.4419709167128812,0.532750690320902,0,405433a218101be83668d1b1e66c68721a5e21523bbf353ebfc8a9a4a9b0fa1022,,0.2,0.2,0.8,35,0.2829328588603006,0.335010081838684,0,4044332211008b89d8b8207b77707132131a391a3b3e3d3e3f4041424378563410,,0.02857142857142857,0.02857142857142857,0.9714285714285714,35,0.18622461227117393,0.24528985888848062,1,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,,0.17142857142857143,0.17142857142857143,0.8285714285714285,35,0.13662086341166027,0.1768438186138977,0,4044332211008b88d8b831fafbb0b9f63738393a3b3c3d3e3f400106473c123012,,0.08571428571428572,0.08571428571428572,0.9142857142857143,35,0.1591961475843204,0.20853155003185142,0,4044332211008b89c8b9303a333435363738393a3b3c3d3e3f4041424378563412,,0.14285714285714285,0.14285714285714285,0.8571428571428572,35,0.13941437402704837,0.12422255807732063,0,4044332211008b88d8b8317a73fcf9f63738393a3b2c2d3e3e4040424378563452,,0.14285714285714285,0.14285714285714285,0.8571428571428572,35,0.13941437402704837,0.12422255807732063,0,4044332211008b88d8b8317a73fcf9f63738393a3b2c2d3e3e4040424378563452,,-0.6285714285714286,-0.17142857142857143,0.0,-0.14285714285714285,-0.05714285714285715,-0.11428571428571428,-0.11428571428571428,0_0_0_10_14_16,-22.0
11,8,11,33,35,35,35,1.0,,576,576,576,0.5154241586954978,0.5179346157399584,0.5094514695732666,0.44750701937383075,0.5052863878136031,0.42857142857142855,0.42857142857142855,0.5714285714285714,35,0.472138087084531,0.5550834072874427,0,40142266410008045c70315231745554f7f47f1a353cbdbeb740c1060bfc969430,,0.02857142857142857,0.02857142857142857,0.9714285714285714,35,0.5049930045115358,0.49817250988666234,0,4044332211000c401c343132333435363738393a3b3c3d3e3f4041424378563412,,0.0,0.0,1.0,35,0.5154241586954978,0.5179346157399584,1,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,,0.2,0.2,0.8,35,0.4330269322019027,0.45541186217900437,0,40043726110408401c343132333435363738393a3b3c3d3e3f40c186833492b012,,0.14285714285714285,0.14285714285714285,0.8571428571428572,35,0.4141465938976242,0.41880496960906105,0,4044332211001c410d343132113637343738393a3b3c2d2f3f4140424378563412,,0.45714285714285713,0.45714285714285713,0.5428571428571429,35,0.4197036513195058,0.10566962109598421,0,4084b7ae91c4000049b9b01a3316373447b172cceb352d2f3f41c0c841d8fe2413,,0.34285714285714286,0.34285714285714286,0.6571428571428571,35,0.45926212099195374,0.13072283046966093,0,4084b7ae91c4000049b9b01a3316373437b031bab33c2d2f3f41c0c841d8fef49e,,-0.42857142857142855,-0.02857142857142857,0.0,-0.2,-0.14285714285714285,-0.45714285714285713,-0.34285714285714286,0_0_0_10_14_16,-22.0
12,9,12,33,35,35,35,1.0,,576,576,576,0.5286938565799372,0.5046063571152961,0.4915412421976534,0.42994309427801586,0.486829371319502,0.2857142857142857,0.2857142857142857,0.7142857142857143,35,0.47434650175944026,0.45553726037389614,0,4044332211000d027a32337237743132b3303932bb2c2c3e2e4161604378767470,,0.05714285714285714,0.05714285714285714,0.9428571428571428,35,0.4839436104951646,0.47154195243059555,0,4044332211000d0258303132333031363738393a3b3c3d3e3f4041424378563412,,0.0,0.0,1.0,35,0.5286938565799372,0.5046063571152961,1,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,,0.11428571428571428,0.11428571428571428,0.8857142857142857,35,0.42412780410973844,0.48944603009989895,0,4044332211000d025830313233303136171a1b1a3b3c3d3e3f4041424bf8de3412,,0.2,0.2,0.8,35,0.3347889827409086,0.35762677536546533,0,4044332211000d025830313233303136173819181b3e2d2f3e414142c378563412,,0.4857142857142857,0.4857142857142857,0.5142857142857142,35,0.3307126179412941,0.0886983356197634,0,400477001122998a41b8a93a33303136272a1b0a193f2d2f3e41919f8f31ce3556,,0.4857142857142857,0.4857142857142857,0.5142857142857142,35,0.3197462336165189,0.1010319906867799,0,404432b200010c2a305a573033303136272a1b0a193f2d2f3e41c1eac950fc3656,,-0.2857142857142857,-0.05714285714285714,0.0,-0.11428571428571428,-0.2,-0.4857142857142857,-0.4857142857142857,0_0_0_10_14_16,-22.0
