symbol_index,is_header,confidence_db,is_anchor,hard_bin_before,hard_bin_after,hard_symbol_before,hard_symbol_after,changed,best_probability,phase_residual
0,1,5.330485,1,301,301,75,75,0,1.00000000,-0.57115999
1,1,0.540215,0,653,364,163,90,1,0.26595920,0.71723682
2,1,3.502692,1,61,61,15,15,0,1.00000000,0.15062666
3,1,2.528461,0,81,196,20,48,1,0.27170391,0.28217597
4,1,2.910874,0,845,845,211,211,0,0.35065197,1.01091889
5,1,2.793313,0,825,719,206,179,1,0.25412903,-0.25650728
6,1,6.380257,1,729,729,182,182,0,1.00000000,1.56994373
7,1,5.045726,1,345,345,86,86,0,1.00000000,-1.29472309
8,0,2.433896,0,222,100,221,99,1,0.23484572,0.92823169
9,0,4.036465,1,826,826,825,825,0,1.00000000,-0.79193172
10,0,2.053101,0,871,784,870,783,1,0.25825997,0.32237775
11,0,4.749761,1,718,718,717,717,0,1.00000000,-0.16232172
