esn0_db,trials,hard_oracle_crc_pdr,soft_oracle_crc_pdr,soft_fixes,soft_breaks,soft_crc_false_deliveries
10.0,80,0.0,0.0125,1,0,1
11.0,80,0.0,0.3625,29,0,0
12.0,80,0.35,0.7875,35,0,0
13.0,80,0.7875,0.975,15,0,0
14.0,80,0.95,1.0,4,0,0
15.0,80,1.0,1.0,0,0,0
16.0,80,1.0,1.0,0,0,0
