trial_id,reference_id,esn0_db,seed,hard_oracle_packet_delivered,soft_oracle_packet_delivered,soft_crc_accept,soft_crc_false_delivery,soft_fix,soft_break,soft_decode_status,soft_header_valid,soft_crc_valid,soft_payload_hex
exp0_000000_rxg20_0_fulltrim:10:20260821,0,10.0,20260821,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260821,2,10.0,20260821,0,0,0,0,0,0,header_invalid,0,0,
exp0_000003_rxg20_0_fulltrim:10:20260821,3,10.0,20260821,0,1,1,0,1,0,ok,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412
exp0_000004_rxg20_0_fulltrim:10:20260821,4,10.0,20260821,0,0,0,0,0,0,ok,1,0,40443322110001b018aaf4b7648f646b63a44c91c2d73b3aac4a54c55b78563412
exp0_000005_rxg20_0_fulltrim:10:20260821,5,10.0,20260821,0,0,0,0,0,0,ok,1,0,4044534211666100c19599f9b5bc02732c76fbd40d64a24245938274c9785634f2
exp0_000006_rxg20_0_fulltrim:10:20260821,6,10.0,20260821,0,0,0,0,0,0,ok,1,0,40445324716607b6e80fbbe0b704e1aeae8c5d1c65e050dea555d872d158516640
exp0_000007_rxg20_0_fulltrim:10:20260821,7,10.0,20260821,0,0,0,0,0,0,ok,1,0,4044932211a0ab005807023d9b8e75346b7d5e9ef9c00e733f10186536381b701f
exp0_000008_rxg20_0_fulltrim:10:20260821,8,10.0,20260821,0,0,0,0,0,0,ok,1,0,4044d32211ee0100580800387bd1897a188bb87fbb6d6791c08f8bad9d78503412
exp0_000000_rxg20_0_fulltrim:10:20260822,0,10.0,20260822,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260822,2,10.0,20260822,0,0,0,0,0,0,header_invalid,0,0,
exp0_000003_rxg20_0_fulltrim:10:20260822,3,10.0,20260822,0,0,0,0,0,0,header_invalid,0,0,
exp0_000004_rxg20_0_fulltrim:10:20260822,4,10.0,20260822,0,0,0,0,0,0,ok,1,0,40443322110001c081194c716292a96fb2a9470cc2078b3aac4af4c55b78563412
exp0_000005_rxg20_0_fulltrim:10:20260822,5,10.0,20260822,0,0,0,0,0,0,ok,1,0,4044332211000100580500696c1cdf732c76fbd40d64f2d1d6098274c978563442
exp0_000006_rxg20_0_fulltrim:10:20260822,6,10.0,20260822,0,0,0,0,0,0,ok,1,0,404433221100010058060050b704e1aeae8c5d1c65e0c027f3adfe72a478566412
exp0_000007_rxg20_0_fulltrim:10:20260822,7,10.0,20260822,0,0,0,0,0,0,header_invalid,0,0,
exp0_000008_rxg20_0_fulltrim:10:20260822,8,10.0,20260822,0,0,0,0,0,0,ok,1,0,40443322f10e01de55d8d0387bd1897a188bb87fbb6d679145af56909d7b56091c
exp0_000000_rxg20_0_fulltrim:10:20260823,0,10.0,20260823,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260823,2,10.0,20260823,0,0,0,0,0,0,header_invalid,0,0,
exp0_000003_rxg20_0_fulltrim:10:20260823,3,10.0,20260823,0,0,0,0,0,0,header_invalid,0,0,
exp0_000004_rxg20_0_fulltrim:10:20260823,4,10.0,20260823,0,0,0,0,0,0,ok,1,0,40443322110001005c40203162436a6b6f444c9922346bdaa24af4c5577f513315
exp0_000005_rxg20_0_fulltrim:10:20260823,5,10.0,20260823,0,0,0,0,0,0,ok,1,0,4044332211000100580500696c1cdf732c76fbd40d64a24146906274c978563412
exp0_000006_rxg20_0_fulltrim:10:20260823,6,10.0,20260823,0,0,0,0,0,0,ok,1,0,40443325412001a05e06a0f0bd0de1aea79fed7dc52c36aec124c972a478563412
exp0_000007_rxg20_0_fulltrim:10:20260823,7,10.0,20260823,0,0,0,0,0,0,ok,1,0,40443322110001005807003d9b8e75346b7dde1ef948de816cadddb67278563482
exp0_000008_rxg20_0_fulltrim:10:20260823,8,10.0,20260823,0,0,0,0,0,0,truncated_payload,1,0,
exp0_000000_rxg20_0_fulltrim:10:20260824,0,10.0,20260824,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260824,2,10.0,20260824,0,0,0,0,0,0,ok,1,0,4044332211000180d08a005c4e785128053ac56123bc76bf47473cf8f408563412
exp0_000003_rxg20_0_fulltrim:10:20260824,3,10.0,20260824,0,0,1,1,0,0,ok,1,1,4d452333111111d08c5a4dd14725f40c8df7dfc127bc9d61a0323de2cdd6f6b36a
exp0_000004_rxg20_0_fulltrim:10:20260824,4,10.0,20260824,0,0,0,0,0,0,ok,1,0,40443322110001005804003103cf4aa066ad919c12d7db37ac9a7ccd5b78563412
exp0_000005_rxg20_0_fulltrim:10:20260824,5,10.0,20260824,0,0,0,0,0,0,ok,1,0,d044431625003104580500696c1cdf732c76fbd40d6442a1a6906278197586341f
exp0_000006_rxg20_0_fulltrim:10:20260824,6,10.0,20260824,0,0,0,0,0,0,ok,1,0,40443322110001003806b050b104e1aeae6c6e1156e063a44b24c472a47851e92f
exp0_000007_rxg20_0_fulltrim:10:20260824,7,10.0,20260824,0,0,0,0,0,0,ok,1,0,4044332211000100880a005d9684753ec1777e1ef94234616e436d06c273563f18
exp0_000008_rxg20_0_fulltrim:10:20260824,8,10.0,20260824,0,0,0,0,0,0,ok,1,0,4044332211000100586800387dd1897a188bb87fbb6d679144cb03a59d7c163412
exp0_000000_rxg20_0_fulltrim:10:20260825,0,10.0,20260825,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260825,2,10.0,20260825,0,0,0,0,0,0,header_invalid,0,0,
exp0_000003_rxg20_0_fulltrim:10:20260825,3,10.0,20260825,0,0,0,0,0,0,ok,1,0,90443e2211000100b803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412
exp0_000004_rxg20_0_fulltrim:10:20260825,4,10.0,20260825,0,0,0,0,0,0,header_invalid,0,0,
exp0_000005_rxg20_0_fulltrim:10:20260825,5,10.0,20260825,0,0,0,0,0,0,ok,1,0,40445322116e070058a50a696c1cdf435c76fbd40d64a24146908274c978563412
exp0_000006_rxg20_0_fulltrim:10:20260825,6,10.0,20260825,0,0,0,0,0,0,ok,1,0,444233221100010058060d50b704e1aeae8c5d1c75e040aec124ce72a478563412
exp0_000007_rxg20_0_fulltrim:10:20260825,7,10.0,20260825,0,0,0,0,0,0,header_invalid,0,0,
exp0_000008_rxg20_0_fulltrim:10:20260825,8,10.0,20260825,0,0,0,0,0,0,ok,1,0,4044332211000100580800387b01897a188bb87fbb6d6791408f03a59d785634c2
exp0_000000_rxg20_0_fulltrim:10:20260826,0,10.0,20260826,0,0,0,0,0,0,header_invalid,0,0,
exp0_000002_rxg20_0_fulltrim:10:20260826,2,10.0,20260826,0,0,0,0,0,0,ok,1,0,4044332211000b0058020e5cd673d92b853ac5f2832c769f47471cfaf478563412
exp0_000003_rxg20_0_fulltrim:10:20260826,3,10.0,20260826,0,0,0,0,0,0,ok,1,0,404d3322110001005803005cb3bdd7ae696f361456efdbbdb97c37853778563412
exp0_000004_rxg20_0_fulltrim:10:20260826,4,10.0,20260826,0,0,0,0,0,0,ok,1,0,4044332219008150cd54b0616643646b6fa44c91c2d78b3aac4af4c55b78563412
exp0_000005_rxg20_0_fulltrim:10:20260826,5,10.0,20260826,0,0,0,0,0,0,header_invalid,0,0,
