copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,6,10128590,-8,-10.423148123328563,3.002763383494957,125.76041244916759,-10.929462966567371,1,0
1,7,11628955,10,43.521435543180246,-2.9831208240232407,16.73569404471596,45.63553279612577,0,0
2,8,13129320,27,30.38641486001083,-1.8857623898765028,15.559729769673087,31.862465348250716,0,0
3,9,14629685,-4,-4.799747846916114,-0.46262035975521615,96.91886597374376,-5.032900398327911,1,0
4,10,16130050,-3,-3.094192159498743,-1.0510098554234588,118.13047178889016,-3.244495637838554,1,0
5,11,17630415,-3,-1.8795352705949786,-1.370257746105777,155.89311787386643,-1.9708355758994003,1,0
6,12,19130780,0,0.0,0.0,inf,0.0,1,1
7,13,20631145,0,1.889406673716075,-1.1434805982147602,157.9238238511982,1.9811864922985072,1,0
8,14,22131510,1,3.0228608870221305,1.3551521974273504,109.90096383079191,3.1696993774701174,1,0
9,15,23631875,1,4.473185868379352,2.248699471731647,82.787713779985,4.690475345121748,1,0
10,16,25132240,2,5.746029371556481,0.18843778051614202,83.16757696061276,6.025148494309208,1,0
11,17,26632605,5,6.8323747185406045,-2.843794364881679,74.35574690704898,7.164264152868433,1,0
12,18,28132970,5,8.624034302537924,2.4634842780158452,120.16055502708207,9.042955392818005,1,0
